726 images
  [GRAPH] 4 branches traced, 74/74 nodes assigned, 0 orphans, 70 edges, 4 components
  [GRAPH] 3 branches traced, 78/78 nodes assigned, 0 orphans, 75 edges, 3 components
  [GRAPH] 8 branches traced, 76/76 nodes assigned, 0 orphans, 74 edges, 3 components
  [GRAPH] 3 branches traced, 78/78 nodes assigned, 0 orphans, 75 edges, 3 components
  [GRAPH] 8 branches traced, 70/70 nodes assigned, 0 orphans, 68 edges, 3 components
  [GRAPH] 2 branches traced, 59/59 nodes assigned, 0 orphans, 57 edges, 2 components
  [GRAPH] 460 branches traced, 290/290 nodes assigned, 0 orphans, 465 edges, 5 components
  [GRAPH] 933 branches traced, 552/552 nodes assigned, 0 orphans, 937 edges, 13 components
  [GRAPH] 997 branches traced, 627/627 nodes assigned, 0 orphans, 1015 edges, 22 components
  [GRAPH] 12 branches traced, 133/133 nodes assigned, 0 orphans, 131 edges, 4 components
  [GRAPH] 14 branches traced, 117/117 nodes assigned, 0 orphans, 115 edges, 4 components
  [GRAPH] 9 branches traced, 109/109 nodes assigned, 0 orphans, 106 edges, 4 components
  [GRAPH] 14 branches traced, 116/116 nodes assigned, 0 orphans, 114 edges, 4 components
  [GRAPH] 18 branches traced, 116/116 nodes assigned, 0 orphans, 116 edges, 4 components
  [GRAPH] 15 branches traced, 67/68 nodes assigned, 1 orphans, 59 edges, 10 components
  [GRAPH] 16 branches traced, 93/93 nodes assigned, 0 orphans, 92 edges, 4 components
  [GRAPH] 8 branches traced, 10/11 nodes assigned, 1 orphans, 9 edges, 3 components
  [GRAPH] 17 branches traced, 104/104 nodes assigned, 0 orphans, 103 edges, 4 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 11 branches traced, 87/87 nodes assigned, 0 orphans, 85 edges, 4 components
  [GRAPH] 3 branches traced, 75/75 nodes assigned, 0 orphans, 72 edges, 3 components
  [GRAPH] 13 branches traced, 113/113 nodes assigned, 0 orphans, 112 edges, 3 components
  [GRAPH] 13 branches traced, 82/82 nodes assigned, 0 orphans, 81 edges, 3 components
  [GRAPH] 3 branches traced, 75/75 nodes assigned, 0 orphans, 72 edges, 3 components
  [GRAPH] 2 branches traced, 62/62 nodes assigned, 0 orphans, 60 edges, 2 components
  [GRAPH] 560 branches traced, 328/328 nodes assigned, 0 orphans, 563 edges, 5 components
  [GRAPH] 876 branches traced, 538/538 nodes assigned, 0 orphans, 891 edges, 19 components
  [GRAPH] 973 branches traced, 608/608 nodes assigned, 0 orphans, 987 edges, 20 components
  [GRAPH] 6 branches traced, 178/178 nodes assigned, 0 orphans, 174 edges, 4 components
  [GRAPH] 8 branches traced, 136/136 nodes assigned, 0 orphans, 132 edges, 4 components
  [GRAPH] 14 branches traced, 131/131 nodes assigned, 0 orphans, 129 edges, 4 components
  [GRAPH] 14 branches traced, 134/134 nodes assigned, 0 orphans, 132 edges, 4 components
  [GRAPH] 14 branches traced, 136/136 nodes assigned, 0 orphans, 134 edges, 4 components
  [GRAPH] 17 branches traced, 89/93 nodes assigned, 4 orphans, 88 edges, 7 components
  [GRAPH] 14 branches traced, 121/121 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 2 branches traced, 5/7 nodes assigned, 2 orphans, 5 edges, 2 components
  [GRAPH] 14 branches traced, 123/123 nodes assigned, 0 orphans, 121 edges, 4 components
  [GRAPH] 0 branches traced, 0/2 nodes assigned, 2 orphans, 0 edges, 2 components
  [GRAPH] 23 branches traced, 123/123 nodes assigned, 0 orphans, 124 edges, 4 components
  [GRAPH] 7 branches traced, 116/116 nodes assigned, 0 orphans, 113 edges, 3 components
  [GRAPH] 7 branches traced, 116/116 nodes assigned, 0 orphans, 113 edges, 3 components
