filename,kind,level,seg_iou,beta0,beta1,n_nodes,total_edge_length,mean_width
7249,baseline,0,0.36231884057971014,4,16,74,132.39696961966993,3.8248066402770378
7249,dilate,1,0.3770053475935829,4,2,63,94.76955262170043,5.38380781809489
7249,erode,1,0.2959028831562974,5,0,49,76.11269837220804,3.606455053601946
7249,dilate,2,0.3740890688259109,3,1,68,120.01219330881972,5.681510153938742
7249,erode,2,0.20796689084324885,5,2,57,87.59797974644663,2.616564867789285
7249,dilate,3,0.3588235294117647,3,1,65,106.94112549695423,6.918212135021503
7249,erode,3,0.12473684210526316,3,3,47,94.62413028254623,1.9825829622593332
7249,dilate,4,0.33694225721784776,3,1,66,109.35533905932735,8.027602831522623
7249,erode,4,0.04231387252276379,6,1,29,53.79898987322333,1.186206895729591
7249,dilate,5,0.3165873959571938,3,1,62,96.11269837220806,9.114880315719113
7249,erode,5,0.005411255411255411,2,0,6,10.65685424949238,1.1666666666666667
7249,drop_components,0.05,0.32638215324927256,3,16,72,125.98275605729681,3.8422484944264093
7249,drop_components,0.1,0.20648967551622419,3,16,46,94.0121933088197,3.4288173162418865
7249,drop_components,0.2,0.20648967551622419,3,16,46,94.0121933088197,3.4288173162418865
7249,drop_components,0.3,0.26345177664974617,3,0,46,63.45584412271569,4.388338980467423
7249,drop_components,0.4,0.2847715736040609,2,16,58,107.32590180780444,3.697968846765058
7249,boundary_noise,1,0.33522458628841606,4,122,226,570.2691193458132,2.0840092517633355
7249,boundary_noise,2,0.3018526886579304,7,276,378,971.0570558408527,1.4351216753323872
7249,boundary_noise,3,0.25627705627705627,10,450,552,1391.49870017234,1.1665543410657109
7250,baseline,0,0.8679135008766803,4,7,144,293.86500705120574,2.8755492667357125
7250,dilate,1,0.7152044097381718,4,10,129,266.3086578651016,3.644805375919786
7250,erode,1,0.6792452830188679,4,10,140,301.10764773832506,2.0704985414232526
7250,dilate,2,0.5544554455445545,4,8,131,266.8233764908631,5.20751585487191
7250,erode,2,0.29594423320659063,9,6,115,225.81160319250884,1.2850017278090766
7250,dilate,3,0.4675788221296847,4,7,126,252.58073580374383,6.1788982853056895
7250,erode,3,0.08750792644261256,7,4,42,209.42065387701203,1.195238090696789
7250,dilate,4,0.3943943943943944,4,3,121,233.4386001800127,7.578910516313285
7250,erode,4,0.012048192771084338,2,0,6,230.4720461124342,1.0
7250,dilate,5,0.3420824295010846,4,5,122,214.53910524340102,8.707854669602192
7250,erode,5,0.0006341154090044388,1,0,1,0,1.0
7250,drop_components,0.05,0.7586815773984696,3,6,122,255.79393923934018,2.9351507757530837
7250,drop_components,0.1,0.56664674237896,3,3,103,203.02438661763964,2.6810417152145534
7250,drop_components,0.2,0.6374022850270595,3,5,114,205.09545442950505,2.851598206319307
7250,drop_components,0.3,0.56664674237896,3,3,103,203.02438661763964,2.6810417152145534
7250,drop_components,0.4,0.5784726398075767,2,6,95,179.61017305526656,3.2114894214429355
7250,boundary_noise,1,0.7016515716568993,6,324,494,1198.2471931242144,1.5581835793097492
7250,boundary_noise,2,0.4636896707262066,15,688,858,2138.9031808219274,1.150499643840434
7250,boundary_noise,3,0.35081967213114756,15,713,998,2458.098334262111,1.048675648912877
7251,baseline,0,0.8544668587896254,4,6,148,283.9360748630712,2.390718867649903
7251,dilate,1,0.69896004378763,4,7,138,281.9360748630712,3.318470241366953
