filename,fg_psnr_with,fg_psnr_without,fg_ssim_with,fg_ssim_without,full_psnr_with,full_psnr_without,bytes_with,bytes_without
7249,27.470944106486055,16.938928767760817,0.9993235386333345,0.9936320038501767,29.42509557901048,28.480036016469764,1522,913
7250,28.503765188535635,19.67181478344115,0.9990628817802178,0.9938767561993461,31.333857643771047,30.14519720924178,2180,1389
7251,27.13057898065372,13.874578454526107,0.999492681823852,0.9885815133550476,31.149035471341072,28.156321390476116,2317,1373
7252,27.700917847282636,16.507943769067467,0.9993940221753572,0.9934184307524171,30.81046551379292,29.273788968513934,1818,1120
7253,28.092430553653287,16.444620532573758,0.9995349763672179,0.9944093457030535,31.159136351803546,29.602704307852807,1776,1148
7254,27.699878695432176,15.974386643118914,0.9994084168513467,0.9911996941858993,31.22281710012502,29.114789348563633,2220,1361
7255,27.768810108898315,17.101219564776255,0.9994258512091433,0.9941611864065389,30.68820425507119,29.259052793484663,1972,1215
7256,28.9777412325068,19.054575745704238,0.9992137114332998,0.9941859138442882,31.606895480707145,30.392425484794906,1976,1282
7257,28.07309423927098,19.17812056932834,0.9993758928407024,0.9953786722422105,30.329029318375476,29.43099177899675,2141,1390
7258,27.217071814439016,15.365277198963378,0.9994483814178482,0.9918078269591243,30.059409912898836,28.043818932596825,2329,1413
7259,28.09492237633836,17.697430505143764,0.9991634784258253,0.9933419094361973,30.83316064958028,29.58445358100922,1795,1119
7260,27.42205757072707,16.454512941725824,0.9992702791638112,0.9913339119888283,31.347957906003803,29.338855567622527,2174,1357
7261,27.60344250918465,17.05002586293896,0.9993421114870471,0.9935208602458742,30.481324333500904,28.958147819115993,2181,1382
7262,28.70671216338507,19.050574352760805,0.9989363348315476,0.9919540588179208,31.71327515067846,30.251440100573195,2097,1324
7263,27.67426873737128,14.466209374183476,0.999313261566896,0.9898802397366764,31.542678244429947,28.643635651317545,2127,1268
7264,27.777112020881734,15.688172567436336,0.9993505547443883,0.9927984896902384,31.51773312016106,29.560534895281624,1852,1149
7265,28.031520335956387,18.634263124942947,0.999232608062712,0.9942351113201071,30.569744321558048,29.47599909153729,2057,1304
7266,26.360016914603616,14.38765452801253,0.9991361615579992,0.987841515482599,30.836639183820385,27.8292986824742,2318,1304
7267,28.518784857470287,18.44915669928475,0.9990539299344965,0.9923438511339666,31.416385339272907,29.808266117122475,2137,1374
7268,28.342505027502508,18.788756576631616,0.9979996820513299,0.9876172853082605,30.92271598698823,29.189228562684413,2445,1471
7269,28.11299969734625,16.786097608489406,0.9994802919706737,0.9933966246794359,30.395486647281604,28.853069306957686,2167,1350
7270,27.942985555426866,16.813982181388713,0.9990978224897997,0.989659974863522,31.145068350899617,29.142072313464624,2306,1393
7272,28.789749388450204,19.338893063416613,0.9988588239475437,0.9918440693751911,31.150869911478672,29.83615500453636,2296,1439
7273,28.699214068535284,20.454332175853022,0.9984616245366944,0.9924209270058951,30.334508961378216,29.5398601593064,1801,1077
7274,28.007156263396105,16.693570685128407,0.9995957885255687,0.9950075935535717,30.54301303371809,29.368194855130767,1627,1034
7275,27.789317959141037,16.662814019306534,0.99940039350409,0.9921968289258483,31.079265438464393,29.290628298140604,2134,1336
7276,27.819486661761225,17.414124419941935,0.9991556113004001,0.9918906006164725,30.199353536058844,28.772343819155385,2136,1288
