filename,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,gt_available,stem,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim
cell_001.png,0.999971531677857,30.471930852546954,0.05689326912308209,0.3363497498636806,28.08181759119577,0.9223524911716244,1051,2,1,2,4,1.9130434782608696,0.5,23,22,42.62741699796952,4.335270653600278,0.1258869131604118,,,6876.448631286621,0.05689326912308209,0.05689326912308209,2,1,1,2,4,1.9130434782608696,0.5,2,0,23,22,17,1.9376098635440686,4.335270653600278,42.62741699796952,0.1258869131604118,74493,70.87821122740247,345.3853472882969,660x550,363000,sparse,Frangi,143,2,False,cell_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell_tile_000.png,0.9995952021372339,33.39932618305538,0.017205963106835608,0.18126924692201818,37.07850882642709,0.9470872500971048,1563,7,2,3,10,1.8412698412698412,0.2857142857142857,63,58,91.76955262170043,3.229401191075643,0.06624164311709907,-0.00035475396524431435,-0.006764002237792811,1175.35400390625,0.017205963106835608,0.017205963106835608,7,2,5,3,10,1.8412698412698412,0.2857142857142857,11,0,63,58,50,1.5822336658913874,3.229401191075643,91.76955262170043,0.06624164311709907,13103,8.383237364043506,41.929622520793345,256x256,65536,sparse,Frangi,191,11,False,cell_tile_000,27,1550,43.367550520278975,0.968094466676792,43.83265990010882,0.9999499561024782,0.02396996534462842,0.9974274486848045,14,51,0.0,85,1530,47.41667425366167,0.9859423510728689,0.9999726719655254,46.361547221475035,0.999120948143085,0.02463768115942029,5721,54.128139578816345,0.9963240716266211,0.9999934076396276,52.435263954949356,0.7534926913796895,0.028238812972846167,-10.433333717053443,-0.8161582017627863,-6.289041693851885,-0.021007216579687182
cell_tile_001.png,0.9998281074775298,35.24859887773863,0.013281833585366299,0.20281353317080053,36.893257214719284,0.9434648416117412,1421,8,0,0,14,1.7538461538461538,0.0,65,57,95.69848480983497,3.360995681469257,0.07002364588674992,-0.00011291783508027287,-0.0036885213995279612,1051.0733127593994,0.013281833585366299,0.013281833585366299,8,0,8,0,14,1.7538461538461538,0.0,9,0,65,57,51,1.678920786137456,3.360995681469257,95.69848480983497,0.07002364588674992,13773,9.69247009148487,46.11963406052076,256x256,65536,sparse,Frangi,187,9,False,cell_tile_001,18,1413,40.5261572562905,0.9451054026438208,39.233673353436075,0.9999410253126101,0.01697035498489426,0.9996500701239782,9,42,0.0,80,1262,46.51667572861324,0.9859112610945563,0.9999872445669633,44.443910331954235,0.9999999999083765,0.015523377101484844,,,,,,,,-3.985074475697445,-0.7968365369531777,-3.6329000415712187,-0.001640561032079657
cell_tile_002.png,0.9999373345475602,39.00093748063936,0.006203855619360131,0.17027973628380633,39.141460825043495,0.9584077109013358,815,1,0,0,2,1.8333333333333333,0.0,12,11,16.242640687119287,4.143195589383443,0.06273758076208705,,,705.8353424072266,0.006203855619360131,0.006203855619360131,1,0,1,0,2,1.8333333333333333,0.0,3,0,12,11,10,1.476603698829026,4.143195589383443,16.242640687119287,0.06273758076208705,13022,15.977914110429447,80.41226993865031,256x256,65536,sparse,Frangi,136,3,False,cell_tile_002,,,,,,,,,,,,67,812,46.14296963515217,0.9854493658904991,0.9999830618030338,43.5044471892368,0.9821900858140624,0.0066204613634012624,,,,,,,,,,,
cell_tile_003.png,0.9999817189739214,37.35368226510098,0.01314588278254519,0.18126924692201818,28.339708615907178,0.891003864220689,836,1,0,0,2,1.75,0.0,8,7,10.65685424949238,4.405351459980011,0.09294930604061236,,,637.2814178466797,0.01314588278254519,0.01314588278254519,1,0,1,0,2,1.75,0.0,1,0,8,7,6,1.5224077499274828,4.405351459980011,10.65685424949238,0.09294930604061236,16630,19.892344497607656,78.39234449760765,256x256,65536,dense,Frangi,135,1,False,cell_tile_003,,,,,,,,,,,,21,826,40.50789323503179,0.9715367678842535,0.9999402000055807,31.782813237176093,0.7328646980341497,0.012035102381947346,,,,,,,,,,,
