filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7813.png	0.583735	0.460248	0.630370	0.470029	0.956746	0.998714	27.991531	0.996588	28.465632	0.337863	0.218599	0.326052	30.114374	0.531511	2994	11	35	79	44	2.117359	3.181818	409	433	853.513259	3.528786	0.046797	-0.012126	-0.879557	-0.000287	-0.000667	-0.002447	639.030218	11	35	-24	79	44	2.117359	3.181818	11	1	409	433	286	1.971162	3.528786	853.513259	0.046797	45839	15.310287	21.889112	256x256	65536	sparse	Meijering	409	11	32	2952	30.952222	0.617806	29.341612	0.997256	0.340311	0.295312	12	2	0.454545	36	2906	31.227316	0.670641	0.997130	28.972856	0.158442	0.346251	3097	31.066628	0.633651	0.997482	29.896367	0.270211	0.344008	-0.875980	-0.076713	-0.837848	-0.086295	True	0.670441	0.218599	0.595861	28.871088	0.999002	7813
7814.png	0.574771	0.411021	0.582586	0.411392	0.997807	0.999554	27.083640	0.997927	28.041267	0.287523	0.338558	0.672524	31.066662	0.570786	2074	6	10	31	25	2.027875	1.666667	287	291	515.752133	4.233409	0.034023	-0.013881	-0.175882	-0.000018	-0.000255	-0.009042	566.963673	6	10	-4	31	25	2.027875	1.666667	6	0	287	291	231	1.772344	4.233409	515.752133	0.034023	45252	21.818708	31.598843	256x256	65536	sparse	Meijering	287	6	26	1984	31.357972	0.608005	28.318944	0.998182	0.296564	0.342953	6	2	0.000000	34	2036	31.618924	0.654140	0.998111	28.220968	0.312220	0.278029	4207	32.096942	0.704040	0.999017	31.540432	0.319549	0.281646	-0.277677	-0.004395	-0.291309	-0.037219	True	0.503415	0.338558	0.588652	27.259523	0.999572	7814
7815.png	0.696281	0.615385	0.761905	0.622512	0.981735	0.998946	27.184292	0.997770	27.828808	0.548864	0.423691	0.656754	30.613742	0.565567	2475	4	29	60	26	2.159236	7.250000	314	339	675.722602	4.213562	0.029607	-0.003357	-0.191125	-0.000141	-0.000128	-0.004882	579.821825	4	29	-25	60	26	2.159236	7.250000	4	0	314	339	228	1.993282	4.213562	675.722602	0.029607	45618	18.431515	26.479192	256x256	65536	sparse	Otsu	314	4	27	2353	31.076426	0.617591	28.033506	0.997898	0.553746	0.441500	8	3	0.000000	33	2294	31.333334	0.659254	0.997746	27.678763	0.496270	0.542164	3768	31.649640	0.679480	0.998730	30.342642	0.480558	0.546507	-0.204697	-0.017809	-0.462684	-0.052024	True	0.645129	0.423691	0.699637	27.375417	0.999087	7815
7816.png	0.629905	0.410202	0.581763	0.410784	0.996558	0.999483	27.681961	0.997315	28.197877	0.440312	0.347319	0.551058	30.074303	0.525682	2448	8	20	56	33	2.072508	2.500000	331	343	660.746036	4.007312	0.045882	-0.027034	-0.164797	-0.000036	-0.000326	0.026690	614.907503	8	20	-12	56	33	2.072508	2.500000	8	0	331	343	242	1.926373	4.007312	660.746036	0.045882	45989	18.786356	26.771242	256x256	65536	sparse	Meijering	331	8	26	2316	30.609441	0.587844	28.573785	0.997641	0.413622	0.575142	5	2	0.000000	31	2412	30.866643	0.638898	0.997385	28.209466	0.318869	0.397590	3784	31.155702	0.661955	0.998451	30.388574	0.267368	0.401346	-0.375908	-0.227823	-0.535138	-0.062162	True	0.630277	0.347319	0.656940	27.846757	0.999520	7816
7817.png	0.697540	0.462970	0.632918	0.465395	0.988871	0.999491	27.070956	0.997984	27.727969	0.403882	0.447517	0.727448	30.483125	0.548790	2430	6	22	45	25	2.100000	3.666667	320	336	553.161808	4.402005	0.024176	-0.001440	-0.118426	-0.000029	-0.000194	0.002460	573.519230	6	22	-16	45	25	2.100000	3.666667	6	0	320	336	250	1.646315	4.402005	553.161808	0.024176	45848	18.867490	26.969547	256x256	65536	sparse	Meijering	320	6	27	2356	30.930146	0.605312	28.047829	0.998178	0.401422	0.374104	7	0	0.916667	33	2280	31.145016	0.649820	0.998048	27.812542	0.507372	0.386457	3705	31.418148	0.666564	0.998744	30.225927	0.454835	0.394540	-0.319861	0.073413	-0.447021	-0.056523	True	0.615188	0.447517	0.698980	27.189382	0.999520	7817
7818.png	0.694875	0.573899	0.729271	0.579365	0.983827	0.999130	28.025645	0.996885	28.545048	0.535417	0.414656	0.725266	30.532238	0.547375	2265	4	15	33	16	2.071895	3.750000	306	317	756.119561	4.567727	0.021526	0.005825	0.238634	-0.000011	0.000053	0.016370	677.318573	4	15	-11	33	16	2.071895	3.750000	4	1	306	317	257	2.385235	4.567727	756.119561	0.021526	45638	20.149227	28.934216	256x256	65536	sparse	Otsu	306	4	25	2123	30.849558	0.594616	28.485158	0.996833	0.519048	0.401503	9	4	0.000000	32	2144	31.102727	0.641846	0.996323	27.834599	0.415955	0.520635	4019	31.550929	0.682339	0.998165	30.877490	0.424203	0.511508	0.059889	0.013153	-0.317320	-0.047241	True	0.571729	0.414656	0.689050	27.787011	0.999141	7818
7819.png	0.714286	0.438985	0.610132	0.439339	0.998168	0.999531	27.520314	0.997673	28.384095	0.425060	0.470947	0.751638	30.818807	0.560036	2147	4	11	26	16	2.047297	2.750000	296	303	518.851658	4.574039	0.020781	0.009703	-0.011784	0.000003	-0.000217	0.025625	597.371340	4	11	-7	26	16	2.047297	2.750000	4	0	296	303	254	1.712382	4.574039	518.851658	0.020781	45422	21.156032	30.524453	256x256	65536	sparse	Meijering	296	4	26	2119	31.139082	0.606509	28.668666	0.997890	0.399436	0.402499	8	3	0.000000	32	1884	31.347111	0.637752	0.997532	28.129158	0.365552	0.396857	4048	31.847289	0.695044	0.998758	31.060150	0.238146	0.417977	-0.284571	0.068448	-0.320275	-0.046474	True	0.626561	0.470947	0.704583	27.532098	0.999528	7819
7820.png	0.756402	0.495502	0.662656	0.498191	0.989224	0.999039	28.370507	0.997263	28.960658	0.459957	0.548096	0.784333	31.508453	0.600364	2427	4	32	66	27	2.167164	8.000000	335	363	666.509451	4.312602	0.035117	0.001069	-0.302867	-0.000107	-0.000334	0.010970	653.024673	4	32	-28	66	27	2.167164	8.000000	4	1	335	363	242	1.836114	4.312602	666.509451	0.035117	44712	18.422744	27.002884	256x256	65536	sparse	Meijering	335	4	30	2372	31.824216	0.645480	29.339218	0.997597	0.448987	0.745893	4	3	0.000000	41	2404	32.202073	0.691324	0.997483	29.079955	0.431071	0.447815	3773	32.381973	0.708351	0.998409	31.119224	0.437039	0.460484	-0.378560	-0.197797	-0.315763	-0.045116	True	0.698806	0.548096	0.755333	28.673374	0.999145	7820
7821.png	0.624493	0.334777	0.501623	0.336862	0.981851	0.999242	28.241334	0.995873	28.607585	0.393574	0.310799	0.622312	30.184797	0.531930	2877	11	31	77	46	2.096852	2.818182	413	433	849.205906	3.726823	0.043305	0.008787	-0.447062	-0.000124	-0.000756	0.014532	641.667128	11	31	-20	77	46	2.096852	2.818182	11	1	413	433	290	1.961215	3.726823	849.205906	0.043305	45664	15.872089	22.779284	256x256	65536	sparse	Meijering	413	11	31	2811	30.959901	0.613179	29.500780	0.996628	0.379042	0.321975	14	6	0.000000	38	2874	31.373521	0.670432	0.996279	29.206305	0.062293	0.348618	3089	31.173115	0.641757	0.997053	30.150746	0.091732	0.375306	-0.893196	-0.011176	-0.775103	-0.081249	True	0.499426	0.310799	0.615705	28.688396	0.999366	7821
7822.png	0.664122	0.448798	0.619545	0.450195	0.993133	0.999408	27.635940	0.997355	28.609869	0.394399	0.412235	0.668013	31.773704	0.613861	2277	4	13	34	19	2.058065	3.250000	310	319	555.242310	4.431455	0.026058	0.023255	-0.247823	-0.000002	-0.000232	0.022804	564.740896	4	13	-9	34	19	2.058065	3.250000	4	0	310	319	257	1.740572	4.431455	555.242310	0.026058	44591	19.583224	28.781730	256x256	65536	sparse	Meijering	310	4	30	2236	32.110185	0.653468	28.970486	0.997587	0.371595	0.331168	9	6	0.000000	42	2046	32.358149	0.684971	0.997691	29.207324	0.438232	0.366148	4116	32.756443	0.725939	0.998657	31.815813	0.294136	0.364981	-0.360616	0.081067	-0.336481	-0.039608	True	0.617107	0.412235	0.640867	27.883763	0.999410	7822
7823.png	0.710108	0.542262	0.703204	0.549433	0.976497	0.998685	27.746563	0.996465	28.329024	0.480715	0.497968	0.823555	30.502780	0.553232	2699	7	28	57	31	2.116343	4.000000	361	382	709.170575	4.066721	0.037490	0.012433	-0.362930	-0.000138	-0.000405	0.010441	599.953175	7	28	-21	57	31	2.116343	4.000000	7	1	361	382	273	1.856467	4.066721	709.170575	0.037490	45584	16.889218	24.281586	256x256	65536	sparse	Meijering	361	7	29	2565	31.044855	0.617415	28.688402	0.996871	0.470274	0.558589	9	16	0.000000	36	2614	31.344466	0.669028	0.996458	28.327106	0.246185	0.448276	3477	31.431679	0.661758	0.997722	30.230085	0.240681	0.485142	-0.359377	-0.060621	-0.542075	-0.064183	True	0.604656	0.497968	0.697674	28.109494	0.998823	7823
7824.png	0.720441	0.297926	0.459080	0.298673	0.991667	0.999607	27.932822	0.997013	28.676544	0.313508	0.286805	0.551023	30.814681	0.560803	2630	9	39	94	47	2.157068	4.333333	382	412	780.416818	3.595343	0.047924	-0.003243	-0.323660	-0.000062	-0.000575	0.004078	598.418713	9	39	-30	94	47	2.157068	4.333333	9	1	382	412	241	1.894216	3.595343	780.416818	0.047924	45236	17.200000	24.918631	256x256	65536	sparse	Meijering	382	9	30	2584	31.349344	0.625673	29.399918	0.997588	0.309430	0.442337	5	0	0.277778	40	2586	31.779459	0.676762	0.997609	29.412764	0.370817	0.290427	3516	31.761455	0.677918	0.998000	30.491131	0.359633	0.313374	-0.723375	-0.155532	-0.534662	-0.064870	True	0.520495	0.286805	0.723684	28.256482	0.999670	7824
7825.png	0.650951	0.269146	0.424137	0.269369	0.996939	0.999526	28.361655	0.995795	28.641513	0.323626	0.224308	0.379288	30.078319	0.534864	3425	18	50	117	67	2.128257	2.777778	499	531	1019.157731	3.276695	0.048443	-0.036196	-0.472092	-0.000049	-0.001022	0.019135	675.471783	18	50	-32	117	67	2.128257	2.777778	18	1	499	531	315	1.919318	3.276695	1019.157731	0.048443	45669	13.334015	19.134599	256x256	65536	sparse	Meijering	499	18	35	3331	31.111568	0.631668	29.711671	0.996816	0.304492	0.379840	9	1	0.750000	40	3232	31.464328	0.686066	0.996499	29.463428	0.188358	0.277824	606	30.373753	0.536944	0.995337	28.104552	0.459899	0.310639	-1.070157	-0.155532	-1.033249	-0.096804	True	0.591392	0.224308	0.687146	28.833748	0.999574	7825
7826.png	0.718187	0.488258	0.656147	0.488772	0.997851	0.999223	27.877650	0.997028	28.334443	0.474677	0.379151	0.539110	30.235462	0.534043	2461	4	27	56	26	2.136499	6.750000	337	360	714.657053	4.222019	0.038853	-0.007972	-0.052059	0.000013	-0.000222	0.025010	624.806166	4	27	-23	56	26	2.136499	6.750000	4	0	337	360	255	1.985158	4.222019	714.657053	0.038853	45839	18.626168	26.629825	256x256	65536	sparse	Meijering	337	4	27	2401	30.741345	0.597707	28.650434	0.997250	0.449667	0.458006	8	2	0.000000	31	2456	31.008623	0.646819	0.996881	28.131748	0.405479	0.433777	3731	31.257644	0.663618	0.997963	30.049144	0.285853	0.456933	-0.315990	-0.078855	-0.505883	-0.063664	True	0.703290	0.379151	0.726160	27.929709	0.999210	7826
7827.png	0.700921	0.424528	0.596026	0.424991	0.997442	0.999474	27.536911	0.997332	28.464551	0.445696	0.541594	0.941670	31.365539	0.594811	2313	4	9	20	14	2.030864	2.250000	324	329	577.265149	4.769444	0.040249	-0.005546	-0.087257	-0.000009	-0.000182	-0.000363	611.534357	4	9	-5	20	14	2.030864	2.250000	4	0	324	329	290	1.754605	4.769444	577.265149	0.040249	44902	19.412884	28.333766	256x256	65536	sparse	Meijering	324	4	29	2293	31.694602	0.639301	28.720081	0.997514	0.446059	0.500093	6	0	0.750000	40	2274	32.037541	0.680837	0.997462	28.770493	0.299994	0.438431	3901	32.297368	0.706490	0.998647	31.555598	0.401140	0.431373	-0.255530	0.041501	-0.329064	-0.044490	True	0.575142	0.541594	0.706468	27.624168	0.999483	7827
7828.png	0.644654	0.457855	0.628121	0.460878	0.985876	0.999269	27.501434	0.996924	28.145376	0.394459	0.257204	0.434612	30.596319	0.557962	2720	8	21	53	33	2.067532	2.625000	385	398	694.341997	4.161487	0.033845	-0.002741	-0.295757	-0.000066	-0.000475	0.005882	625.934839	8	21	-13	53	33	2.067532	2.625000	8	0	385	398	299	1.744578	4.161487	694.341997	0.033845	45552	16.747059	24.094118	256x256	65536	sparse	Meijering	385	8	30	2623	31.157870	0.623351	28.694180	0.997399	0.388577	0.302324	13	6	0.000000	37	2660	31.480437	0.672875	0.997082	28.372884	0.360243	0.357968	3520	31.523668	0.667338	0.998045	30.159004	0.235272	0.373804	-0.548804	-0.045120	-0.561551	-0.065389	True	0.591801	0.257204	0.647395	27.797191	0.999335	7828
