stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M2_012_y256x512,0.092708,0.188131,0.154532,0.311585,1490,6430,8152
M2_012_y512x512,0.135512,0.153553,0.535613,0.309380,564,3109,489
M2_013_y0x256,0.207420,0.315962,0.376479,0.347132,3086,6681,5111
M2_013_y0x512,0.413871,0.465024,0.790023,0.470135,6588,7579,1751
M2_013_y256x0,0.325968,0.396905,0.645874,0.426016,3334,5066,1828
M2_013_y256x256,0.208376,0.318127,0.376560,0.353750,4707,10089,7793
M2_013_y512x512,0.462593,0.542630,0.758237,0.575556,9343,7875,2979
M2_014_y0x0,0.283528,0.311557,0.759122,0.419921,2871,6344,911
M2_014_y0x256,0.185544,0.190892,0.868807,0.340722,1245,5277,188
M2_014_y0x512,0.288226,0.393312,0.518945,0.467993,1082,1669,1003
M2_014_y256x0,0.299904,0.608527,0.371598,0.659160,3454,2222,5841
M2_014_y256x256,0.245286,0.398521,0.389469,0.478304,3395,5124,5322
M2_014_y256x512,0.194235,0.605144,0.222425,0.692844,2682,1750,9376
M2_014_y512x0,0.087664,0.088751,0.877429,0.242062,587,6027,82
M2_014_y512x512,0.213305,0.248813,0.599143,0.393200,1677,5063,1122
M2_015_y0x512,0.172813,0.362802,0.248122,0.391871,2015,3539,6106
M2_015_y256x256,0.130405,0.313566,0.182506,0.415203,1158,2535,5187
M2_015_y256x512,0.118651,0.120501,0.885406,0.358588,904,6598,117
M2_015_y512x512,0.312340,0.485742,0.466651,0.492858,4037,4274,4614
M2_016_y0x256,0.260218,0.268667,0.892175,0.368401,1961,5338,237
M2_016_y0x512,0.197070,0.383366,0.288529,0.410284,1157,1861,2853
M2_016_y256x256,0.043002,0.055397,0.161210,0.129710,389,6633,2024
M2_016_y512x0,0.204885,0.222062,0.725923,0.276095,2005,7024,757
M2_016_y512x256,0.192813,0.371280,0.286288,0.537964,3493,5915,8708
M2_016_y512x512,0.037897,0.043670,0.222821,0.233962,248,5431,865
M2_017_y256x256,0.101397,0.134871,0.290046,0.514557,1626,10430,3980
M2_017_y256x512,0.319653,0.436488,0.544255,0.490210,4206,5430,3522
M2_017_y512x256,0.085309,0.121052,0.224157,0.221030,824,5983,2852
M2_018_y0x0,0.216598,0.343157,0.369997,0.546727,1211,2318,2062
M2_018_y0x256,0.418996,0.451009,0.855132,0.452549,5832,7099,988
M2_018_y0x512,0.491187,0.527852,0.876106,0.549679,3762,3365,532
M2_018_y256x0,0.154025,0.223673,0.330946,0.375894,1525,5293,3083
M2_018_y256x256,0.256420,0.494315,0.347601,0.544614,2826,2891,5304
M2_018_y512x256,0.141054,0.329608,0.197802,0.437638,1386,2819,5621
M2_018_y512x512,0.332502,0.384782,0.709914,0.471706,1067,1706,436
M2_019_y0x512,0.136633,0.157250,0.510313,0.243707,668,3580,641
M2_019_y256x256,0.474141,0.561302,0.753293,0.574825,3603,2816,1180
M2_019_y512x256,0.384418,0.476131,0.666190,0.477216,4189,4609,2099
M2_019_y512x512,0.541557,0.603282,0.841095,0.603282,4118,2708,778
M2_020_y256x256,0.360778,0.404728,0.768646,0.462062,5359,7882,1613
M2_020_y256x512,0.524281,0.592427,0.820072,0.646047,8637,5942,1895
M2_020_y512x512,0.453513,0.518341,0.783838,0.566562,5073,4714,1399
