L,arm,n,bytes,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_vs_jpeg,length_endcorr_bias_pct,length_endcorr_ccc,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5,components_eq_tubes
0,REF,73,,87.32876712328768,0.0,75.0,12/46 p=5.2e-08,4.695550031547332,0.5586623259136141,4.797295242982969,55/18 p=1.1e-06,6.311589035581273,0.002895117802399086,5.420219449267159,73/0 p=1.1e-13,92.94871794871794,-0.004421122221304026,100.0,17/34 p=7.1e-03,154.54545454545456,-0.009026798307475327,100.0,22/9 p=2.3e-02,-50.0,-0.057971014492753645,100.0,1/3 p=3.2e-01,25.389402653121223,0.0633828636883347,0.6027397260273972,0.4200324035702237,0.6027397260273972,0.5726842206830295,0.0
0,SEG,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.749901200773536,0.33159249252476947,6.859994368811782,42/29 p=7.6e-02,21.600182399573182,0.0005482589675773948,11.10996602173096,44/29 p=1.1e-02,72.75641025641025,-0.04105112566824788,75.0,7/3 p=3.9e-01,254.54545454545453,-0.12869486130059116,100.0,5/3 p=4.8e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,13.96890922002638,0.23873908012814923,0.4794520547945205,0.46509189590315575,0.4794520547945205,0.6419785296397316,0.0
0,GRAPH7,73,3842.7123287671234,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.725697114321697,0.33270915007366286,6.86113965632553,44/29 p=6.1e-02,21.4093032809424,0.0005572293497916465,10.908741071026002,51/22 p=6.2e-05,72.75641025641025,-0.04105112566824788,75.0,7/3 p=3.9e-01,254.54545454545453,-0.12869486130059116,100.0,5/3 p=4.8e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,13.885228871870503,0.24089191950204733,0.4794520547945205,0.46509189590315575,0.4794520547945205,0.6419785296397316,0.0
0,GRAPH7p,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.749901200773493,0.3315924925247711,6.859994368811741,44/29 p=6.5e-02,24.7500117387341,-2.624279336813479e-05,22.612560589053988,29/44 p=4.0e-02,72.75641025641025,-0.04105112566824788,75.0,7/3 p=3.9e-01,254.54545454545453,-0.12869486130059116,100.0,5/3 p=4.8e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,15.795911715277136,0.1874439997976271,0.4794520547945205,0.46509189590315575,0.4794520547945205,0.6419785296397316,0.0
0,GRAPH6,73,3767.671232876712,35.273972602739725,0.0,25.0,57/0 p=1.5e-12,-12.918539766292561,0.25274099336320893,10.243206690467192,1/72 p=1.2e-13,21.223869970335027,0.0005746909389951608,10.65397957124211,48/25 p=8.4e-05,33.01282051282051,-0.048176246196048184,50.0,59/3 p=1.6e-10,-9.090909090909092,-0.11597258829731158,100.0,26/2 p=1.2e-05,-100.0,0.0,100.0,1/0 p=3.2e-01,7.059892682882796,0.4337364386817381,0.7671232876712328,0.5138254051248665,0.7671232876712328,0.708834502200421,0.3698630136986301
0,JPEG,73,3803.2602739726026,58.56164383561644,0.0,50.0,,-9.987707929761493,0.31964538948535787,7.290933412796696,,21.836690617881004,0.000530943491531626,11.44295347069473,,75.96153846153845,-0.02736433133481475,75.0,,290.90909090909093,-0.07624262847514746,100.0,,-83.33333333333334,-0.024048096192384776,100.0,,13.98595206109229,0.234511773849396,0.4520547945205479,0.4700760631151528,0.4520547945205479,0.6446457781259197,0.0
2,REF,73,,87.32876712328768,0.0,75.0,12/46 p=5.2e-08,4.6802059807103955,0.5613590614992505,4.797295242982969,55/18 p=1.0e-06,6.308389959293746,0.0029011758675192446,5.420219449267159,73/0 p=1.1e-13,90.99678456591641,-0.0041320067416952145,100.0,18/33 p=1.0e-02,118.18181818181817,0.016761448668063457,100.0,22/7 p=7.2e-03,-50.0,-0.057971014492753645,100.0,1/3 p=3.2e-01,25.25397358617733,0.06470971132292827,0.6575342465753424,0.4201213398473672,0.6575342465753424,0.5729652876406897,0.0
2,SEG,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.755603817390229,0.33152302718072,6.859994368811782,42/29 p=6.8e-02,21.59587984494025,0.0005495214502628478,11.113389906849946,44/29 p=1.1e-02,72.02572347266882,-0.05081987733133057,75.0,6/2 p=3.0e-01,236.36363636363635,-0.1894785847299814,100.0,4/3 p=7.1e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,13.897994215039553,0.24076870824854685,0.4931506849315068,0.46347345676833784,0.4931506849315068,0.6405251289606012,0.0
2,GRAPH7,73,3842.7123287671234,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.732028855095509,0.33262727199926756,6.86113965632553,44/29 p=5.6e-02,21.405224204124842,0.0005585125318015265,10.908741071026002,51/22 p=6.2e-05,72.02572347266882,-0.05081987733133057,75.0,6/2 p=3.0e-01,236.36363636363635,-0.1894785847299814,100.0,4/3 p=7.1e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,13.81593621035984,0.24288122551894958,0.4931506849315068,0.46347345676833784,0.4931506849315068,0.6405251289606012,0.0
2,GRAPH7p,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.755603817390186,0.33152302718072163,6.859994368811741,44/29 p=5.8e-02,24.748307430284196,-2.569288376104062e-05,22.612560589053988,29/44 p=4.0e-02,72.02572347266882,-0.05081987733133057,75.0,6/2 p=3.0e-01,236.36363636363635,-0.1894785847299814,100.0,4/3 p=7.1e-01,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,15.731188043769556,0.18911024731909815,0.4931506849315068,0.46347345676833784,0.4931506849315068,0.6405251289606012,0.0
2,GRAPH6,73,3767.671232876712,35.273972602739725,0.0,25.0,57/0 p=1.5e-12,-12.914015004295498,0.252880578935699,10.243206690467192,1/72 p=1.2e-13,21.223921184494024,0.0005759970395989586,10.65397957124211,48/25 p=9.6e-05,33.440514469453376,-0.04439434665741784,50.0,57/4 p=9.7e-11,-9.090909090909092,-0.11597258829731158,100.0,25/1 p=6.8e-06,-100.0,0.0,100.0,1/0 p=3.2e-01,7.065455526368894,0.43369314563880773,0.7671232876712328,0.5141458409175446,0.7671232876712328,0.7092350469412685,0.3698630136986301
2,JPEG,73,3803.2602739726026,58.56164383561644,0.0,50.0,,-9.998618913547718,0.31935898132569784,7.290933412796696,,21.83507288200953,0.0005316014567310597,11.44295347069473,,74.59807073954984,-0.039359887038889214,75.0,,263.6363636363637,-0.1321645313553608,100.0,,-83.33333333333334,-0.024048096192384776,100.0,,13.88893090714302,0.2368428904036273,0.4657534246575342,0.46901068783548955,0.4657534246575342,0.6450846480550879,0.0
5,REF,73,,87.32876712328768,0.0,75.0,12/46 p=5.2e-08,4.513778612578662,0.5654577624189506,4.742699774716681,54/19 p=2.6e-07,6.2581608093643,0.00308937192801695,5.393877905051023,73/0 p=1.1e-13,88.62876254180601,-0.007951013220560571,100.0,13/42 p=2.9e-06,50.0,-0.0844409695074277,100.0,8/4 p=3.6e-01,-50.0,-0.057971014492753645,100.0,1/3 p=3.2e-01,24.681989872075164,0.06330297573071308,0.821917808219178,0.4125644258461411,0.821917808219178,0.5685279322622978,0.0
5,SEG,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.964112781571185,0.3244454113782452,7.198864424904511,44/27 p=3.3e-02,21.453463170023433,0.0005690696193412739,11.121767308550298,44/29 p=1.9e-02,62.207357859531776,-0.011479305860723734,75.0,4/2 p=4.5e-01,116.66666666666666,-0.10242941562705184,100.0,2/2 p=1.0e+00,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,12.675612722553888,0.259884541490543,0.7671232876712328,0.46738517308875593,0.7671232876712328,0.6450583201876264,0.0
5,GRAPH7,73,3842.7123287671234,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.946508400781303,0.3253845300142419,7.1425771737377834,46/27 p=2.7e-02,21.2703988500592,0.0005793275153931785,10.910777639107886,51/22 p=9.4e-05,62.207357859531776,-0.011479305860723734,75.0,4/2 p=4.5e-01,116.66666666666666,-0.10242941562705184,100.0,2/2 p=1.0e+00,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,12.610148477864252,0.26206251896316946,0.7671232876712328,0.46738517308875593,0.7671232876712328,0.6450583201876264,0.0
5,GRAPH7p,73,,57.87671232876712,0.0,50.0,2/0 p=1.6e-01,-9.964112781571142,0.3244454113782469,7.198864424904482,46/27 p=2.7e-02,24.448733856061384,-5.158816187764012e-05,22.465272081582636,29/44 p=6.8e-02,62.207357859531776,-0.011479305860723734,75.0,4/2 p=4.5e-01,116.66666666666666,-0.10242941562705184,100.0,2/2 p=1.0e+00,-66.66666666666667,-0.04285714285714286,100.0,0/1 p=3.2e-01,14.153570359929022,0.20366409607821268,0.7671232876712328,0.46738517308875593,0.7671232876712328,0.6450583201876264,0.0
5,GRAPH6,73,3767.671232876712,35.273972602739725,0.0,25.0,57/0 p=1.5e-12,-12.824654613892909,0.25508145709992325,9.723612873177224,2/71 p=1.4e-13,21.224794377222487,0.0005948772713878751,10.65397957124211,46/27 p=6.0e-04,38.79598662207358,-0.02383410772672517,50.0,56/1 p=1.2e-11,66.66666666666667,-0.10050251256281412,100.0,3/0 p=8.3e-02,-100.0,0.0,100.0,1/0 p=3.2e-01,7.175317186714578,0.4297517829550292,0.7945205479452054,0.509259767285977,0.7945205479452054,0.7049998248543564,0.3698630136986301
5,JPEG,73,3803.2602739726026,58.56164383561644,0.0,50.0,,-10.273840901159945,0.3099343177263976,7.404688714459449,,21.679341937573,0.0005392747900075759,11.44780213852601,,63.210702341137136,-0.012173416247335684,75.0,,116.66666666666666,-0.10242941562705184,100.0,,-83.33333333333334,-0.024048096192384776,100.0,,12.561975668320526,0.2580592850826104,0.7671232876712328,0.472919861103617,0.7671232876712328,0.6477959202293863,0.0
10,REF,73,,87.32876712328768,0.0,75.0,12/46 p=5.2e-08,4.285856801189287,0.549910166286449,4.742699774716681,58/15 p=2.0e-08,6.234588869356412,0.003328921373217504,5.393877905051023,73/0 p=1.1e-13,86.95652173913044,-0.007331623550401429,100.0,12/44 p=1.8e-07,16.666666666666668,-0.07260155574762318,100.0,2/5 p=1.6e-01,-50.0,-0.057971014492753645,100.0,1/3 p=3.2e-01,24.36156264097427,0.05836412552181872,0.8493150684931506,0.41810072992324326,0.8493150684931506,0.5743349602551509,0.0
