L,descriptor,arm,mdape_calibrated,closer_than_jpeg,jpeg_closer,p
5,n_components,GRAPH6,2.220446049250313e-14,11.0,54.0,5.239803493964266e-08
5,n_components,GRAPH7,2.220446049250313e-14,0.0,45.0,3.2759523633437496e-09
5,n_components,GRAPH7p,2.220446049250313e-14,0.0,45.0,3.2759523633437496e-09
5,n_components,JPEG,1.1102230246251565e-14,,,
5,n_components,REF,3.3306690738754696e-14,0.0,73.0,6.267985418505733e-14
5,n_components,SEG,2.220446049250313e-14,0.0,45.0,3.2759523633437496e-09
5,total_length_px,GRAPH6,2.3885479623372587,38.0,35.0,0.420593531584343
5,total_length_px,GRAPH7,2.3628185755541415,42.0,31.0,0.1298796405984309
5,total_length_px,GRAPH7p,2.3770032609137286,42.0,31.0,0.14591759467370868
5,total_length_px,JPEG,2.622793908363161,,,
5,total_length_px,REF,1.6566952894503655,40.0,33.0,0.07178967547764233
5,total_length_px,SEG,2.3770032609137135,42.0,31.0,0.14591759467370868
5,mean_width_px,GRAPH6,0.0773052157133063,44.0,29.0,0.035003947203073524
5,mean_width_px,GRAPH7,0.07721667458882982,45.0,28.0,0.10309613724071236
5,mean_width_px,GRAPH7p,0.07210490803842322,32.0,41.0,0.569358143186087
5,mean_width_px,JPEG,0.07617641214145786,,,
5,mean_width_px,REF,0.06704928675473044,34.0,39.0,0.6344031303135249
5,mean_width_px,SEG,0.07727145517927228,44.0,29.0,0.059712167700778064
5,n_branches,GRAPH6,1.5384615384615774,35.0,38.0,0.7288877923534658
5,n_branches,GRAPH7,1.8536304264310077,36.0,37.0,0.9604814145100649
5,n_branches,GRAPH7p,1.8536304264310077,36.0,37.0,0.9604814145100649
5,n_branches,JPEG,1.796714579055414,,,
5,n_branches,REF,3.1996021220159543,29.0,44.0,0.05633975756981506
5,n_branches,SEG,1.8536304264310077,36.0,37.0,0.9604814145100649
5,n_junctions,GRAPH6,93.65079365079364,61.0,12.0,5.040354312800184e-08
5,n_junctions,GRAPH7,93.28165374677002,37.0,36.0,0.008070102459887936
5,n_junctions,GRAPH7p,93.28165374677002,37.0,36.0,0.008070102459887936
5,n_junctions,JPEG,93.45454545454545,,,
5,n_junctions,REF,94.11764705882352,58.0,15.0,0.0011491860319847382
5,n_junctions,SEG,93.28165374677002,37.0,36.0,0.008070102459887936
5,cycle_rank,GRAPH6,94.44444444444444,33.0,4.0,1.8646063481805932e-06
5,cycle_rank,GRAPH7,94.11764705882352,4.0,33.0,1.8646063481805932e-06
5,cycle_rank,GRAPH7p,94.11764705882352,4.0,33.0,1.8646063481805932e-06
5,cycle_rank,JPEG,94.28571428571428,,,
5,cycle_rank,REF,94.44444444444444,35.0,38.0,0.001059051450553656
5,cycle_rank,SEG,94.11764705882352,4.0,33.0,1.8646063481805932e-06
auto,n_components,GRAPH6,3.3306690738754696e-14,14.0,13.0,0.054304700243265044
auto,n_components,GRAPH7,4.440892098500626e-14,36.0,25.0,5.887937908003781e-06
auto,n_components,GRAPH7p,1.1102230246251565e-14,60.0,7.0,5.7039399372915993e-11
auto,n_components,JPEG,3.3306690738754696e-14,,,
auto,n_components,REF,0.0,37.0,36.0,0.006420192405669955
auto,n_components,SEG,4.440892098500626e-14,25.0,28.0,0.010890638180294529
auto,total_length_px,GRAPH6,2.440822187857619,40.0,33.0,0.20904652940178214
auto,total_length_px,GRAPH7,2.443225979713205,43.0,30.0,0.1312785628106903
auto,total_length_px,GRAPH7p,2.212647977610657,38.0,35.0,0.21508679059273728
auto,total_length_px,JPEG,2.4303400064897174,,,
auto,total_length_px,REF,2.0629231166171307,44.0,29.0,0.1736258670342511
auto,total_length_px,SEG,2.427998996074807,41.0,32.0,0.10426321130750228
auto,mean_width_px,GRAPH6,0.07525576938736409,44.0,29.0,0.08283314204290872
auto,mean_width_px,GRAPH7,0.07496685352210057,39.0,34.0,0.5362622379480191
auto,mean_width_px,GRAPH7p,0.07442218354928946,32.0,41.0,0.22543158259392926
auto,mean_width_px,JPEG,0.07452781931330371,,,
auto,mean_width_px,REF,0.06555581426558268,33.0,40.0,0.622697242356215
auto,mean_width_px,SEG,0.07496073318891373,37.0,36.0,0.5326455742013261
auto,n_branches,GRAPH6,1.6203703703703276,39.0,34.0,0.005404080196683534
auto,n_branches,GRAPH7,1.4870931537598553,47.0,26.0,0.0035482200851451027
auto,n_branches,GRAPH7p,4.3103448275861656,38.0,35.0,0.03379076655638155
auto,n_branches,JPEG,1.4207980652962249,,,
auto,n_branches,REF,3.6666666666666403,35.0,38.0,0.11410552219258084
auto,n_branches,SEG,1.4870931537598553,48.0,25.0,0.001642499649726844
auto,n_junctions,GRAPH6,94.44444444444444,0.0,0.0,
auto,n_junctions,GRAPH7,94.44444444444444,0.0,0.0,
auto,n_junctions,GRAPH7p,94.44444444444444,0.0,0.0,
auto,n_junctions,JPEG,94.44444444444444,,,
auto,n_junctions,REF,94.28571428571428,8.0,65.0,2.7530551322363888e-08
auto,n_junctions,SEG,94.44444444444444,0.0,0.0,
auto,cycle_rank,GRAPH6,94.44444444444444,0.0,0.0,
auto,cycle_rank,GRAPH7,94.44444444444444,0.0,0.0,
auto,cycle_rank,GRAPH7p,94.44444444444444,0.0,0.0,
auto,cycle_rank,JPEG,94.44444444444444,,,
auto,cycle_rank,REF,94.44444444444444,2.0,34.0,4.072004166217703e-06
auto,cycle_rank,SEG,94.44444444444444,0.0,0.0,
