filename,image_type,n_nodes,n_edges,n_endpoints,n_junctions,n_sampled,n_components,mean_degree,mean_edge_length,mean_width,total_edge_length,mean_curvature
7249.png,sparse,352,307,21,45,286,45,1.7443181818181819,1.9399741038896299,4.096014386550947,595.5720498941171,0.03285619741982373
yfpyhq-mitochondria-cv1-cells.jpg,dense,8489,6854,307,1788,6394,1635,1.614795617858405,2.054839403971919,4.035938695710319,14083.869274823994,0.1038919020386446
