Metric                        Sparse                              Dense
-----------------------------------------------------------------------
filename                    7249.png  yfpyhq-mitochondria-cv1-cells.jpg
ng_fg_ssim                    0.9822                             0.9060
ng_fg_psnr                   16.2825                            11.4071
ng_iou                        0.4333                             0.6311
ng_topo_q                     0.3430                             0.9871
graph_n_nodes                    352                               8489
graph_n_edges                    307                               6854
graph_n_endpoints                 21                                307
graph_n_junctions                 45                               1788
graph_n_sampled                  286                               6394
graph_n_components                45                               1635
graph_mean_degree             1.7443                             1.6148
graph_mean_edge_length        1.9400                             2.0548
graph_mean_width              4.0960                             4.0359
graph_total_edge_length       595.57                           14083.87
graph_mean_curvature          0.0329                             0.1039
ng_psnr                      21.7736                            15.9741
ng_ssim                       0.1659                             0.3561
ng_bytes                        1713                              42461
png_bytes                      45624                             266195
ng_vs_png                    26.6340                             6.2692
ng_vs_raw                    38.2580                            17.0208
image_shape                  256x256                           722x1001
image_pixels                   65536                             722722
image_type                    sparse                              dense
segmenter                  Meijering                               Otsu
n_points                         352                               8489
n_structures                       4                                 15
total_time_ms                 632.61                           44541.44
jpeg_quality                      21                                 34
jpeg_bytes                      1682                              41294
jpeg_psnr                    30.8399                            38.5781
jpeg_ssim                     0.5810                             0.9675
jpeg_fg_psnr                 28.1045                            34.2040
jpeg_fg_ssim                  0.9970                             0.9980
jpeg_iou                      0.4419                             0.7198
jpeg_topo_q                   0.4185                             0.8031
delta_fg_ssim                -0.0148                            -0.0920
delta_fg_psnr               -11.8220                           -22.7969
delta_iou                    -0.0086                            -0.0888
delta_topo_q                 -0.0756                             0.1840
delta_psnr                   -9.0662                           -22.6040
delta_ssim                   -0.4151                            -0.6114
