filename,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,graph_n_nodes,graph_n_edges,graph_n_endpoints,graph_n_junctions,graph_n_sampled,graph_n_components,graph_mean_degree,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,ng_psnr,ng_ssim,ng_bytes,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,total_time_ms,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,delta_fg_ssim,delta_fg_psnr,delta_iou,delta_topo_q,delta_psnr,delta_ssim
7249.png,0.982245686447133,16.282532952854513,0.43326693227091634,0.34295318018494325,352,307,21,45,286,45,1.7443181818181819,1.9399741038896299,4.096014386550947,595.5720498941171,0.03285619741982373,21.773616519753283,0.16588910363591566,1713,45624,26.63397548161121,38.25802685347344,256x256,65536,sparse,Meijering,352,4,632.3769092559814,21,1682,30.839861227371735,0.5809545742976947,28.10452578530848,0.9970147511401032,0.44191496484767323,0.4185453059230718,-0.014769064692970235,-11.821992832453965,-0.008648032576756892,-0.07559212573812857,-9.066244707618452,-0.415065470661779
yfpyhq-mitochondria-cv1-cells.jpg,0.9060039785408762,11.40705795363288,0.63105042240051,0.9870931874195201,8489,6854,307,1788,6394,1635,1.614795617858405,2.054839403971919,4.035938695710319,14083.869274823994,0.1038919020386446,15.97406202754798,0.35608895726368867,42461,266195,6.269164645203834,17.020842655613386,722x1001,722722,dense,Otsu,8489,15,44334.15770530701,34,41294,38.57805838647416,0.9674831690229203,34.204001105346315,0.9980006957607557,0.719848798749682,0.8030883247958059,-0.09199671721987945,-22.796943151713435,-0.08879837634917198,0.18400486262371418,-22.60399635892618,-0.6113942117592317
