stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M1_016_y512x768,0.084203,0.086050,0.796875,0.354167,1581,16792,403
M1_016_y768x0,0.178733,0.193971,0.694682,0.547795,4298,17860,1889
M1_016_y768x256,0.161204,0.167566,0.809366,0.361912,3664,18202,863
M1_016_y768x512,0.103884,0.109164,0.682295,0.442880,1950,15913,908
M1_017_y0x512,0.324139,0.371935,0.716098,0.494762,7509,12680,2977
M1_017_y0x768,0.164081,0.178645,0.668057,0.305450,1121,5154,557
M1_017_y256x512,0.070263,0.070948,0.879098,0.220075,1287,16853,177
M1_017_y512x256,0.172921,0.194014,0.613984,0.423784,2327,9667,1463
M1_017_y512x512,0.138211,0.153285,0.584270,0.401629,2860,15798,2035
M1_017_y768x512,0.255800,0.306356,0.607855,0.451596,5943,13456,3834
M1_018_y256x256,0.096305,0.103431,0.582958,0.214857,1423,12335,1018
M1_018_y256x768,0.271475,0.315420,0.660851,0.578469,5341,11592,2741
M1_018_y512x256,0.183730,0.199695,0.696793,0.336543,4194,16808,1825
M1_018_y512x768,0.276341,0.314945,0.692734,0.470420,5749,12505,2550
M1_018_y768x256,0.067466,0.073385,0.455492,0.293830,962,12147,1150
M1_018_y768x768,0.009783,0.012258,0.046218,0.022330,55,4432,1135
M1_019_y256x0,0.116964,0.119845,0.829502,0.243532,1299,9540,267
M1_019_y256x256,0.294345,0.330973,0.726755,0.462613,7152,14457,2689
M1_019_y256x512,0.274818,0.313876,0.688325,0.458193,7458,16303,3377
M1_019_y256x768,0.240536,0.261998,0.745959,0.446360,7015,19760,2389
M1_019_y512x0,0.064463,0.065152,0.859056,0.230871,1219,17491,200
M1_019_y512x512,0.120466,0.132939,0.562170,0.266000,3192,20819,2486
M1_019_y512x768,0.226405,0.251054,0.697523,0.420759,6194,18478,2686
M1_019_y768x512,0.063520,0.064399,0.823109,0.272154,1382,20078,297
M1_020_y256x512,0.027686,0.027816,0.855362,0.262735,686,23976,116
M1_020_y256x768,0.116061,0.142480,0.384971,0.387984,1834,11038,2930
M1_020_y512x512,0.091760,0.113209,0.326294,0.250976,1607,12588,3318
M1_020_y768x256,0.028689,0.028973,0.744884,0.148008,546,18299,187
M1_020_y768x512,0.057641,0.060353,0.561987,0.273298,1437,22373,1120
M1_020_y768x768,0.213618,0.256448,0.561221,0.463979,3291,9542,2573
M1_021_y256x0,0.131207,0.135168,0.817431,0.286475,2476,15842,553
M1_021_y512x0,0.213111,0.237237,0.676963,0.321202,5172,16629,2468
M1_021_y512x512,0.084461,0.093566,0.464644,0.201665,1623,15723,1870
M1_021_y512x768,0.143213,0.160254,0.573884,0.313779,2070,10847,1537
M1_021_y768x512,0.161050,0.211054,0.404675,0.350838,3895,14560,5730
M2_001_y256x0,0.078805,0.079246,0.934126,0.270249,1021,11863,72
M2_001_y256x256,0.334006,0.365540,0.794735,0.530830,4468,7755,1154
M2_001_y256x512,0.251957,0.303565,0.597104,0.518495,4990,11448,3367
M2_001_y512x0,0.519928,0.577939,0.838183,0.639673,7749,5659,1496
M2_002_y0x0,0.131876,0.133504,0.915361,0.205229,1460,9476,135
M2_002_y0x256,0.145592,0.209090,0.324058,0.342084,2958,11189,6170
M2_002_y0x512,0.168411,0.281860,0.294984,0.291963,3364,8571,8040
M2_002_y256x0,0.217005,0.235499,0.734276,0.362056,3374,10953,1221
M2_002_y256x512,0.214897,0.334423,0.375492,0.393479,4296,8550,7145
M2_002_y512x0,0.231608,0.398869,0.355803,0.538628,3737,5632,6766
M2_003_y0x256,0.155045,0.165180,0.716484,0.392264,3073,15531,1216
M2_003_y256x256,0.211959,0.311079,0.399476,0.355627,3201,7089,4812
M2_003_y512x0,0.264338,0.272623,0.896885,0.311685,5471,14597,629
M2_003_y512x512,0.107447,0.180289,0.210073,0.264286,1147,5215,4313
M2_004_y0x0,0.072294,0.072777,0.915842,0.222623,925,11785,85
M2_004_y0x512,0.246897,0.340608,0.472959,0.491308,4635,8973,5165
M2_004_y256x256,0.358224,0.522944,0.532114,0.632643,4946,4512,4349
M2_004_y256x512,0.208989,0.382769,0.315219,0.448121,2790,4499,6061
M2_004_y512x512,0.296234,0.340582,0.694659,0.437702,5294,10250,2327
M2_005_y256x256,0.311926,0.369825,0.665819,0.458660,4449,7581,2233
M2_005_y256x512,0.212555,0.246204,0.608647,0.465596,4378,13404,2815
M2_006_y0x256,0.383385,0.443569,0.738606,0.477166,9059,11364,3206
M2_006_y512x512,0.216787,0.283476,0.479575,0.382572,3745,9466,4064
M2_007_y0x0,0.129209,0.131119,0.898684,0.257057,683,4526,77
M2_007_y0x256,0.277708,0.289310,0.873822,0.347388,6863,16859,991
M2_007_y256x256,0.174445,0.187085,0.720833,0.368571,3633,15786,1407
M2_007_y512x0,0.074074,0.074729,0.894244,0.276719,668,8271,79
M2_007_y512x512,0.187946,0.330050,0.303875,0.523045,3552,7210,8137
M2_008_y0x0,0.267737,0.410308,0.435195,0.456520,5087,7311,6602
M2_008_y256x0,0.308415,0.391686,0.591957,0.587423,5446,8458,3754
M2_008_y256x256,0.281074,0.373252,0.532305,0.645466,6698,11247,5885
M2_008_y512x0,0.188424,0.201544,0.743218,0.335394,2767,10962,956
M2_008_y512x256,0.212610,0.223274,0.816562,0.471200,4033,14030,906
M2_009_y0x256,0.139411,0.150249,0.659029,0.310460,1208,6832,625
M2_009_y0x512,0.158504,0.170069,0.699784,0.307238,2916,14230,1251
M2_009_y256x512,0.289023,0.413414,0.489944,0.465556,5116,7259,5326
M2_009_y512x512,0.061240,0.063116,0.673276,0.331917,781,11593,379
M2_010_y0x512,0.159766,0.165803,0.814409,0.288769,2080,10465,474
M2_010_y256x512,0.283119,0.313625,0.744290,0.543780,5018,10982,1724
M2_010_y512x0,0.218008,0.228457,0.826591,0.393726,3351,11317,703
M2_010_y512x512,0.156279,0.177670,0.564844,0.374482,2169,10039,1671
M2_011_y0x256,0.093881,0.095256,0.866723,0.376411,1034,9821,159
M2_011_y256x0,0.217910,0.223486,0.897260,0.318864,3144,10924,360
M2_011_y512x0,0.347642,0.376121,0.821149,0.446998,3774,6260,822
M2_011_y512x512,0.168013,0.179327,0.726998,0.329621,3848,17610,1445
M2_012_y0x0,0.098880,0.099200,0.968421,0.199566,1104,10025,36
M2_012_y0x256,0.328448,0.410798,0.620987,0.539027,7776,11153,4746
M2_012_y256x0,0.264440,0.273207,0.891784,0.469409,2225,5919,270
M2_012_y256x256,0.199789,0.217329,0.712273,0.483220,2275,8193,919
M2_012_y256x512,0.198807,0.271865,0.425223,0.420556,4100,10981,5542
M2_012_y512x512,0.081885,0.084515,0.724596,0.274066,763,8265,290
M2_013_y0x256,0.289731,0.362920,0.589606,0.423687,4833,8484,3364
M2_013_y0x512,0.318509,0.395730,0.620098,0.442382,5171,7896,3168
M2_013_y256x0,0.270299,0.317094,0.646842,0.411055,3339,7191,1823
M2_013_y256x256,0.223299,0.328411,0.410960,0.367743,5137,10505,7363
M2_013_y512x512,0.238716,0.388912,0.382000,0.525981,4707,7396,7615
M2_014_y0x0,0.190572,0.193532,0.925701,0.416637,3501,14589,281
M2_014_y0x256,0.083328,0.084350,0.872994,0.262815,1251,13580,182
M2_014_y0x512,0.125015,0.142936,0.499281,0.349681,1041,6242,1044
M2_014_y256x0,0.337320,0.470901,0.543195,0.668742,5049,5673,4246
M2_014_y256x256,0.173040,0.274214,0.319261,0.421220,2783,7366,5934
M2_014_y256x512,0.229312,0.467800,0.310250,0.635036,3741,4256,8317
M2_014_y512x0,0.061859,0.062156,0.928251,0.236032,621,9370,48
M2_014_y512x512,0.157219,0.168317,0.704537,0.356214,1972,9744,827
M2_015_y0x512,0.183558,0.309685,0.310676,0.428208,2523,5624,5598
M2_015_y256x256,0.227538,0.299747,0.485737,0.484667,3082,7200,3263
M2_015_y256x512,0.064832,0.065256,0.908913,0.297722,928,13293,93
M2_015_y512x512,0.293014,0.442949,0.463993,0.512971,4014,5048,4637
M2_016_y0x256,0.159263,0.160913,0.939490,0.283771,2065,10768,133
M2_016_y0x512,0.244269,0.266000,0.749377,0.378130,3005,8292,1005
M2_016_y256x256,0.090719,0.096731,0.593452,0.255897,1432,13372,981
M2_016_y512x0,0.133043,0.141682,0.685735,0.216111,1894,11474,868
M2_016_y512x256,0.227435,0.310217,0.460126,0.531176,5614,12483,6587
M2_016_y512x512,0.063469,0.066556,0.577718,0.279687,643,9018,470
M2_017_y256x256,0.128840,0.154038,0.440599,0.501727,2470,13565,3136
M2_017_y256x512,0.187558,0.297171,0.337086,0.446750,2605,6161,5123
M2_017_y512x256,0.148680,0.167330,0.571545,0.288322,2101,10455,1575
M2_018_y0x0,0.208383,0.224040,0.748854,0.466946,2451,8489,822
M2_018_y0x256,0.275484,0.357824,0.544868,0.387325,3716,6669,3104
M2_018_y0x512,0.309333,0.366329,0.665347,0.477121,2857,4942,1437
M2_018_y256x0,0.165348,0.185954,0.598741,0.372787,2759,12078,1849
M2_018_y256x256,0.265396,0.343083,0.539606,0.435867,4387,8400,3743
M2_018_y512x256,0.258597,0.332950,0.536606,0.476794,3760,7533,3247
M2_018_y512x512,0.160603,0.174625,0.666667,0.405504,1002,4736,501
M2_019_y0x512,0.095484,0.097972,0.789916,0.194764,1034,9520,275
M2_019_y256x256,0.260819,0.346143,0.514112,0.418268,2459,4645,2324
M2_019_y512x256,0.219001,0.298808,0.450541,0.372812,2833,6648,3455
M2_019_y512x512,0.327809,0.426722,0.585784,0.531702,2868,3853,2028
M2_020_y256x256,0.249213,0.332063,0.499713,0.531503,3484,7008,3488
M2_020_y256x512,0.296783,0.398355,0.537885,0.614159,5665,8556,4867
M2_020_y512x512,0.258765,0.368996,0.464153,0.543907,3004,5137,3468
