model,arm,L,n,iou,precision,recall,bytes,junc_f1_3,end_f1_3,n_components_bias_pct,n_components_ccc,n_components_mdape,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape
shipped,SEG,0,108,0.8862155810192628,0.9332890204101354,0.9461145052576314,,0.5188942224244941,0.7559494962104486,-1.8292682926829267,0.8075471698113212,0.0,-5.07535199342405,0.9477406416215733,5.184046738497739,4.367768895260745,0.8940829892957116,3.9113473934434486,-26.452905811623246,0.4855820068017492,30.0,-36.7704280155642,0.5351569800037376,42.857142857142854,-29.6875,0.47058823529411764,58.33333333333333
shipped,SEG,5,108,0.8862155810192628,0.9332890204101354,0.9461145052576314,,0.7000316314041805,0.794173405231284,-1.8292682926829267,0.8075471698113212,0.0,-2.8711345934138945,0.9677807309138626,3.0175338567678733,3.6999425480797887,0.9071322098454171,3.3492894453201414,-10.208126858275518,0.763664734730272,14.285714285714285,-18.596491228070178,0.7476398478230238,25.0,-29.6875,0.47058823529411764,58.33333333333333
shipped,GRAPH7,0,108,0.8862155810192628,0.9332890204101354,0.9461145052576314,178.07407407407408,0.5188942224244941,0.7559494962104486,-1.8292682926829267,0.8075471698113212,0.0,-4.97157176748233,0.9490562455622039,5.110119611495046,4.296073695135303,0.8921047616460068,3.5078376166332843,-26.452905811623246,0.4855820068017492,30.0,-36.7704280155642,0.5351569800037376,42.857142857142854,-29.6875,0.47058823529411764,58.33333333333333
shipped,GRAPH7,5,108,0.8862155810192628,0.9332890204101354,0.9461145052576314,178.07407407407408,0.7000316314041805,0.794173405231284,-1.8292682926829267,0.8075471698113212,0.0,-2.791437706174517,0.9685267591024598,3.0001389961438694,3.619834441649578,0.904681588310633,3.2799766896652205,-10.208126858275518,0.763664734730272,14.285714285714285,-18.596491228070178,0.7476398478230238,25.0,-29.6875,0.47058823529411764,58.33333333333333
clean_base,SEG,0,108,0.8769554493407605,0.9187108512883,0.9507506140096317,,0.49606312152536775,0.734606859722709,-2.2357723577235773,0.7989487516425756,0.0,-5.511047709051636,0.9433628611892233,5.538840548842236,6.6464699033040215,0.8323679626803663,6.435915845554,-27.788911155644623,0.49233077237805156,27.27272727272727,-38.13229571984436,0.5422288181327577,40.0,-28.124999999999996,0.4889033942558746,50.0
clean_base,SEG,5,108,0.8769554493407605,0.9187108512883,0.9507506140096317,,0.660413482063809,0.7728291380373685,-2.2357723577235773,0.7989487516425756,0.0,-3.3822792886928794,0.9673718823493799,3.4289000899657944,5.82184904965892,0.856907479706361,5.452427082493099,-12.091179385530225,0.7936455530813378,14.285714285714285,-21.75438596491228,0.7814478751876754,33.33333333333333,-28.124999999999996,0.4889033942558746,50.0
clean_base,GRAPH7,0,108,0.8769554493407605,0.9187108512883,0.9507506140096317,177.0462962962963,0.49606312152536775,0.734606859722709,-2.2357723577235773,0.7989487516425756,0.0,-5.42804776491681,0.9445448668442614,5.445807317882509,6.54246814601733,0.8348659812912966,5.843158488078867,-27.788911155644623,0.49233077237805156,27.27272727272727,-38.13229571984436,0.5422288181327577,40.0,-28.124999999999996,0.4889033942558746,50.0
clean_base,GRAPH7,5,108,0.8769554493407605,0.9187108512883,0.9507506140096317,177.0462962962963,0.660413482063809,0.7728291380373685,-2.2357723577235773,0.7989487516425756,0.0,-3.322126631644245,0.9680277912500044,3.436012922366321,5.709127165861935,0.8588984304285379,5.092477800830567,-12.091179385530225,0.7936455530813378,14.285714285714285,-21.75438596491228,0.7814478751876754,33.33333333333333,-28.124999999999996,0.4889033942558746,50.0
clean_skelrec,SEG,0,108,0.8777012487983376,0.922111309278272,0.947966681949162,,0.4878480661224898,0.7664927729625267,-3.252032520325203,0.8074866310160427,0.0,-4.570819469945579,0.9546372740326688,4.502718416774416,5.263269960287984,0.8685970844052864,4.7099105540187844,-27.922511690046758,0.48000263308851887,28.57142857142857,-38.13229571984436,0.5231201686577652,42.857142857142854,-26.5625,0.4698835274542428,66.66666666666666
clean_skelrec,SEG,5,108,0.8777012487983376,0.922111309278272,0.947966681949162,,0.6758877439432994,0.8093158634952514,-3.252032520325203,0.8074866310160427,0.0,-2.4467112127590807,0.9712563317674202,3.064953790393209,4.426267388858757,0.887229095249281,3.7514235899197863,-11.298315163528246,0.7801736228485942,14.285714285714285,-19.64912280701754,0.7626588731054168,25.0,-26.5625,0.4698835274542428,66.66666666666666
clean_skelrec,GRAPH7,0,108,0.8777012487983376,0.922111309278272,0.947966681949162,177.97222222222223,0.4878480661224898,0.7664927729625267,-3.252032520325203,0.8074866310160427,0.0,-4.479582457154466,0.9555391859477524,4.50817938633597,5.148508557473607,0.8701101804337081,4.593226153036791,-27.922511690046758,0.48000263308851887,28.57142857142857,-38.13229571984436,0.5231201686577652,42.857142857142854,-26.5625,0.4698835274542428,66.66666666666666
clean_skelrec,GRAPH7,5,108,0.8777012487983376,0.922111309278272,0.947966681949162,177.97222222222223,0.6758877439432994,0.8093158634952514,-3.252032520325203,0.8074866310160427,0.0,-2.3828700901191433,0.9714831282176469,3.0857043423358608,4.324474229444917,0.8878478685414877,3.6651842752731074,-11.298315163528246,0.7801736228485942,14.285714285714285,-19.64912280701754,0.7626588731054168,25.0,-26.5625,0.4698835274542428,66.66666666666666
