model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
shipped,7653,SEG,0,0.8845928529584065,0.9587301587301588,0.9196102314250914,,4,4,238.48023074035518,253.37972567696687,6.602218706909276,6.465562146658278,6,11,1,3,0,0,0.5,0.761904761904762
shipped,7653,SEG,5,0.8845928529584065,0.9587301587301588,0.9196102314250914,,4,4,238.48023074035518,243.96551211459374,6.602218706909276,6.530097199888001,6,6,1,1,0,0,1.0,0.8888888888888888
shipped,7653,GRAPH7,0,0.8845928529584065,0.9587301587301588,0.9196102314250914,156.0,4,4,238.75,253.37972567696687,6.538141509016152,6.465562146658278,6,11,1,3,0,0,0.5,0.761904761904762
shipped,7653,GRAPH7,5,0.8845928529584065,0.9587301587301588,0.9196102314250914,156.0,4,4,238.75,243.96551211459374,6.538141509016152,6.530097199888001,6,6,1,1,0,0,1.0,0.8888888888888888
shipped,7251,SEG,0,0.8544668587896254,0.9280125195618153,0.9151234567901234,,4,4,275.45079348883235,292.5218613006978,4.7972161473961465,4.535192052871718,12,16,4,6,0,1,0.8,0.9600000000000001
shipped,7251,SEG,5,0.8544668587896254,0.9280125195618153,0.9151234567901234,,4,4,273.45079348883235,286.6934341759516,4.788453062639686,4.540674738576738,10,13,3,5,0,1,0.7499999999999999,0.9090909090909091
shipped,7251,GRAPH7,0,0.8544668587896254,0.9280125195618153,0.9151234567901234,191.0,4,4,275.75,292.5218613006978,4.792921740980647,4.535192052871718,12,16,4,6,0,1,0.8,0.9600000000000001
shipped,7251,GRAPH7,5,0.8544668587896254,0.9280125195618153,0.9151234567901234,191.0,4,4,273.75,286.6934341759516,4.784102904385072,4.540674738576738,10,13,3,5,0,1,0.7499999999999999,0.9090909090909091
shipped,7342,SEG,0,0.8641618497109826,0.9239802224969098,0.9303049159925326,,4,4,301.9777054234135,312.048773235279,5.606629634205873,5.383558772387866,13,20,5,8,1,1,0.7692307692307693,0.6923076923076923
shipped,7342,SEG,5,0.8641618497109826,0.9239802224969098,0.9303049159925326,,4,4,298.97770542341357,299.8061325481597,5.599571523520809,5.423371897095238,11,13,4,5,1,1,0.888888888888889,0.761904761904762
