img,arm,L,n_tubes,bytes,length_endcorr,structure_bytes,seg_iou,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5
clip:10,TRUE,0,4,,403.1614716074869,209,0.8124645088018172,4,403.1614716074869,11.641853709464192,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:10,TRUE,2,4,,403.1614716074869,209,0.8124645088018172,4,403.1614716074869,11.641853709464192,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:10,TRUE,5,4,,403.1614716074869,209,0.8124645088018172,4,403.1614716074869,11.641853709464192,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:10,TRUE,10,4,,403.1614716074869,209,0.8124645088018172,4,403.1614716074869,11.641853709464192,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:10,TRUE,auto,4,,403.1614716074869,209,0.8124645088018172,4,403.1614716074869,11.641853709464192,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:10,REF,0,4,,489.92500271464775,209,0.8124645088018172,7,409.13203435596404,12.97024093485941,9,1,0,1,15,0,0.0,0.3478260869565218,0.0,0.5217391304347827
clip:10,REF,2,4,,489.92500271464775,209,0.8124645088018172,7,409.13203435596404,12.97024093485941,9,1,0,1,15,0,0.0,0.3478260869565218,0.0,0.5217391304347827
clip:10,REF,5,4,,489.92500271464775,209,0.8124645088018172,7,409.13203435596404,12.97024093485941,9,1,0,1,15,0,0.0,0.3478260869565218,0.0,0.5217391304347827
clip:10,REF,10,4,,489.92500271464775,209,0.8124645088018172,7,409.13203435596404,12.97024093485941,9,1,0,1,15,0,0.0,0.3478260869565218,0.0,0.5217391304347827
clip:10,REF,auto,4,,489.92500271464775,209,0.8124645088018172,4,404.71782079359093,13.051206314767361,6,1,0,1,15,0,0.0,0.47058823529411764,0.0,0.7058823529411765
clip:10,SEG,0,4,,464.47150304380955,209,0.8124645088018172,5,375.50461735799456,16.064407941668613,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,SEG,2,4,,464.47150304380955,209,0.8124645088018172,5,375.50461735799456,16.064407941668613,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,SEG,5,4,,448.9686371092556,209,0.8124645088018172,5,373.09040379562146,16.0012180817527,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,SEG,10,4,,448.9686371092556,209,0.8124645088018172,5,373.09040379562146,16.0012180817527,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,SEG,auto,4,,464.47150304380955,209,0.8124645088018172,4,371.09040379562146,16.035218614498227,4,0,0,1,11,0,1.0,0.625,1.0,0.875
clip:10,GRAPH7,0,4,3671.0,464.20541243879995,209,0.8124645088018172,5,375.5,16.05393300967486,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,GRAPH7,2,4,3671.0,464.20541243879995,209,0.8124645088018172,5,375.5,16.05393300967486,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,GRAPH7,5,4,3671.0,448.9191537388949,209,0.8124645088018172,5,373.0,15.992297171938098,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,GRAPH7,10,4,3671.0,448.9191537388949,209,0.8124645088018172,5,373.0,15.992297171938098,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,GRAPH7,auto,4,3671.0,464.20541243879995,209,0.8124645088018172,4,371.0,16.025948369630488,4,0,0,1,11,0,1.0,0.625,1.0,0.875
clip:10,GRAPH6,0,4,3553.0,429.77374970770603,209,0.8124645088018172,4,363.95961085457054,15.944497784682353,4,0,0,4,8,0,1.0,0.625,1.0,0.875
clip:10,GRAPH6,2,4,3553.0,429.77374970770603,209,0.8124645088018172,4,363.95961085457054,15.944497784682353,4,0,0,4,8,0,1.0,0.625,1.0,0.875
clip:10,GRAPH6,5,4,3553.0,429.77374970770603,209,0.8124645088018172,4,363.95961085457054,15.944497784682353,4,0,0,4,8,0,1.0,0.625,1.0,0.875
clip:10,GRAPH6,10,4,3553.0,429.77374970770603,209,0.8124645088018172,4,363.95961085457054,15.944497784682353,4,0,0,4,8,0,1.0,0.625,1.0,0.875
clip:10,GRAPH6,auto,4,3553.0,429.77374970770603,209,0.8124645088018172,4,363.95961085457054,15.944497784682353,4,0,0,4,8,0,1.0,0.625,1.0,0.875
clip:10,GRAPH7p,0,4,,467.5125887063465,209,0.8124645088018172,5,375.50461735799473,14.659174616377234,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,GRAPH7p,2,4,,467.5125887063465,209,0.8124645088018172,5,375.50461735799473,14.659174616377234,7,1,0,1,11,0,0.0,0.5263157894736842,0.0,0.7368421052631579
clip:10,GRAPH7p,5,4,,447.8593242550057,209,0.8124645088018172,5,373.0904037956216,14.536090346629608,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,GRAPH7p,10,4,,447.8593242550057,209,0.8124645088018172,5,373.0904037956216,14.536090346629608,5,0,0,1,11,0,1.0,0.5555555555555556,1.0,0.7777777777777777
clip:10,GRAPH7p,auto,4,,467.5125887063465,209,0.8124645088018172,4,371.0904037956216,14.540058658963824,4,0,0,1,11,0,1.0,0.625,1.0,0.875
clip:10,JPEG,0,4,3626.0,462.6494910495453,209,0.8124645088018172,5,373.26197667087524,16.12693539934396,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:10,JPEG,2,4,3626.0,462.6494910495453,209,0.8124645088018172,5,373.26197667087524,16.12693539934396,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:10,JPEG,5,4,3626.0,444.93686606291874,209,0.8124645088018172,5,368.84776310850214,16.005176672569306,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:10,JPEG,10,4,3626.0,444.93686606291874,209,0.8124645088018172,5,368.84776310850214,16.005176672569306,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:10,JPEG,auto,4,3626.0,462.6494910495453,209,0.8124645088018172,4,366.84776310850214,16.03959200742226,4,0,0,1,11,0,1.0,0.75,1.0,0.875
clip:6,TRUE,0,4,,400.13203435596404,213,0.8040229885057472,4,400.13203435596404,11.639768862437307,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:6,TRUE,2,4,,400.13203435596404,213,0.8040229885057472,4,400.13203435596404,11.639768862437307,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:6,TRUE,5,4,,400.13203435596404,213,0.8040229885057472,4,400.13203435596404,11.639768862437307,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:6,TRUE,10,4,,400.13203435596404,213,0.8040229885057472,4,400.13203435596404,11.639768862437307,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:6,TRUE,auto,4,,400.13203435596404,213,0.8040229885057472,4,400.13203435596404,11.639768862437307,4,0,0,0,8,0,1.0,1.0,1.0,1.0
clip:6,REF,0,4,,487.7577195851658,213,0.8040229885057472,8,398.9604614807102,12.906332574244415,10,1,0,1,17,0,0.0,0.4,0.0,0.48
clip:6,REF,2,4,,487.7577195851658,213,0.8040229885057472,8,398.9604614807102,12.906332574244415,10,1,0,1,17,0,0.0,0.4,0.0,0.48
clip:6,REF,5,4,,479.2619107140837,213,0.8040229885057472,8,396.54624791833714,12.902290584269046,8,0,0,1,17,0,1.0,0.3333333333333333,1.0,0.4166666666666667
clip:6,REF,10,4,,473.50427859214517,213,0.8040229885057472,8,390.71782079359093,12.926754743832968,8,0,0,1,17,0,1.0,0.4166666666666667,1.0,0.5
clip:6,REF,auto,4,,487.7577195851658,213,0.8040229885057472,4,380.64675298172546,13.056356390668192,4,0,0,1,17,0,1.0,0.625,1.0,0.75
clip:6,SEG,0,4,,459.271374238623,213,0.8040229885057472,5,371.91883092036767,15.890988127887287,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,SEG,2,4,,459.271374238623,213,0.8040229885057472,5,371.91883092036767,15.890988127887287,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,SEG,5,4,,444.8318775141649,213,0.8040229885057472,5,369.5046173579945,15.836885691646001,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,SEG,10,4,,444.8318775141649,213,0.8040229885057472,5,369.5046173579945,15.836885691646001,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,SEG,auto,4,,459.271374238623,213,0.8040229885057472,4,366.5046173579945,15.88285715529371,4,0,0,1,11,0,1.0,0.75,1.0,0.875
clip:6,GRAPH7,0,4,3997.0,458.7387726706579,213,0.8040229885057472,5,372.0,15.882509758026831,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,GRAPH7,2,4,3997.0,458.7387726706579,213,0.8040229885057472,5,372.0,15.882509758026831,7,1,0,1,11,0,0.0,0.631578947368421,0.0,0.7368421052631579
clip:6,GRAPH7,5,4,3997.0,444.3903775082265,213,0.8040229885057472,5,369.5,15.829279106863275,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
clip:6,GRAPH7,10,4,3997.0,444.3903775082265,213,0.8040229885057472,5,369.5,15.829279106863275,5,0,0,1,11,0,1.0,0.6666666666666665,1.0,0.7777777777777777
