stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M2_008_y256x0,0.009687,0.497238,0.009783,0.497238,90,91,9110
M2_008_y256x256,0.014766,0.465517,0.015020,0.465517,189,217,12394
M2_008_y512x0,0.000000,0.000000,0.000000,0.000000,0,54,3723
M2_009_y0x256,0.050919,0.573964,0.052919,0.573964,97,72,1736
M2_009_y0x512,0.000000,0.000000,0.000000,0.000000,0,217,4167
M2_009_y256x512,0.000000,0.000000,0.000000,0.000000,0,90,10442
M2_009_y512x512,0.000000,0.000000,0.000000,0.000000,0,315,1160
M2_010_y0x512,0.000000,0.000000,0.000000,0.000000,0,57,2554
M2_011_y256x0,0.000000,0.000000,0.000000,0.000000,0,57,3504
M2_011_y512x512,0.005470,0.763158,0.005479,0.763158,29,9,5264
M2_012_y0x256,0.002635,1.000000,0.002635,1.000000,33,0,12489
M2_012_y256x512,0.010255,0.478469,0.010371,0.478469,100,109,9542
M2_013_y0x256,0.000000,0.000000,0.000000,0.000000,0,57,8197
M2_013_y256x0,0.009120,0.322148,0.009299,0.322148,48,101,5114
M2_013_y256x256,0.000000,0.000000,0.000000,0.000000,0,128,12500
M2_013_y512x512,0.005174,0.131737,0.005356,0.133603,66,435,12256
M2_014_y256x0,0.002126,0.151515,0.002152,0.151515,20,112,9275
M2_014_y256x256,0.022203,0.374302,0.023058,0.374302,201,336,8516
M2_014_y256x512,0.022589,0.703325,0.022806,0.703325,275,116,11783
M2_014_y512x512,0.000000,0.000000,0.000000,0.000000,0,57,2799
M2_015_y0x512,0.013842,0.497817,0.014038,0.497817,114,115,8007
M2_015_y256x256,0.011018,0.897436,0.011032,0.897436,70,8,6275
M2_015_y512x512,0.000228,0.015504,0.000231,0.015504,2,127,8649
M2_016_y256x256,0.000000,0.000000,0.000000,nan,0,95,2413
M2_016_y512x0,0.000000,0.000000,0.000000,0.000000,0,42,2762
M2_016_y512x256,0.000163,0.032258,0.000164,0.032258,2,60,12199
M2_016_y512x512,0.000000,0.000000,0.000000,nan,0,633,1113
M2_017_y256x256,0.009190,0.045007,0.011416,0.304762,64,1358,5542
M2_017_y256x512,0.000000,0.000000,0.000000,nan,0,52,7728
M2_017_y512x256,0.000000,0.000000,0.000000,0.000000,0,454,3676
M2_018_y0x256,0.001152,0.061069,0.001173,0.061069,8,123,6812
M2_019_y0x512,0.016715,0.255556,0.017571,0.696970,23,67,1286
M2_019_y256x256,0.066514,0.960843,0.066695,0.960843,319,13,4464
M2_019_y512x256,0.007884,0.480769,0.007952,0.480769,50,54,6238
M2_020_y256x256,0.000000,0.000000,0.000000,0.000000,0,100,6972
M2_020_y256x512,0.005032,1.000000,0.005032,1.000000,53,0,10479
M2_020_y512x512,0.007077,0.621622,0.007108,0.621622,46,28,6426
