nohup: ignoring input
  [GRAPH] 24 branches traced, 195/195 nodes assigned, 0 orphans, 194 edges, 6 components
  [GRAPH] 9 branches traced, 191/191 nodes assigned, 0 orphans, 188 edges, 4 components
  [GRAPH] 18 branches traced, 149/149 nodes assigned, 0 orphans, 149 edges, 4 components
  [GRAPH] 23 branches traced, 193/193 nodes assigned, 0 orphans, 194 edges, 4 components
  [GRAPH] 14 branches traced, 153/153 nodes assigned, 0 orphans, 152 edges, 4 components
  [GRAPH] 12 branches traced, 135/135 nodes assigned, 0 orphans, 132 edges, 4 components
  [GRAPH] 7 branches traced, 117/117 nodes assigned, 0 orphans, 114 edges, 4 components
  [GRAPH] 15 branches traced, 201/201 nodes assigned, 0 orphans, 202 edges, 4 components
  [GRAPH] 29 branches traced, 176/176 nodes assigned, 0 orphans, 179 edges, 4 components
  [GRAPH] 4 branches traced, 182/182 nodes assigned, 0 orphans, 178 edges, 4 components
  [GRAPH] 24 branches traced, 152/152 nodes assigned, 0 orphans, 153 edges, 4 components
  [GRAPH] 17 branches traced, 173/173 nodes assigned, 0 orphans, 172 edges, 5 components
  [GRAPH] 10 branches traced, 163/163 nodes assigned, 0 orphans, 159 edges, 5 components
  [GRAPH] 12 branches traced, 148/148 nodes assigned, 0 orphans, 147 edges, 4 components
  [GRAPH] 18 branches traced, 166/166 nodes assigned, 0 orphans, 165 edges, 5 components
  [GRAPH] 4 branches traced, 129/129 nodes assigned, 0 orphans, 125 edges, 4 components
  [GRAPH] 10 branches traced, 147/147 nodes assigned, 0 orphans, 145 edges, 5 components
  [GRAPH] 18 branches traced, 157/157 nodes assigned, 0 orphans, 156 edges, 5 components
  [GRAPH] 20 branches traced, 141/141 nodes assigned, 0 orphans, 142 edges, 4 components
  [GRAPH] 4 branches traced, 114/114 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 24 branches traced, 187/187 nodes assigned, 0 orphans, 189 edges, 4 components
  [GRAPH] 27 branches traced, 193/193 nodes assigned, 0 orphans, 196 edges, 4 components
  [GRAPH] 7 branches traced, 173/173 nodes assigned, 0 orphans, 168 edges, 5 components
  [GRAPH] 9 branches traced, 113/113 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 33 branches traced, 157/157 nodes assigned, 0 orphans, 161 edges, 4 components
  [GRAPH] 18 branches traced, 199/199 nodes assigned, 0 orphans, 200 edges, 4 components
  [GRAPH] 10 branches traced, 164/164 nodes assigned, 0 orphans, 160 edges, 5 components
  [GRAPH] 26 branches traced, 204/204 nodes assigned, 0 orphans, 205 edges, 5 components
  [GRAPH] 16 branches traced, 199/199 nodes assigned, 0 orphans, 197 edges, 5 components
  [GRAPH] 9 branches traced, 122/122 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 20 branches traced, 156/156 nodes assigned, 0 orphans, 157 edges, 5 components
  [GRAPH] 27 branches traced, 209/209 nodes assigned, 0 orphans, 212 edges, 5 components
  100/726
  [GRAPH] 45 branches traced, 171/171 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 24 branches traced, 169/169 nodes assigned, 0 orphans, 170 edges, 4 components
  [GRAPH] 30 branches traced, 225/225 nodes assigned, 0 orphans, 230 edges, 5 components
  [GRAPH] 24 branches traced, 194/194 nodes assigned, 0 orphans, 196 edges, 4 components
  [GRAPH] 5 branches traced, 130/130 nodes assigned, 0 orphans, 125 edges, 5 components
  [GRAPH] 4 branches traced, 104/104 nodes assigned, 0 orphans, 100 edges, 4 components
  [GRAPH] 12 branches traced, 143/143 nodes assigned, 0 orphans, 140 edges, 5 components
  [GRAPH] 7 branches traced, 214/214 nodes assigned, 0 orphans, 207 edges, 7 components
  [GRAPH] 26 branches traced, 172/172 nodes assigned, 0 orphans, 175 edges, 4 components
  [GRAPH] 5 branches traced, 118/118 nodes assigned, 0 orphans, 114 edges, 4 components
  [GRAPH] 14 branches traced, 159/159 nodes assigned, 0 orphans, 157 edges, 5 components
  [GRAPH] 19 branches traced, 184/184 nodes assigned, 0 orphans, 183 edges, 5 components
  [GRAPH] 22 branches traced, 179/179 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 11 branches traced, 157/157 nodes assigned, 0 orphans, 155 edges, 4 components
  [GRAPH] 22 branches traced, 165/165 nodes assigned, 0 orphans, 166 edges, 5 components
  [GRAPH] 24 branches traced, 183/183 nodes assigned, 0 orphans, 185 edges, 4 components
  [GRAPH] 9 branches traced, 106/106 nodes assigned, 0 orphans, 103 edges, 4 components
  [GRAPH] 31 branches traced, 196/196 nodes assigned, 0 orphans, 198 edges, 5 components
  [GRAPH] 17 branches traced, 162/162 nodes assigned, 0 orphans, 161 edges, 4 components
  [GRAPH] 13 branches traced, 111/111 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 11 branches traced, 129/129 nodes assigned, 0 orphans, 127 edges, 4 components
  [GRAPH] 35 branches traced, 229/229 nodes assigned, 0 orphans, 235 edges, 5 components
  [GRAPH] 28 branches traced, 195/195 nodes assigned, 0 orphans, 200 edges, 4 components
  [GRAPH] 11 branches traced, 144/144 nodes assigned, 0 orphans, 141 edges, 4 components
  [GRAPH] 9 branches traced, 151/151 nodes assigned, 0 orphans, 147 edges, 5 components
  [GRAPH] 4 branches traced, 16/16 nodes assigned, 0 orphans, 16 edges, 1 components
  [GRAPH] 9 branches traced, 143/143 nodes assigned, 0 orphans, 140 edges, 4 components
  [GRAPH] 26 branches traced, 168/168 nodes assigned, 0 orphans, 171 edges, 4 components
  [GRAPH] 22 branches traced, 173/173 nodes assigned, 0 orphans, 173 edges, 4 components
  [GRAPH] 20 branches traced, 166/166 nodes assigned, 0 orphans, 164 edges, 6 components
  [GRAPH] 23 branches traced, 221/221 nodes assigned, 0 orphans, 223 edges, 4 components
  [GRAPH] 15 branches traced, 162/162 nodes assigned, 0 orphans, 160 edges, 5 components
  [GRAPH] 4 branches traced, 117/117 nodes assigned, 0 orphans, 113 edges, 4 components
  [GRAPH] 18 branches traced, 202/202 nodes assigned, 0 orphans, 201 edges, 4 components
  [GRAPH] 18 branches traced, 221/221 nodes assigned, 0 orphans, 220 edges, 4 components
  [GRAPH] 47 branches traced, 176/176 nodes assigned, 0 orphans, 188 edges, 4 components
  [GRAPH] 14 branches traced, 156/156 nodes assigned, 0 orphans, 154 edges, 5 components
  [GRAPH] 12 branches traced, 186/186 nodes assigned, 0 orphans, 183 edges, 5 components
  [GRAPH] 9 branches traced, 103/103 nodes assigned, 0 orphans, 100 edges, 4 components
  [GRAPH] 5 branches traced, 155/155 nodes assigned, 0 orphans, 150 edges, 5 components
  [GRAPH] 20 branches traced, 147/147 nodes assigned, 0 orphans, 147 edges, 4 components
  [GRAPH] 42 branches traced, 222/222 nodes assigned, 0 orphans, 230 edges, 4 components
  [GRAPH] 19 branches traced, 197/197 nodes assigned, 0 orphans, 195 edges, 6 components
  [GRAPH] 25 branches traced, 171/171 nodes assigned, 0 orphans, 175 edges, 5 components
  [GRAPH] 10 branches traced, 160/160 nodes assigned, 0 orphans, 156 edges, 5 components
  [GRAPH] 14 branches traced, 109/109 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 18 branches traced, 193/193 nodes assigned, 0 orphans, 193 edges, 4 components
  [GRAPH] 4 branches traced, 126/126 nodes assigned, 0 orphans, 122 edges, 4 components
  [GRAPH] 23 branches traced, 188/188 nodes assigned, 0 orphans, 189 edges, 4 components
  [GRAPH] 5 branches traced, 87/87 nodes assigned, 0 orphans, 83 edges, 4 components
  [GRAPH] 21 branches traced, 184/184 nodes assigned, 0 orphans, 184 edges, 4 components
  [GRAPH] 14 branches traced, 191/191 nodes assigned, 0 orphans, 190 edges, 4 components
  [GRAPH] 18 branches traced, 136/136 nodes assigned, 0 orphans, 135 edges, 5 components
  [GRAPH] 11 branches traced, 163/163 nodes assigned, 0 orphans, 161 edges, 4 components
  [GRAPH] 22 branches traced, 191/191 nodes assigned, 0 orphans, 190 edges, 5 components
  [GRAPH] 14 branches traced, 188/188 nodes assigned, 0 orphans, 185 edges, 5 components
  [GRAPH] 13 branches traced, 155/155 nodes assigned, 0 orphans, 153 edges, 5 components
  [GRAPH] 10 branches traced, 207/207 nodes assigned, 0 orphans, 203 edges, 5 components
  [GRAPH] 14 branches traced, 165/165 nodes assigned, 0 orphans, 164 edges, 4 components
  [GRAPH] 13 branches traced, 126/126 nodes assigned, 0 orphans, 125 edges, 4 components
  [GRAPH] 15 branches traced, 115/115 nodes assigned, 0 orphans, 115 edges, 4 components
  [GRAPH] 26 branches traced, 199/199 nodes assigned, 0 orphans, 202 edges, 4 components
  [GRAPH] 14 branches traced, 121/121 nodes assigned, 0 orphans, 119 edges, 5 components
  [GRAPH] 5 branches traced, 134/134 nodes assigned, 0 orphans, 129 edges, 5 components
  [GRAPH] 24 branches traced, 180/180 nodes assigned, 0 orphans, 180 edges, 5 components
  [GRAPH] 17 branches traced, 185/185 nodes assigned, 0 orphans, 183 edges, 5 components
  [GRAPH] 25 branches traced, 215/215 nodes assigned, 0 orphans, 216 edges, 4 components
  [GRAPH] 36 branches traced, 174/174 nodes assigned, 0 orphans, 181 edges, 4 components
  [GRAPH] 39 branches traced, 173/173 nodes assigned, 0 orphans, 178 edges, 4 components
  [GRAPH] 16 branches traced, 187/187 nodes assigned, 0 orphans, 186 edges, 4 components
  [GRAPH] 4 branches traced, 126/126 nodes assigned, 0 orphans, 122 edges, 4 components
  [GRAPH] 12 branches traced, 107/107 nodes assigned, 0 orphans, 106 edges, 4 components
  [GRAPH] 23 branches traced, 200/200 nodes assigned, 0 orphans, 202 edges, 4 components
  [GRAPH] 3 branches traced, 65/66 nodes assigned, 1 orphans, 63 edges, 3 components
  [GRAPH] 8 branches traced, 137/137 nodes assigned, 0 orphans, 131 edges, 6 components
