filename,kind,level,seg_iou,beta0,beta1,n_nodes,total_edge_length,mean_width
7249,baseline,0,0.36231884057971014,3,1,31,95.25,8.194239430935523
7249,dilate,1,0.3770053475935829,3,0,23,80.75,10.685188728028198
7249,erode,1,0.2959028831562974,3,0,22,55.5,7.38820726933818
7249,dilate,2,0.3740890688259109,3,0,28,108.24999999999999,11.542341724582558
7249,erode,2,0.20796689084324885,3,0,22,73.75,5.314421446677585
7249,dilate,3,0.3588235294117647,3,0,26,96.5,14.011500500746767
7249,erode,3,0.12473684210526316,3,0,18,60.0,3.8489436096567857
7249,dilate,4,0.33694225721784776,2,0,23,68.5,16.14517140721604
7249,erode,4,0.04231387252276379,5,0,18,51.25,2.4240606675934044
7249,dilate,5,0.3165873959571938,1,0,24,45.50000000000001,18.01577266035734
7249,erode,5,0.005411255411255411,1,0,6,5.5,2.25
7249,drop_components,0.05,0.32638215324927256,3,1,29,95.25,8.194239430935523
7249,drop_components,0.1,0.20648967551622419,2,1,22,56.75,7.7933256289283666
7249,drop_components,0.2,0.20648967551622419,2,1,22,56.75,7.7933256289283666
7249,drop_components,0.3,0.26345177664974617,2,0,16,57.25,8.681481935034697
7249,drop_components,0.4,0.2847715736040609,2,1,24,76.5,8.127013612690144
7249,boundary_noise,1,0.33522458628841606,4,21,171,331.5,4.408700362399888
7249,boundary_noise,2,0.3018526886579304,3,40,308,532.5,2.9164604055503367
7249,boundary_noise,3,0.25627705627705627,5,48,410,661.5,2.3789589144912227
7250,baseline,0,0.8679135008766803,4,1,60,282.0,5.957728689000192
7250,dilate,1,0.7152044097381718,4,1,56,251.5,7.441484088761025
7250,erode,1,0.6792452830188679,4,1,58,288.75,4.236830034666489
7250,dilate,2,0.5544554455445545,4,1,50,238.00000000000003,10.421829646084575
7250,erode,2,0.29594423320659063,7,1,50,205.25,2.72714265374413
7250,dilate,3,0.4675788221296847,4,1,54,217.5,12.328959517724781
7250,erode,3,0.08750792644261256,6,0,28,72.5,2.474100380388849
7250,dilate,4,0.3943943943943944,4,0,51,195.0,15.299962474374597
7250,erode,4,0.012048192771084338,2,0,4,6.5,2.0
7250,dilate,5,0.3420824295010846,4,0,45,152.5,17.32802517213511
7250,erode,5,0.0006341154090044388,0,0,0,0.0,0.0
7250,drop_components,0.05,0.7586815773984696,3,1,52,248.75,5.999377094406478
7250,drop_components,0.1,0.56664674237896,3,0,43,195.25,5.514812799735234
7250,drop_components,0.2,0.6374022850270595,3,1,41,196.25,5.938041194685954
7250,drop_components,0.3,0.56664674237896,3,0,43,195.25,5.514812799735234
7250,drop_components,0.4,0.5784726398075767,2,1,36,172.5,6.481456214438752
7250,boundary_noise,1,0.7016515716568993,4,51,374,655.25,3.284940938517641
7250,boundary_noise,2,0.4636896707262066,8,82,641,1067.75,2.295933732735026
7250,boundary_noise,3,0.35081967213114756,10,107,772,1347.5,2.1025684440895462
7251,baseline,0,0.8544668587896254,4,0,55,273.75,4.784102904385072
7251,dilate,1,0.69896004378763,4,0,52,269.0,6.577478199712985
7251,erode,1,0.5809669992325402,4,0,54,273.5,3.0359762350621606
7251,dilate,2,0.5172413793103449,4,1,53,275.5,8.885086508523859
7251,erode,2,0.1264456437933693,11,0,47,108.0,2.0706162498210245
7251,dilate,3,0.4238064094179202,4,0,55,267.75,10.685827508373052
7251,erode,3,0.0038580246913580245,0,0,2,0.0,nan
7251,dilate,4,0.3452317527970165,4,0,54,256.0,12.777579048398309
7251,erode,4,0.0,0,0,0,0.0,0.0
7251,dilate,5,0.2924187725631769,4,0,54,234.0,14.895195474796756
7251,erode,5,0.0,0,0,0,0.0,0.0
7251,drop_components,0.05,0.6888567293777135,3,0,44,221.25,4.8335940762692475
7251,drop_components,0.1,0.6796116504854369,3,0,42,202.5,4.757710355399747
7251,drop_components,0.2,0.6338439095550693,3,0,41,205.75,4.7191220557989215
7251,drop_components,0.3,0.60453216374269,3,0,38,191.75,4.8245951024907034
7251,drop_components,0.4,0.3774981495188749,2,0,24,123.75,4.738806495416623
7251,boundary_noise,1,0.6595744680851063,4,38,297,591.0,2.7785618896621758
7251,boundary_noise,2,0.37747653806047965,10,66,561,939.5,2.104683799254504
7251,boundary_noise,3,0.30923146884947705,13,74,665,1151.25,2.0786706308623977
7252,baseline,0,0.9189895470383276,4,0,40,170.0,6.245151347780594
7252,dilate,1,0.7270288397048961,4,0,34,158.5,8.07723933009828
7252,erode,1,0.7007366482504604,4,0,36,168.5,4.536487211207857
7252,dilate,2,0.5541368743615934,4,0,35,174.25,10.114332818098925
7252,erode,2,0.3419354838709677,5,0,30,138.25,2.959688916262427
7252,dilate,3,0.45819256756756754,4,0,31,163.0,12.253969465325783
7252,erode,3,0.11981566820276497,3,0,19,75.5,2.0
7252,dilate,4,0.37608318890814557,4,0,37,166.75,14.41807851787831
7252,erode,4,0.003686635944700461,0,0,2,0.0,nan
7252,dilate,5,0.3221496437054632,4,0,33,152.5,16.53483117151935
7252,erode,5,0.0,0,0,0,0.0,0.0
7252,drop_components,0.05,0.7937777777777778,3,0,29,134.0,6.775397892892984
7252,drop_components,0.1,0.7173144876325088,3,0,31,136.0,6.011560461636534
7252,drop_components,0.2,0.7937777777777778,3,0,29,134.0,6.775397892892984
7252,drop_components,0.3,0.6534391534391535,3,0,29,113.0,6.463602112085878
7252,drop_components,0.4,0.5861136158701533,2,0,20,100.0,6.637998113075273
7252,boundary_noise,1,0.7291828793774319,4,27,225,437.25,3.3176154989941256
7252,boundary_noise,2,0.48464619492656874,9,46,426,719.75,2.321452542617752
7252,boundary_noise,3,0.3414071510957324,15,65,492,893.5,2.0982300713811948
7253,baseline,0,0.8473138548539114,4,0,45,192.75,5.227358915902159
7253,dilate,1,0.657765284609979,4,0,37,178.75,7.175971930039815
7253,erode,1,0.672322375397667,4,0,40,191.75,3.6561018584118368
7253,dilate,2,0.48073959938366717,4,0,43,181.5,9.631758819775236
7253,erode,2,0.20726495726495728,7,0,36,103.0,2.3242785628810814
7253,dilate,3,0.3952702702702703,4,0,36,146.25,11.759335469829624
7253,erode,3,0.03418803418803419,1,0,9,9.75,2.8758491514862365
7253,dilate,4,0.325,3,0,36,136.0,14.086260897129709
7253,erode,4,0.00641025641025641,1,0,2,4.0,2.0
7253,dilate,5,0.2767593140153755,3,0,29,118.0,16.776117788040754
7253,erode,5,0.0,0,0,0,0.0,0.0
7253,drop_components,0.05,0.5039840637450199,3,0,25,111.75,4.893824056164579
7253,drop_components,0.1,0.7676190476190476,3,0,40,174.25,5.232609466440338
7253,drop_components,0.2,0.626552053486151,3,0,33,134.0,5.646736298757584
7253,drop_components,0.3,0.5039840637450199,3,0,25,111.75,4.893824056164579
7253,drop_components,0.4,0.4159113796576032,2,0,20,93.25,4.837464951887178
7253,boundary_noise,1,0.6781115879828327,4,28,236,436.75,3.0827399151198547
7253,boundary_noise,2,0.3920612813370474,12,52,403,724.0,2.1899289026909425
7253,boundary_noise,3,0.28841463414634144,13,61,484,863.25,2.0767198043595916
7254,baseline,0,0.9212253829321663,4,0,52,255.5,5.315293984080777
7254,dilate,1,0.732152739346984,4,0,48,238.75,7.0261530746535055
7254,erode,1,0.6268882175226587,4,0,53,243.50000000000003,3.6315567998222105
7254,dilate,2,0.5380235868239122,4,0,54,246.5,9.325915267132345
7254,erode,2,0.19879062736205594,6,0,37,160.25,2.2093817595699616
7254,dilate,3,0.4427710843373494,4,0,50,225.0,11.331623610876553
7254,erode,3,0.022675736961451247,2,0,6,11.5,2.3451414400602775
7254,dilate,4,0.3639614855570839,4,0,46,217.75,13.64386000753908
7254,erode,4,0.0015117157974300832,0,0,0,0.0,0.0
7254,dilate,5,0.31063629960084527,4,1,48,196.24999999999997,15.047423016632155
7254,erode,5,0.0,0,0,0,0.0,0.0
7254,drop_components,0.05,0.7152269399707174,3,0,43,199.75,5.272158788304982
7254,drop_components,0.1,0.7152269399707174,3,0,43,199.75,5.272158788304982
7254,drop_components,0.2,0.7152269399707174,3,0,43,199.75,5.272158788304982
7254,drop_components,0.3,0.5681481481481482,3,0,33,164.75,4.878184647862016
7254,drop_components,0.4,0.4,2,0,21,107.25000000000001,5.259357092821516
7254,boundary_noise,1,0.7034171502256609,4,50,332,619.0,2.8973069053892746
7254,boundary_noise,2,0.4039174166225516,11,58,552,927.5,2.1668529444749725
7254,boundary_noise,3,0.3132969034608379,16,92,665,1161.75,2.0881622750427296
7255,baseline,0,0.8976135488837568,4,1,46,224.5,5.718093282310865
7255,dilate,1,0.7469733656174334,4,0,47,189.5,7.235784264059838
7255,erode,1,0.6474358974358975,4,1,48,221.5,4.027809718102004
7255,dilate,2,0.5610307414104883,4,0,40,195.5,9.94649227263572
7255,erode,2,0.24437299035369775,6,1,38,150.0,2.491649724276001
7255,dilate,3,0.46586646661665415,4,0,38,173.0,11.77958305589663
7255,erode,3,0.06033789219629927,3,0,17,24.25,2.871472892837066
7255,dilate,4,0.38286066584463624,4,0,44,176.5,14.024800622497805
7255,erode,4,0.010466988727858293,1,0,3,10.0,2.0
7255,dilate,5,0.3265842755719169,4,0,36,165.25,16.048923655420726
7255,erode,5,0.0,0,0,0,0.0,0.0
7255,drop_components,0.05,0.5564325177584846,3,0,28,137.75,5.185356203769208
7255,drop_components,0.1,0.7430340557275542,3,1,38,193.0,5.659249349094562
7255,drop_components,0.2,0.5564325177584846,3,0,28,137.75,5.185356203769208
7255,drop_components,0.3,0.6875968992248062,3,1,36,165.75,5.965255389006498
7255,drop_components,0.4,0.5206869633099142,2,1,26,118.25,6.434722556559148
7255,boundary_noise,1,0.7079889807162535,4,32,270,483.75,3.1585485949013052
7255,boundary_noise,2,0.4438687392055268,10,55,504,861.75,2.2585551148910223
7255,boundary_noise,3,0.32633196721311475,16,74,582,965.75,2.097357829281442
7256,baseline,0,0.8185595567867036,4,0,53,242.5,5.815599023693402
7256,dilate,1,0.6963207029104888,4,0,54,222.25,7.5064647789660865
7256,erode,1,0.6273338312173263,4,0,55,238.0,4.1172062173958395
7256,dilate,2,0.5358772293654085,4,0,50,220.75,9.925558577762416
7256,erode,2,0.24489795918367346,6,1,43,144.5,3.0144138571962316
7256,dilate,3,0.4482758620689655,4,0,46,195.25,11.784462404843048
7256,erode,3,0.08491281273692192,2,0,18,39.5,3.523481389730374
7256,dilate,4,0.37614942528735634,4,0,49,207.25,13.963205615625508
7256,erode,4,0.028831562974203338,1,0,4,4.0,3.5
7256,dilate,5,0.3226993865030675,4,0,39,182.75,16.711959818803283
7256,erode,5,0.011380880121396054,1,0,2,4.0,2.25
7256,drop_components,0.05,0.5128755364806867,3,0,35,166.25,4.958345127899685
7256,drop_components,0.1,0.7393501805054151,3,0,44,203.75,5.850531089286542
7256,drop_components,0.2,0.5128755364806867,3,0,35,166.25,4.958345127899685
7256,drop_components,0.3,0.7393501805054151,3,0,44,203.75,5.850531089286542
7256,drop_components,0.4,0.4174757281553398,2,0,26,127.5,4.753629989880829
7256,boundary_noise,1,0.6668781725888325,4,37,320,546.0,3.2020296600749636
7256,boundary_noise,2,0.4236295902075572,9,55,522,921.75,2.290711294591365
7256,boundary_noise,3,0.3344449737970462,14,81,621,1078.0,2.1049401418179494
7257,baseline,0,0.815086782376502,4,2,58,272.75,4.916255701189933
7257,dilate,1,0.6986373165618449,4,2,58,255.25,7.1100118177554705
7257,erode,1,0.5689900426742532,4,2,58,271.75,3.2546625383408436
7257,dilate,2,0.5481927710843374,4,0,45,222.5,10.311682622847762
7257,erode,2,0.1507537688442211,11,0,35,117.25,2.3272548860904365
7257,dilate,3,0.46340640809443506,4,0,44,200.25,12.436910652747468
7257,erode,3,0.0208183776022972,2,0,6,12.75,2.588235294117647
7257,dilate,4,0.38804713804713803,4,1,46,193.5,14.821704456012485
7257,erode,4,0.003589375448671931,1,0,2,2.5,2.0
7257,dilate,5,0.3366480717923842,4,0,35,184.0,16.865079288536023
7257,erode,5,0.0,0,0,0,0.0,0.0
7257,drop_components,0.05,0.6673414304993253,3,2,49,226.0,4.889586184592303
7257,drop_components,0.1,0.6871621621621622,3,2,47,225.75,4.993989659006114
7257,drop_components,0.2,0.5812841530054644,3,1,45,202.75,4.527791895225523
7257,drop_components,0.3,0.5812841530054644,3,1,45,202.75,4.527791895225523
7257,drop_components,0.4,0.42748618784530384,2,1,36,156.0,4.372740653687698
7257,boundary_noise,1,0.6365280289330922,4,36,317,562.5,2.901724708221987
7257,boundary_noise,2,0.4234930448222566,7,78,554,999.75,2.166137122495258
7257,boundary_noise,3,0.31880733944954126,14,92,613,1115.25,2.0807230753981965
7258,baseline,0,0.858242463117383,5,0,53,286.75,4.963541322551243
7258,dilate,1,0.7206759443339961,5,0,56,279.75,6.651640594053662
7258,erode,1,0.5700934579439252,5,1,59,284.5,3.2955468625835
7258,dilate,2,0.5384896023349143,5,0,58,283.25,8.875453818739498
7258,erode,2,0.14343163538873996,11,0,47,134.75,2.1516666680528234
7258,dilate,3,0.44272076372315033,5,0,54,272.0,10.71025445340795
7258,erode,3,0.014745308310991957,2,0,5,15.5,2.0
7258,dilate,4,0.36147501213003397,4,2,65,278.75,12.545610991224349
7258,erode,4,0.0,0,0,0,0.0,0.0
7258,dilate,5,0.30890269151138716,3,0,52,226.25000000000003,15.547519458307717
7258,erode,5,0.0,0,0,0,0.0,0.0
7258,drop_components,0.05,0.6675375571521881,4,0,39,209.5,5.0726265644535085
7258,drop_components,0.1,0.6055699481865285,4,0,36,189.75,5.232445091486902
7258,drop_components,0.2,0.7176848874598071,4,0,45,244.25,4.863747342423596
7258,drop_components,0.3,0.4313597918022121,3,0,26,134.75,5.196031589817883
7258,drop_components,0.4,0.4313597918022121,3,0,26,134.75,5.196031589817883
7258,boundary_noise,1,0.648664013644116,5,61,397,697.5,2.6942644876506727
7258,boundary_noise,2,0.4011352885525071,14,71,609,1022.75,2.1075073861361076
7258,boundary_noise,3,0.3072765072765073,16,90,734,1242.25,2.0605422727052676
7259,baseline,0,0.9115479115479116,4,0,34,176.5,6.45459818878391
7259,dilate,1,0.7566515249837767,4,0,35,169.0,8.141495102046965
7259,erode,1,0.6854219948849105,4,0,34,173.25,4.9428165590688575
7259,dilate,2,0.5667799902865469,4,0,36,180.0,10.174348286174158
7259,erode,2,0.3153846153846154,5,0,40,144.75,3.1073229690141693
7259,dilate,3,0.4705645161290323,4,0,35,167.0,12.120832175163656
7259,erode,3,0.1309931506849315,1,0,9,38.75,4.3548587126744644
7259,dilate,4,0.38629592850049654,4,0,36,174.0,14.353746857225426
7259,erode,4,0.050556983718937444,1,0,9,31.25,2.4975163717274205
7259,dilate,5,0.32928893905191875,4,0,31,156.25,16.25946988072193
7259,erode,5,0.011139674378748929,1,0,2,7.5,2.0
7259,drop_components,0.05,0.6762767710049423,3,0,25,122.75,6.89419492408709
7259,drop_components,0.1,0.768595041322314,3,0,27,144.0,6.613645243444538
7259,drop_components,0.2,0.7308641975308642,3,0,26,130.25,6.900640398460558
7259,drop_components,0.3,0.7308641975308642,3,0,26,130.25,6.900640398460558
7259,drop_components,0.4,0.4008438818565401,2,0,16,86.25,5.563429781484253
7259,boundary_noise,1,0.7178916109873794,4,30,229,442.75,3.4740148352118467
7259,boundary_noise,2,0.4847161572052402,5,48,431,735.25,2.4831770147365044
7259,boundary_noise,3,0.35489130434782606,10,66,536,954.5,2.1727002957037547
7260,baseline,0,0.8997214484679665,6,0,50,251.0,5.391736996660669
7260,dilate,1,0.7297441364605544,5,0,54,231.0,7.119520637559732
7260,erode,1,0.627822286962855,6,0,50,246.75,3.784262253251895
7260,dilate,2,0.5291618385477018,5,0,53,253.75,9.09533129331386
7260,erode,2,0.20072992700729927,9,0,43,164.25,2.265782787065329
7260,dilate,3,0.4325860435743606,5,0,47,240.0,11.093059236572959
7260,erode,3,0.029197080291970802,3,0,11,26.75,2.0
7260,dilate,4,0.3511019989748847,4,1,56,262.25,12.799078329339013
7260,erode,4,0.0,0,0,0,0.0,0.0
7260,dilate,5,0.2996500437445319,4,1,49,242.75,15.024564474138009
7260,erode,5,0.0,0,0,0,0.0,0.0
7260,drop_components,0.05,0.8722067039106145,5,0,48,244.25,5.40947179595426
7260,drop_components,0.1,0.8722067039106145,5,0,48,244.25,5.40947179595426
7260,drop_components,0.2,0.8722067039106145,5,0,48,244.25,5.40947179595426
7260,drop_components,0.3,0.6739590684544813,4,0,35,179.75,5.571935118493513
7260,drop_components,0.4,0.7653276955602537,4,0,41,215.0,5.3487226121169655
7260,boundary_noise,1,0.6803680981595092,6,46,310,630.75,2.8486720872456255
7260,boundary_noise,2,0.39759639459188784,11,66,576,973.25,2.179641909867151
7260,boundary_noise,3,0.2999564649542882,16,85,650,1179.0,2.051617604419412
7261,baseline,0,0.8559498956158664,5,1,56,275.25,5.305325253272529
7261,dilate,1,0.6868365180467091,4,0,51,253.5,7.195326178471708
7261,erode,1,0.6446969696969697,5,1,54,261.25,3.673317644153511
7261,dilate,2,0.5074334898278561,4,1,57,261.0,9.7360842119389
7261,erode,2,0.19938650306748465,4,0,33,158.5,2.27646542753423
7261,dilate,3,0.42302674494455317,4,0,43,217.5,12.10391523998326
7261,erode,3,0.023882896764252697,4,0,10,15.0,2.0
7261,dilate,4,0.3493132238082413,4,0,48,226.0,14.259602773436624
7261,erode,4,0.0,0,0,0,0.0,0.0
7261,dilate,5,0.29995374653098983,4,0,43,211.5,16.372191333389907
7261,erode,5,0.0,0,0,0,0.0,0.0
7261,drop_components,0.05,0.6519174041297935,4,0,38,191.0,5.048936016044395
7261,drop_components,0.1,0.6799719887955182,4,1,43,216.5,5.395799891471337
7261,drop_components,0.2,0.6799719887955182,4,1,43,216.5,5.395799891471337
7261,drop_components,0.3,0.5739814152966405,3,1,41,194.5,5.1855087441056575
7261,drop_components,0.4,0.48182466143977193,3,1,34,161.0,5.301244005290911
7261,boundary_noise,1,0.6756926952141058,5,38,310,542.0,2.996928042284338
7261,boundary_noise,2,0.4136652542372881,16,63,571,944.0,2.1645707052271472
7261,boundary_noise,3,0.32672811059907836,10,86,675,1197.25,2.0655573886948595
7262,baseline,0,0.9047051816557474,4,0,52,214.5,6.556363293248355
7262,dilate,1,0.7671957671957672,4,0,48,215.25,8.436138222035588
7262,erode,1,0.7054794520547946,4,0,50,221.0,5.09321113743685
