nohup: ignoring input
228 MIP tiles
  [GRAPH] 172 branches traced, 622/622 nodes assigned, 0 orphans, 654 edges, 18 components
  [GRAPH] 120 branches traced, 485/486 nodes assigned, 1 orphans, 501 edges, 14 components
  [GRAPH] 141 branches traced, 779/779 nodes assigned, 0 orphans, 794 edges, 19 components
  [GRAPH] 117 branches traced, 556/556 nodes assigned, 0 orphans, 548 edges, 32 components
  [GRAPH] 169 branches traced, 762/762 nodes assigned, 0 orphans, 801 edges, 10 components
  [GRAPH] 159 branches traced, 667/667 nodes assigned, 0 orphans, 707 edges, 11 components
  [GRAPH] 158 branches traced, 794/794 nodes assigned, 0 orphans, 806 edges, 26 components
  [GRAPH] 125 branches traced, 777/777 nodes assigned, 0 orphans, 781 edges, 23 components
  [GRAPH] 161 branches traced, 891/891 nodes assigned, 0 orphans, 905 edges, 24 components
  [GRAPH] 120 branches traced, 540/540 nodes assigned, 0 orphans, 558 edges, 15 components
  [GRAPH] 44 branches traced, 174/174 nodes assigned, 0 orphans, 169 edges, 13 components
  [GRAPH] 126 branches traced, 791/791 nodes assigned, 0 orphans, 803 edges, 19 components
  [GRAPH] 51 branches traced, 388/388 nodes assigned, 0 orphans, 399 edges, 1 components
  [GRAPH] 157 branches traced, 666/666 nodes assigned, 0 orphans, 680 edges, 23 components
  [GRAPH] 208 branches traced, 962/962 nodes assigned, 0 orphans, 992 edges, 21 components
  [GRAPH] 159 branches traced, 586/586 nodes assigned, 0 orphans, 618 edges, 14 components
  [GRAPH] 138 branches traced, 646/646 nodes assigned, 0 orphans, 674 edges, 17 components
  [GRAPH] 93 branches traced, 512/512 nodes assigned, 0 orphans, 527 edges, 8 components
  [GRAPH] 64 branches traced, 410/410 nodes assigned, 0 orphans, 412 edges, 11 components
  [GRAPH] 108 branches traced, 583/584 nodes assigned, 1 orphans, 580 edges, 27 components
  [GRAPH] 102 branches traced, 493/493 nodes assigned, 0 orphans, 480 edges, 32 components
  [GRAPH] 181 branches traced, 631/631 nodes assigned, 0 orphans, 651 edges, 27 components
  [GRAPH] 91 branches traced, 433/433 nodes assigned, 0 orphans, 427 edges, 24 components
  [GRAPH] 72 branches traced, 376/376 nodes assigned, 0 orphans, 388 edges, 6 components
  [GRAPH] 105 branches traced, 449/449 nodes assigned, 0 orphans, 457 edges, 16 components
  [GRAPH] 226 branches traced, 736/736 nodes assigned, 0 orphans, 776 edges, 21 components
  [GRAPH] 169 branches traced, 736/736 nodes assigned, 0 orphans, 754 edges, 25 components
  [GRAPH] 126 branches traced, 606/606 nodes assigned, 0 orphans, 617 edges, 20 components
  [GRAPH] 107 branches traced, 550/550 nodes assigned, 0 orphans, 534 edges, 38 components
  [GRAPH] 103 branches traced, 447/447 nodes assigned, 0 orphans, 455 edges, 16 components
  [GRAPH] 208 branches traced, 754/754 nodes assigned, 0 orphans, 807 edges, 6 components
  [GRAPH] 47 branches traced, 232/232 nodes assigned, 0 orphans, 240 edges, 5 components
  [GRAPH] 151 branches traced, 696/696 nodes assigned, 0 orphans, 698 edges, 33 components
  [GRAPH] 145 branches traced, 659/659 nodes assigned, 0 orphans, 681 edges, 13 components
  [GRAPH] 124 branches traced, 817/817 nodes assigned, 0 orphans, 817 edges, 27 components
  [GRAPH] 210 branches traced, 1009/1009 nodes assigned, 0 orphans, 1039 edges, 21 components
  [GRAPH] 88 branches traced, 481/481 nodes assigned, 0 orphans, 475 edges, 26 components
  [GRAPH] 157 branches traced, 794/794 nodes assigned, 0 orphans, 817 edges, 17 components
  [GRAPH] 207 branches traced, 910/910 nodes assigned, 0 orphans, 951 edges, 11 components
  [GRAPH] 64 branches traced, 330/330 nodes assigned, 0 orphans, 344 edges, 2 components
  [GRAPH] 195 branches traced, 804/804 nodes assigned, 0 orphans, 835 edges, 18 components
  [GRAPH] 72 branches traced, 431/431 nodes assigned, 0 orphans, 435 edges, 12 components
  [GRAPH] 137 branches traced, 572/572 nodes assigned, 0 orphans, 572 edges, 32 components
  [GRAPH] 135 branches traced, 626/626 nodes assigned, 0 orphans, 630 edges, 25 components
  [GRAPH] 113 branches traced, 465/465 nodes assigned, 0 orphans, 470 edges, 22 components
  [GRAPH] 185 branches traced, 796/796 nodes assigned, 0 orphans, 832 edges, 15 components
  [GRAPH] 121 branches traced, 534/534 nodes assigned, 0 orphans, 535 edges, 24 components
  [GRAPH] 132 branches traced, 452/452 nodes assigned, 0 orphans, 467 edges, 31 components
  [GRAPH] 121 branches traced, 488/488 nodes assigned, 0 orphans, 509 edges, 10 components
  [GRAPH] 21 branches traced, 140/140 nodes assigned, 0 orphans, 140 edges, 5 components
  [GRAPH] 79 branches traced, 447/447 nodes assigned, 0 orphans, 461 edges, 5 components
  [GRAPH] 245 branches traced, 845/845 nodes assigned, 0 orphans, 888 edges, 20 components
  [GRAPH] 184 branches traced, 829/829 nodes assigned, 0 orphans, 848 edges, 29 components
  [GRAPH] 212 branches traced, 789/789 nodes assigned, 0 orphans, 829 edges, 13 components
  [GRAPH] 207 branches traced, 752/752 nodes assigned, 0 orphans, 789 edges, 14 components
  [GRAPH] 187 branches traced, 833/833 nodes assigned, 0 orphans, 858 edges, 26 components
  [GRAPH] 192 branches traced, 879/879 nodes assigned, 0 orphans, 909 edges, 22 components
  [GRAPH] 145 branches traced, 734/734 nodes assigned, 0 orphans, 747 edges, 20 components
  [GRAPH] 312 branches traced, 1119/1119 nodes assigned, 0 orphans, 1168 edges, 29 components
  [GRAPH] 190 branches traced, 784/784 nodes assigned, 0 orphans, 823 edges, 8 components
  [GRAPH] 172 branches traced, 606/606 nodes assigned, 0 orphans, 617 edges, 32 components
  [GRAPH] 125 branches traced, 581/581 nodes assigned, 0 orphans, 599 edges, 14 components
  [GRAPH] 129 branches traced, 676/677 nodes assigned, 1 orphans, 669 edges, 35 components
  [GRAPH] 130 branches traced, 641/641 nodes assigned, 0 orphans, 647 edges, 21 components
  [GRAPH] 145 branches traced, 663/664 nodes assigned, 1 orphans, 683 edges, 14 components
  [GRAPH] 172 branches traced, 718/718 nodes assigned, 0 orphans, 729 edges, 29 components
  [GRAPH] 129 branches traced, 570/570 nodes assigned, 0 orphans, 562 edges, 32 components
  [GRAPH] 96 branches traced, 481/481 nodes assigned, 0 orphans, 492 edges, 13 components
  [GRAPH] 137 branches traced, 533/533 nodes assigned, 0 orphans, 532 edges, 31 components
  [GRAPH] 45 branches traced, 368/368 nodes assigned, 0 orphans, 357 edges, 18 components
  [GRAPH] 26 branches traced, 323/323 nodes assigned, 0 orphans, 303 edges, 21 components
  [GRAPH] 72 branches traced, 334/334 nodes assigned, 0 orphans, 319 edges, 29 components
  [GRAPH] 63 branches traced, 358/358 nodes assigned, 0 orphans, 351 edges, 19 components
  [GRAPH] 92 branches traced, 524/524 nodes assigned, 0 orphans, 540 edges, 7 components
  [GRAPH] 138 branches traced, 443/443 nodes assigned, 0 orphans, 459 edges, 22 components
  [GRAPH] 129 branches traced, 666/666 nodes assigned, 0 orphans, 667 edges, 27 components
  [GRAPH] 72 branches traced, 416/416 nodes assigned, 0 orphans, 412 edges, 18 components
  [GRAPH] 77 branches traced, 399/399 nodes assigned, 0 orphans, 376 edges, 34 components
  [GRAPH] 49 branches traced, 300/300 nodes assigned, 0 orphans, 288 edges, 20 components
  [GRAPH] 79 branches traced, 460/460 nodes assigned, 0 orphans, 455 edges, 22 components
  [GRAPH] 40 branches traced, 300/300 nodes assigned, 0 orphans, 286 edges, 20 components
  [GRAPH] 96 branches traced, 400/400 nodes assigned, 0 orphans, 394 edges, 25 components
  [GRAPH] 57 branches traced, 254/254 nodes assigned, 0 orphans, 252 edges, 14 components
  [GRAPH] 50 branches traced, 270/270 nodes assigned, 0 orphans, 274 edges, 7 components
  [GRAPH] 32 branches traced, 121/121 nodes assigned, 0 orphans, 105 edges, 20 components
  [GRAPH] 50 branches traced, 253/253 nodes assigned, 0 orphans, 243 edges, 19 components
  [GRAPH] 67 branches traced, 270/270 nodes assigned, 0 orphans, 271 edges, 13 components
  [GRAPH] 96 branches traced, 354/354 nodes assigned, 0 orphans, 358 edges, 24 components
  [GRAPH] 105 branches traced, 581/581 nodes assigned, 0 orphans, 598 edges, 8 components
  [GRAPH] 158 branches traced, 636/636 nodes assigned, 0 orphans, 654 edges, 26 components
  [GRAPH] 139 branches traced, 858/858 nodes assigned, 0 orphans, 858 edges, 26 components
  [GRAPH] 124 branches traced, 623/623 nodes assigned, 0 orphans, 636 edges, 15 components
