filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7269.png	0.625599	0.851195	0.919617	0.949011	0.891989	0.999190	27.399841	0.999479	28.106701	0.688283	0.700308	0.477756	30.390257	0.537024	2286	4	7	13	7	2.034091	1.750000	176	179	279.078210	2.444519	0.031878	-0.052718	-0.507045	-0.000232	-0.000005	-0.040869	912.473202	0.688283	0.688283	4	7	-3	13	7	2.034091	1.750000	4	1	176	179	156	1.559096	2.444519	279.078210	0.031878	45739	20.008311	28.668416	256x256	65536	sparse	Learned	296	4	26	2279	30.770402	0.595485	27.779432	0.999483	0.729152	0.481670	7	2	0.125000	31	2178	30.993931	0.635832	0.999357	27.148767	0.303591	0.637570	4123	31.472866	0.683500	0.999693	30.453317	0.243420	0.654886	0.327270	0.218638	-0.380144	-0.058461	True	0.731526	0.349491	0.678317	27.906886	0.999422	7269
7270.png	0.659477	0.927802	0.962549	0.954397	0.970842	0.999027	27.647217	0.999100	27.942269	0.662346	0.555142	0.465155	31.143177	0.587130	2436	6	0	0	12	1.934426	0.000000	183	177	265.793939	2.777834	0.021988	0.009868	-0.460737	-0.000164	-0.000086	0.012972	1078.135729	0.662346	0.662346	6	0	6	0	12	1.934426	0.000000	6	0	183	177	171	1.501661	2.777834	265.793939	0.021988	45065	18.499589	26.903120	256x256	65536	sparse	Learned	303	6	29	2402	31.558591	0.636763	28.161211	0.999186	0.649374	0.311147	11	0	0.583333	40	2384	31.917489	0.680193	0.999157	28.220535	0.272733	0.626946	3699	32.061185	0.694398	0.999561	31.039430	0.226510	0.641363	-0.218943	0.243995	-0.415414	-0.049633	True	0.562495	0.261647	0.649609	28.107955	0.999191	7270
7272.png	0.636364	0.867851	0.929251	0.907666	0.951888	0.998673	28.418151	0.998858	28.788795	0.683095	0.572585	0.866031	31.147447	0.585093	2436	6	4	9	13	1.978495	0.666667	186	184	302.119841	2.761373	0.045062	0.011008	-0.478527	-0.000287	-0.000070	0.003804	1411.919594	0.683095	0.683095	6	4	2	9	13	1.978495	0.666667	6	0	186	184	164	1.641956	2.761373	302.119841	0.045062	44984	18.466338	26.903120	256x256	65536	sparse	Learned	306	6	30	2381	31.670585	0.638177	28.875119	0.998928	0.679291	0.474462	12	11	0.000000	40	2322	31.939057	0.676016	0.998763	28.643369	0.256000	0.644543	3658	32.113353	0.696198	0.999320	31.155756	0.113796	0.632435	-0.086324	0.098123	-0.523138	-0.053085	True	0.583832	0.505617	0.625356	28.896678	0.998960	7272
7273.png	0.705192	0.906479	0.950946	0.932118	0.970550	0.998738	28.514053	0.998463	28.703521	0.716545	0.419578	0.943195	30.331831	0.522284	1883	5	2	3	9	1.942857	0.400000	105	102	155.267027	4.569193	0.038412	0.009250	0.633331	0.000120	0.000369	0.008311	1599.067688	0.716545	0.716545	5	2	3	3	9	1.942857	0.400000	5	0	105	102	93	1.522226	4.569193	155.267027	0.038412	45902	24.377058	34.804036	256x256	65536	sparse	Learned	225	5	21	1728	30.428390	0.556511	27.891699	0.998094	0.708234	0.424622	11	13	0.000000	27	1830	30.718206	0.604295	0.997743	27.185133	0.053717	0.671731	4645	31.496471	0.699037	0.999038	30.748172	0.030331	0.485235	0.811822	-0.005043	-0.096559	-0.034227	True	0.519054	0.489569	0.695942	27.880722	0.998618	7273
7274.png	0.621814	0.872539	0.931931	0.929360	0.934517	0.999492	27.509759	0.999595	28.005373	0.662500	0.485726	0.736604	30.537964	0.539881	1687	4	0	0	8	1.925926	0.000000	108	104	154.923882	2.716522	0.032934	0.020731	-0.078588	-0.000073	0.000037	0.036357	962.233067	0.662500	0.662500	4	0	4	0	8	1.925926	0.000000	4	0	108	104	100	1.489653	2.716522	154.923882	0.032934	45542	26.995851	38.847659	256x256	65536	sparse	Learned	228	4	21	1631	30.784641	0.570805	27.638495	0.999558	0.626143	0.316139	8	2	0.000000	28	1668	31.042911	0.614769	0.999533	27.436467	0.267368	0.621072	5390	32.145088	0.737150	0.999781	31.453698	0.218146	0.610320	0.366878	0.169588	-0.246677	-0.030924	True	0.503415	0.370817	0.601083	27.588347	0.999564	7274
7275.png	0.702235	0.903736	0.949434	0.961039	0.938106	0.999124	27.044992	0.999398	27.785122	0.732887	0.576838	0.727110	31.073766	0.576861	2263	5	5	9	12	2.000000	1.000000	169	169	251.865007	2.657232	0.019756	-0.000728	-0.508079	-0.000238	-0.000013	0.015281	967.154026	0.732887	0.732887	5	5	0	9	12	2.000000	1.000000	5	0	169	169	148	1.490325	2.657232	251.865007	0.019756	45202	19.974370	28.959788	256x256	65536	sparse	Learned	289	5	27	2233	31.342595	0.620883	27.601194	0.999412	0.717606	0.399504	8	0	0.700000	35	2068	31.602754	0.655825	0.999330	27.355584	0.454315	0.725018	3847	31.979511	0.695414	0.999682	30.599030	0.390768	0.716312	0.183928	0.177333	-0.268829	-0.044022	True	0.603072	0.438500	0.702963	27.553071	0.999362	7275
7276.png	0.738511	0.909564	0.952641	0.946513	0.958848	0.999062	27.437726	0.999157	27.827470	0.757635	0.548870	0.756760	30.199325	0.532384	2243	5	1	2	10	1.948718	0.200000	156	152	225.793939	3.164609	0.036401	0.040864	0.076312	-0.000035	0.000077	0.051822	1377.018213	0.757635	0.757635	5	1	4	2	10	1.948718	0.200000	5	0	156	152	144	1.485486	3.164609	225.793939	0.036401	45914	20.469906	29.218012	256x256	65536	sparse	Learned	276	5	25	2188	30.660472	0.588852	27.429612	0.999080	0.705813	0.434475	10	8	0.000000	30	2194	30.895928	0.633964	0.998954	26.990126	0.334537	0.703005	4192	31.404752	0.682823	0.999531	30.613104	0.246185	0.701589	0.397858	0.114396	-0.461147	-0.056467	True	0.568289	0.430059	0.697647	27.361414	0.999097	7276
7277.png	0.693582	0.875505	0.933620	0.900970	0.968727	0.999286	28.214823	0.999297	28.384183	0.714765	0.629166	0.656409	30.536549	0.544517	2398	5	6	10	10	2.010638	1.200000	188	189	279.551299	2.636102	0.034083	-0.001791	0.114504	-0.000043	0.000048	-0.024283	1104.742527	0.714765	0.714765	5	6	-1	10	10	2.010638	1.200000	5	1	188	189	168	1.479107	2.636102	279.551299	0.034083	45572	19.004170	27.329441	256x256	65536	sparse	Learned	308	5	27	2262	30.991100	0.603666	28.088454	0.999249	0.739048	0.371865	12	7	0.000000	33	2376	31.190521	0.651906	0.999124	27.579971	0.151978	0.690785	3859	31.534735	0.679521	0.999564	30.598412	0.114242	0.689572	0.295729	0.257301	-0.454550	-0.059148	True	0.649362	0.426247	0.695373	28.100319	0.999330	7277
7278.png	0.546832	0.925776	0.961458	0.953440	0.969611	0.998944	27.402820	0.999001	27.671884	0.555860	0.658702	0.567215	31.617719	0.613659	2314	4	2	6	10	1.975155	0.500000	161	159	252.350288	3.010354	0.030909	-0.006188	-0.632994	-0.000128	-0.000048	0.000305	1194.463491	0.555860	0.555860	4	2	2	6	10	1.975155	0.500000	4	0	161	159	145	1.587109	3.010354	252.350288	0.030909	44626	19.285220	28.321521	256x256	65536	sparse	Learned	281	4	30	2272	32.081642	0.655171	28.051287	0.999049	0.555556	0.322190	9	0	0.375000	42	2138	32.336684	0.687181	0.999119	28.691296	0.194265	0.517749	3922	32.671378	0.719339	0.999489	31.688054	0.210746	0.565275	-0.379403	0.336512	-0.463923	-0.041512	True	0.672085	0.381217	0.553020	28.035814	0.999071	7278
7279.png	0.656287	0.886284	0.939714	0.923077	0.956962	0.999508	27.817186	0.999562	28.099084	0.686977	0.437295	0.619450	31.090226	0.559263	1545	4	0	0	8	1.911111	0.000000	90	86	128.396970	2.988811	0.034145	-0.025740	0.407531	0.000003	0.000083	-0.028460	1078.716040	0.686977	0.686977	4	0	4	0	8	1.911111	0.000000	4	0	90	86	82	1.492988	2.988811	128.396970	0.034145	45232	29.276375	42.418123	256x256	65536	sparse	Learned	210	4	20	1455	31.080953	0.574730	27.353997	0.999479	0.715438	0.362372	6	4	0.000000	29	1374	31.370694	0.613241	0.999420	27.053446	0.246103	0.713278	6067	32.739714	0.762566	0.999858	33.112072	0.240720	0.689173	0.745087	0.074923	0.009273	-0.015467	True	0.456649	0.282871	0.682028	27.409655	0.999505	7279
