filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7249.png,0.33121019108280253,0.36231884057971014,0.5319148936170213,0.7606490872210954,0.4089422028353326,0.9936948100221321,19.680706218639557,0.9993238401046534,27.469842809749586,0.6517412935323383,0.40249940538176254,0.3879455526303422,29.423261249503142,0.5326257396309824,1569,3,16,14,8,2.361111111111111,5.333333333333333,72,85,137.04501380559535,3.838214263319969,0.06538203769872805,-0.2702935683156937,-7.859189430352764,-0.005192750579242067,7.134387810514564e-05,0.20743360122464605,3027.167320251465,0.6517412935323383,0.6517412935323383,3,16,-13,14,8,2.361111111111111,5.333333333333333,4,2,72,85,50,1.6122942800658289,3.838214263319969,137.04501380559535,0.06538203769872805,45624,29.078393881453156,41.76927979604844,256x256,65536,sparse,Frangi,192,4,18,1525,30.697197129522756,0.5709186246478448,27.104609080742428,0.9992524962265482,0.4443076923076923,0.38121660819385916,10,2,0.25,26,1420,30.929475655024845,0.6089590022544357,0.9992096831681291,26.947881278074618,0.40017126795849167,0.44387427838357923,5873,32.293918254229354,0.7542152469050135,0.9997219213511777,31.667939741752612,0.19488825179218083,0.4396551724137931,0.36523372900715856,0.02128279718790338,-1.2739358800196143,-0.038292885016862455,True,0.6776121644545745,0.2628766256083722,0.6015037593984962,27.53989564899232,0.9988875606013742,7249
7250.png,0.6407982261640798,0.8679135008766803,0.9292866082603255,0.9172328597899938,0.9416613823715916,0.9990021407054068,28.250846440810765,0.9990615215029315,28.504649932354347,0.6742889012827663,0.7191683782216203,0.7232874171341973,31.332172870652208,0.5890893749672315,2329,4,7,15,11,2.033333333333333,1.75,180,183,291.45079348883263,2.8918028778500027,0.04127621756989711,0.033117894041609586,-0.033956373426104136,-0.00013362557357787797,1.5393034760946556e-05,0.0439669905870238,1259.972095489502,0.6742889012827663,0.6742889012827663,4,7,-3,15,11,2.033333333333333,1.75,4,1,180,183,154,1.5926272868242208,2.8918028778500027,291.45079348883263,0.04127621756989711,44906,19.281236582224132,28.139115500214686,256x256,65536,sparse,Learned,300,4,29,2254,31.673815927864553,0.6355705015580747,28.27976626241128,0.9990461284681705,0.6303219106957425,0.5288128887247132,8,8,0.0,40,2272,31.99915710499809,0.6769168021789304,0.9989987515556635,28.387641381869635,0.5404465399532159,0.6134585289514867,3883,32.28607028529496,0.7076340558974653,0.9994679285063965,31.224137321824376,0.28273340851525197,0.6327160493827161,0.2248836699430683,0.19035548949690706,-0.34164305721234456,-0.04648112659084325,True,0.7433392230464442,0.5376479066918036,0.6076803321224702,28.28480281423687,0.9991357662789847,7250
7251.png,0.7752161383285303,0.8544668587896254,0.9215229215229216,0.9280125195618153,0.9151234567901234,0.9988477501495722,25.19372445553683,0.9994932544090264,27.134131432728488,0.8657513348588863,0.7032899857059547,0.8472567012595011,31.14341292503021,0.6059269063531394,2476,4,6,13,11,2.0224719101123596,1.5,178,180,282.9360748630714,2.3691869304421243,0.04469813271254722,0.03132133557336436,-2.4173107572227153,-0.0006755197216947728,-7.698774186981616e-05,0.11337641402291421,863.3337020874023,0.8657513348588863,0.8657513348588863,4,6,-2,13,11,2.0224719101123596,1.5,4,0,178,180,154,1.5718670825726166,2.3691869304421243,282.9360748630714,0.04469813271254722,44830,18.105815831987076,26.468497576736674,256x256,65536,sparse,Learned,298,4,30,2387,31.860479106431324,0.6541271176068617,27.650898634016553,0.9995702421508962,0.7523749208359721,0.5740074125998693,6,1,0.25,41,2372,32.19708627137943,0.694537179265732,0.9995854345505846,28.12285900889135,0.7394602921400244,0.7539834289356278,3790,32.41558434595102,0.7089880208750731,0.9997828889548818,31.16721237144894,0.5573606726386489,0.7420785804816223,-0.5167672012880651,0.12928257310608537,-0.7170661814011154,-0.048200211253722314,True,0.7247292169102477,0.6140316856257579,0.743894802755166,27.611035212759546,0.9995232698712669,7251
7252.png,0.8003533568904594,0.9189895470383276,0.9577848388561052,0.943649373881932,0.9723502304147466,0.9993589882341434,27.40094792250797,0.9993934188100221,27.697521765892755,0.824669603524229,0.5392962190010342,1.0894517365430267,30.807314650978952,0.5536714072219613,1902,4,1,2,8,1.949579831932773,0.25,119,116,171.1959594928933,3.189223790369114,0.028851221528091487,0.014934964181263055,-0.08627658773493607,-5.08561304262134e-05,3.621410766219135e-05,0.029755739701423423,1110.0356578826904,0.824669603524229,0.824669603524229,4,1,3,2,8,1.949579831932773,0.25,4,0,119,116,109,1.475827237007701,3.189223790369114,171.1959594928933,0.028851221528091487,45467,23.90483701366982,34.456361724500525,256x256,65536,sparse,Learned,239,4,23,1881,30.87988660244909,0.5882559265026728,27.44353652901146,0.9993572047023599,0.7949138638228056,0.5415939886947765,4,1,0.5,31,1888,31.26611239317134,0.6319967504346891,0.9992677673823134,26.909524439406255,0.6074141344684816,0.7889160554197229,4893,32.09367974748315,0.7230883485567786,0.999734843810055,31.439515107053538,0.6155724752496214,0.7771381578947368,0.25398523688129515,-0.002297769693742291,-0.07257195147013817,-0.03458451928071149,True,0.5484187650774077,0.597475775966364,0.7854183927091963,27.487224510242907,0.9994098443645696,7252
7253.png,0.5391304347826087,0.8473138548539114,0.9173469387755101,0.8779296875,0.9604700854700855,0.9995028589458274,27.73003626021723,0.9995360966317943,28.10001066037919,0.5724976613657624,0.5768379176822511,0.5030309214478391,31.155322937500102,0.5797395606458554,1841,4,2,5,9,1.9699248120300752,0.5,133,131,195.75230867899745,2.5522368043885195,0.04032312092591086,0.01585296737106312,-0.04181118597197653,-8.784141088169495e-05,6.284884978335903e-06,0.019344508212609246,1001.2357234954834,0.5724976613657624,0.5724976613657624,4,2,2,5,9,1.9699248120300752,0.5,4,0,133,131,119,1.494292432664102,2.5522368043885195,195.75230867899745,0.04032312092591086,44924,24.40195545898968,35.59804454101032,256x256,65536,sparse,Learned,253,4,24,1732,31.4606456971288,0.6096458442678412,27.74061488175991,0.999529811746816,0.5531531531531532,0.3122196249249557,7,2,0.0,34,1710,31.695093216260947,0.6460565528011312,0.9994859681265033,27.629922584589757,0.22190689591947144,0.5394853593611357,5117,32.64945329177711,0.7442231532870843,0.9997911827862914,31.99893264275044,0.2628766256083722,0.5638766519823789,0.3593957786192803,0.2646182927572954,-0.30532275962869804,-0.029906283621985774,True,0.581048450752361,0.2922853375877995,0.5232774674115456,27.771847446189206,0.999590700356709,7253
7254.png,0.8002915451895044,0.9212253829321663,0.958997722095672,0.9633867276887872,0.9546485260770975,0.9992410741812272,27.06879279454359,0.9994082797990341,27.70143236470099,0.8302308265078183,0.6720847211004115,0.8505106272606018,31.22223652594027,0.5900561038886978,2339,4,0,1,9,1.9550561797752808,0.0,178,174,255.35028842544446,2.600488177845987,0.026880407868430236,0.025175111390435823,-0.620418958002201,-0.00018259123500896646,-2.1688166442324075e-05,0.047680490937348496,950.9027004241943,0.8302308265078183,0.8302308265078183,4,0,4,1,9,1.9550561797752808,0.0,4,0,178,174,168,1.4675303932496786,2.600488177845987,255.35028842544446,0.026880407868430236,44986,19.23300555793074,28.018811457887985,256x256,65536,sparse,Learned,298,4,29,2286,31.62731655634182,0.6362015929483265,27.662885540937452,0.9994299679654765,0.7825503355704698,0.5950533706734951,5,2,0.0,38,2326,31.91528954553386,0.6795007143982521,0.9993632566763858,27.608646611050606,0.5682894765709203,0.758988015978695,3998,32.22344499938911,0.705249165006452,0.9997234428504679,31.194030381650393,0.3675675219699778,0.7604026845637584,0.03854682376353935,0.07703135042691645,-0.4050800304015496,-0.046145489059628675,True,0.6880773379673533,0.5852170883184187,0.7751164337990686,27.68921175254579,0.9994236654162362,7254
7255.png,0.728538283062645,0.8976135488837568,0.9460446247464503,0.9533932951757972,0.9388083735909822,0.999157861056061,26.95710552923387,0.9994253306868001,27.76754906289081,0.7671451355661882,0.6190168002606627,0.8882198851725365,30.684097209420766,0.5500188373799477,2076,4,5,10,9,2.0140845070422535,1.25,142,143,230.03657992645938,2.809928711031524,0.03450386212265952,0.017250294640068997,-0.44333635095209445,-0.00019001021889009095,1.9208971014483822e-05,0.034501117840929796,1041.4834022521973,0.7671451355661882,0.7671451355661882,4,5,-1,10,9,2.0140845070422535,1.25,4,1,142,143,123,1.608647412073142,2.809928711031524,230.03657992645938,0.03450386212265952,45536,21.934489402697494,31.56840077071291,256x256,65536,sparse,Learned,262,4,25,2037,30.97788707509978,0.5957117212209709,27.444819225182457,0.9994061217157856,0.7326440177252584,0.45845728522436724,6,1,0.75,32,2038,31.21070569853911,0.6395731272424849,0.9993305706449995,27.11347895953143,0.46634194949700947,0.737987987987988,4251,31.743871679921703,0.695610600337596,0.9997054933851595,30.97739931949253,0.3880539237847034,0.7310549777117384,0.32272983770835495,0.1605595150362955,-0.2937898656790132,-0.04569288384102321,True,0.6518075726938024,0.5789484473726789,0.711287988422576,27.400441880185966,0.9993478712749511,7255
7256.png,0.4901685393258427,0.8185595567867036,0.9002284843869003,0.9036697247706422,0.8968133535660091,0.9989836049235461,28.42130911633553,0.9992138718667177,28.983010128086313,0.5348837209302325,0.6604044743550609,0.4480392805551223,31.605527675720296,0.6030372393486976,2093,4,2,7,11,1.975,0.5,160,158,245.06601717798233,2.867817547917366,0.04378153270029572,-0.02228231257455049,-0.6731611040376038,-0.0002766068228110541,-4.1675868954760276e-05,-0.006363763979224224,1264.167308807373,0.5348837209302325,0.5348837209302325,4,2,2,7,11,1.975,0.5,4,0,160,158,142,1.5510507416327983,2.867817547917366,245.06601717798233,0.04378153270029572,44562,21.29096989966555,31.311992355470615,256x256,65536,sparse,Learned,280,4,28,2048,32.0054208872246,0.642082785044174,29.03207955794031,0.9992555477356725,0.5412474849094567,0.2572036276998775,15,1,0.0,40,1998,32.278548176153194,0.6771779571620437,0.9991280816793426,28.82763930626124,0.35079062331485267,0.528173794976239,4445,32.79805011496758,0.7376642313387949,0.9995806073768256,31.896492828867782,0.24026273445081514,0.5342837746096402,-0.04906942985399709,0.4032008466551834,-0.3998932115043061,-0.03904554569547647,True,0.6988057880877979,0.31309244254261226,0.5124508519003932,29.094470220373132,0.9992602117463572,7256
7257.png,0.6340652029274784,0.815086782376502,0.8981243104082383,0.920814479638009,0.8765254845656856,0.9990700226215443,27.522465467476653,0.9993776057140846,28.08002272682539,0.6955287437899219,0.7032899857059547,0.5547859428836922,30.327108357979093,0.5309191833972352,2278,4,6,10,7,2.021505376344086,1.5,186,188,279.10764773832506,2.4211134474764586,0.041137277162240214,0.02015633002579975,-0.4791789752590567,-0.00026128855596108114,1.0793319656254852e-05,0.05490374378992191,998.5263347625732,0.6955287437899219,0.6955287437899219,4,6,-2,10,7,2.021505376344086,1.5,4,1,186,188,169,1.4846151475442808,2.4211134474764586,279.10764773832506,0.041137277162240214,45763,20.089113257243195,28.769095697980685,256x256,65536,sparse,Learned,306,4,25,2124,30.718891472980864,0.5862644504412541,27.865649671634266,0.9993668123944284,0.640625,0.40547945202980573,10,4,0.0,31,2044,30.937600006667118,0.6253952693120267,0.9992582074409467,27.297323417512686,0.24739181580152425,0.6335403726708074,4031,31.394489223485923,0.6787582284482352,0.9996642120767313,30.709526428267687,0.10295445970160955,0.6008279124778237,0.2143730551911247,0.29781053367614896,-0.3917831150017719,-0.055345267044018875,True,0.7261021356685544,0.4028312579667416,0.6139088729016786,28.00164444273571,0.9993313111775054,7257
7258.png,0.7548512289780077,0.858242463117383,0.9237141870900932,0.9523131672597864,0.8967828418230563,0.9990796717128216,26.140682605906072,0.9994495085663353,27.217480067225857,0.8147892190739461,0.6291657197018043,0.8350161688597175,30.060793468310916,0.5289369982192867,2451,5,1,3,11,1.9572192513368984,0.2,187,183,287.9066376115485,2.434916660747426,0.04049040197238033,-0.00010372597694718877,-1.222121153461849,-0.00038129937318909235,-6.236189251751512e-05,0.05172951758140876,967.9689407348633,0.8147892190739461,0.8147892190739461,5,1,4,3,11,1.9572192513368984,0.2,5,0,187,183,173,1.573260314817203,2.434916660747426,287.9066376115485,0.04049040197238033,46114,18.81436148510812,26.738474092207262,256x256,65536,sparse,Learned,307,5,26,2405,30.55181032763364,0.5937790781183482,27.29779268027543,0.9995118704588528,0.7630597014925373,0.421123814743799,9,1,0.09999999999999998,28,2220,30.704281904952246,0.630602319375829,0.999408774715989,26.637341166746307,0.6379597914565125,0.7492202121023082,3721,31.088559339071008,0.6570206280169227,0.9997281553945451,30.193396745821424,0.5570443887454478,0.756875,-0.08031261304957127,0.20804190495800534,-0.4910168593227233,-0.06484207989906143,True,0.657676814056212,0.549170773621083,0.7549549549549549,27.36280375936792,0.9994609710860107,7258
