filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
d2_d0002_p0203_t0000.png	0.988200	24.991683	1.000000	1.000000	24.814961	0.666622	48572	9	680	1226	66	2.245293	75.555556	5471	6142	11049.309972	3.543119	0.083946	-0.005850	0.332512	22321.459532	0.669551	9	680	-671	1226	66	2.245293	75.555556	10	173	5471	6142	4179	1.798976	3.543119	11049.309972	0.083946	259270	5.337849	7.411678	600x600	360000	dense	Learned	5671	10	68	48220	31.578961	0.819049	27.823751	0.994050	0.667488	0.958947	59	481	0.000000	67	48326	33.725772	0.875255	0.997167	31.127034	0.938765	0.666308	976	23.637844	0.564678	0.960278	18.657461	1.000000	0.614955	-2.832069	0.041053	-6.764000	-0.152428	False	d2_d0002_p0203_t0000
d2_d0002_p0204_t0000.png	0.983873	23.999990	1.000000	0.999837	25.709725	0.460136	34294	12	566	986	55	2.312729	47.166667	3543	4097	6999.788121	4.297194	0.067488	-0.002254	0.341898	21983.654022	0.695079	12	566	-554	986	55	2.312729	47.166667	13	131	3543	4097	2502	1.708516	4.297194	6999.788121	0.067488	262908	7.666297	10.497463	600x600	360000	dense	Learned	3743	13	42	34054	28.289307	0.662703	24.620414	0.986127	0.658102	0.299538	527	594	0.000000	32	34060	29.206773	0.746448	0.990729	26.221140	0.242605	0.649008	1742	25.651858	0.432370	0.964126	20.689444	0.947010	0.647449	-0.620424	0.700299	-2.579582	-0.202567	False	d2_d0002_p0204_t0000
d2_d0002_p0206_t0000.png	0.987934	24.370446	1.000000	1.000000	26.385072	0.553211	36164	8	602	1051	38	2.306581	75.250000	3875	4469	7896.227340	3.749309	0.075208	-0.003280	0.302757	21633.745670	0.718666	8	602	-594	1051	38	2.306581	75.250000	8	157	3875	4469	2786	1.766889	3.749309	7896.227340	0.075208	263519	7.286777	9.954651	600x600	360000	dense	Learned	4075	8	52	36008	29.887172	0.720786	25.667790	0.991215	0.697243	0.515687	215	539	0.000000	45	34592	31.241772	0.781304	0.995308	28.556012	0.449790	0.692574	1404	26.020804	0.519471	0.971422	20.335538	0.971779	0.665427	-1.297344	0.484313	-3.502100	-0.167575	False	d2_d0002_p0206_t0000
d2_d0002_p0207_t0000.png	0.987275	23.801643	1.000000	0.998258	25.930825	0.535622	41622	21	679	1118	41	2.301351	32.333333	4367	5025	8594.400537	3.850929	0.068574	-0.003779	0.256757	20685.032845	0.784034	21	679	-658	1118	41	2.301351	32.333333	22	171	4367	5025	3208	1.710328	3.850929	8594.400537	0.068574	267577	6.428740	8.649272	600x600	360000	dense	Learned	4567	22	53	41279	29.228391	0.722096	25.235277	0.991053	0.743243	0.451672	272	434	0.000000	42	39510	30.640870	0.797311	0.995083	27.908283	0.366186	0.739215	1406	24.364441	0.475567	0.962632	18.928883	0.919310	0.697011	-1.433633	0.546586	-3.297567	-0.186474	False	d2_d0002_p0207_t0000
d2_d0002_p0208_t0000.png	0.986659	23.032761	1.000000	0.999999	24.049707	0.510751	49329	12	913	1544	37	2.354028	76.083333	5090	5991	10616.441769	3.659727	0.074440	-0.004924	0.229749	22175.868988	0.834563	12	913	-901	1544	37	2.354028	76.083333	12	232	5090	5991	3509	1.772065	3.659727	10616.441769	0.074440	274759	5.569928	7.297938	600x600	360000	dense	Learned	5290	12	55	48596	28.475851	0.731396	24.880742	0.991583	0.770251	0.878433	96	829	0.000000	42	49028	30.349127	0.832433	0.995549	27.693941	0.851236	0.769516	1014	21.805306	0.405739	0.952222	16.889522	0.997215	0.704660	-1.847981	0.121566	-4.426143	-0.220645	False	d2_d0002_p0208_t0000
d2_d0002_p0209_t0000.png	0.986176	23.702000	1.000000	0.992204	23.889142	0.363130	35277	22	497	861	62	2.247203	22.590909	3843	4318	7152.465608	3.857696	0.065587	-0.000386	0.615117	21141.139984	0.443153	22	497	-475	861	62	2.247203	22.590909	24	115	3843	4318	2920	1.656430	3.857696	7152.465608	0.065587	279789	7.931202	10.204949	600x600	360000	dense	Learned	4043	24	35	34352	26.423347	0.618012	23.874408	0.986563	0.384883	0.213591	2089	1634	0.000000	23	35012	27.058446	0.716265	0.989514	24.671663	0.198534	0.384204	1815	24.538471	0.338269	0.972182	21.210421	0.846064	0.409628	-0.172408	0.778614	-2.534205	-0.254882	False	d2_d0002_p0209_t0000
d2_d0002_p0210_t0000.png	0.983971	21.640359	1.000000	1.000000	22.794363	0.320947	44763	7	767	1288	32	2.331010	109.571429	4592	5352	8801.024238	4.054211	0.055562	-0.000496	0.268452	21246.464729	0.756946	7	767	-760	1288	32	2.331010	109.571429	7	186	4592	5352	3272	1.644437	4.054211	8801.024238	0.055562	256125	5.721801	8.042356	600x600	360000	dense	Learned	4792	7	35	44524	24.825589	0.632533	21.758130	0.984467	0.731548	0.700560	250	1751	0.000000	18	43734	26.171661	0.733035	0.991853	24.272972	0.533974	0.719628	1424	21.900968	0.259578	0.950781	17.372408	0.999818	0.725158	-0.117771	0.299440	-2.031225	-0.311585	False	d2_d0002_p0210_t0000
d2_d0002_p0211_t0000.png	0.980824	22.169753	1.000000	0.999999	23.560654	0.365093	47869	11	857	1449	37	2.342441	77.909091	4941	5787	9823.444728	4.077753	0.065935	-0.003350	0.279176	22537.004471	0.736606	11	857	-846	1449	37	2.342441	77.909091	11	208	4941	5787	3455	1.697502	4.077753	9823.444728	0.065935	271963	5.681401	7.520525	600x600	360000	dense	Learned	5141	11	41	47229	25.867309	0.660964	22.909718	0.984174	0.720824	0.812984	192	1983	0.000000	24	47448	27.288296	0.773651	0.990883	25.053763	0.655365	0.711715	1078	22.017702	0.284689	0.941200	17.501264	0.997187	0.700895	-0.739965	0.187015	-2.306655	-0.295870	False	d2_d0002_p0211_t0000
d2_d0002_p0212_t0000.png	0.982138	25.175699	1.000000	0.996944	25.028520	0.503911	44207	28	836	1396	88	2.325282	29.857143	4968	5776	9969.592484	3.959459	0.068237	-0.005266	0.549350	24608.381510	0.465694	28	836	-808	1396	88	2.325282	29.857143	28	177	4968	5776	3484	1.726037	3.959459	9969.592484	0.068237	266786	6.034927	8.143507	600x600	360000	dense	Learned	5168	28	56	43306	29.252639	0.735645	26.660723	0.987404	0.450650	0.360009	984	1890	0.000000	46	44088	30.870073	0.826716	0.992723	28.927474	0.291435	0.443991	1438	25.841143	0.475007	0.963770	22.168192	0.984582	0.437722	-1.485024	0.636935	-4.224118	-0.231734	False	d2_d0002_p0212_t0000
d2_d0002_p0216_t0000.png	0.989304	22.998605	1.000000	1.000000	25.149986	0.354663	22192	3	362	643	43	2.336300	120.666667	2135	2494	4797.099997	3.952198	0.059025	0.002018	0.391290	18365.422487	0.618755	3	362	-359	643	43	2.336300	120.666667	3	78	2135	2494	1449	1.923456	3.952198	4797.099997	0.059025	263900	11.891673	16.222062	600x600	360000	sparse	Learned	2255	3	25	21748	26.476806	0.533000	22.325079	0.987286	0.608710	0.482202	164	333	0.000000	14	20200	26.772342	0.571493	0.989789	22.985627	0.490691	0.600504	2863	25.531731	0.350120	0.980917	20.961660	0.739431	0.606029	0.673525	0.517798	-1.326820	-0.178337	False	d2_d0002_p0216_t0000
