stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M2_004_y512x512,0.133060,0.341512,0.178979,0.514717,1364,2630,6257
M2_005_y256x256,0.328676,0.486338,0.503442,0.513902,3364,3553,3318
M2_005_y256x512,0.203878,0.336816,0.340609,0.450202,2450,4824,4743
M2_006_y0x256,0.271651,0.523028,0.361109,0.547534,4429,4039,7836
M2_006_y512x512,0.098531,0.203176,0.160584,0.237051,1254,4918,6555
M2_007_y0x0,0.262451,0.264037,0.977632,0.347359,743,2071,17
M2_007_y0x256,0.379348,0.471724,0.659537,0.500290,5180,5801,2674
M2_007_y256x256,0.282936,0.394947,0.499405,0.583585,2517,3856,2523
M2_007_y512x0,0.194353,0.196399,0.949130,0.421021,709,2901,38
M2_007_y512x512,0.096414,0.364247,0.115921,0.404840,1355,2365,10334
M2_008_y0x0,0.158559,0.352719,0.223629,0.377637,2614,4797,9075
M2_008_y256x0,0.124424,0.282389,0.181957,0.434692,1674,4254,7526
M2_008_y256x256,0.078274,0.209149,0.111182,0.417114,1399,5290,11184
M2_008_y512x0,0.110947,0.198046,0.201450,0.277984,750,3037,2973
M2_008_y512x256,0.148053,0.272543,0.244786,0.407482,1209,3227,3730
M2_009_y0x256,0.264002,0.319896,0.601746,0.337929,1103,2345,730
M2_009_y0x512,0.126937,0.161654,0.371490,0.259557,1548,8028,2619
M2_009_y256x512,0.277023,0.514586,0.375024,0.527550,3916,3694,6526
M2_009_y512x512,0.083047,0.088277,0.583621,0.289316,677,6992,483
M2_010_y0x512,0.110722,0.153295,0.285043,0.210222,728,4021,1826
M2_010_y256x512,0.167393,0.335319,0.250519,0.456486,1689,3348,5053
M2_010_y512x0,0.228524,0.340862,0.409472,0.407662,1660,3210,2394
M2_010_y512x512,0.127730,0.232520,0.220833,0.357655,848,2799,2992
M2_011_y0x256,0.088183,0.106866,0.335289,0.224215,400,3343,793
M2_011_y256x0,0.291015,0.357191,0.611016,0.383692,2141,3853,1363
