filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	gt_available	gt_topology_q	recon_topology_q	stem	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim
M1_021_y512x0.png	0.292562	0.000000	0.000000	0.000000	0.000000	0.972186	23.014377	0.999879	24.296009	1.000000	0.130642	0.589758	20.707735	0.534742	1137	2	0	0	3	1.636364	0.000000	11	9	16.656854	2.862472	0.051120						597.877979	0.015195	2	0	2	0	3	1.636364	0.000000	5	0	11	9	8	1.850762	2.862472	16.656854	0.051120	36754	32.325418	57.639402	256x256	65536	sparse	Frangi	137	5									True	0.809317	0.477301	M1_021_y512x0																									
M1_021_y512x512.png	0.211022	0.084461	0.155766	0.093566	0.464644	0.991962	26.491238	0.992102	35.435829	1.000000	0.660263	0.530641	31.591554	0.884228	11478	28	122	244	98	2.142532	4.357143	1319	1413	2985.453424	3.174925	0.089861	-0.001606	-17.457340	-0.007695	-0.006654	0.800675	2913.468361	0.204508	28	122	-94	244	98	2.142532	4.357143	48	13	1319	1413	977	2.112847	3.174925	2985.453424	0.089861	33397	2.909653	5.709706	256x256	65536	sparse	Learned	1501	48	96	11086	46.822491	0.988327	0.998948	45.842279	0.142425	0.203786	True	0.373433	0.198159	M1_021_y512x512	92	11247	46.143389	0.987432	44.449856	0.998756	0.199325	0.142816	78	3	0.302885	248	21.600125	0.607067	0.887278	17.653348	0.847749	0.253216	-9.014027	0.517447	-14.551835	-0.103204	0.212628	43.948579	0.999656
M1_021_y512x768.png	0.131883	0.009629	0.019074	0.555556	0.009703	0.986361	22.021469	0.999992	23.581941	1.000000	0.228948	1.600794	24.710214	0.786002	471	1	0	0	0	1.333333	0.000000	3	2	5.414214	3.201850	0.162661						474.260569	0.002303	1	0	1	0	0	1.333333	0.000000	1	0	3	2	3	2.707107	3.201850	5.414214	0.162661	26794	56.887473	139.142251	256x256	65536	sparse	Frangi	60	1									True	0.624689	0.999998	M1_021_y512x768																									
M1_021_y768x512.png	0.276991	0.019084	0.037452	0.518006	0.019429	0.946294	18.891653	0.999851	26.580842	1.000000	0.130642	0.941064	19.900315	0.566335	1214	2	0	0	4	1.600000	0.000000	10	8	18.071068	3.270352	0.172528						564.414978	0.015809	2	0	2	0	4	1.600000	0.000000	5	0	10	8	6	2.258883	3.270352	18.071068	0.172528	36451	30.025535	53.983526	256x256	65536	sparse	Frangi	136	5									True	0.794847	0.748002	M1_021_y768x512																									
M2_001_y256x0.png	0.000000	0.078805	0.146097	0.079246	0.934126	0.999132	37.800045	0.987683	38.507012	1.000000	0.978763	0.125010	36.275997	0.961113	8722	5	109	210	50	2.205941	21.800000	1010	1114	2270.439225	3.346537	0.085809	0.000000	-8.830487	-0.000726	-0.010604	0.991928	7119.717121	0.009354	5	109	-104	210	50	2.205941	21.800000	10	10	1010	1114	750	2.038096	3.346537	2270.439225	0.085809	21037	2.411947	7.513873	256x256	65536	sparse	Learned	1614	10	100	6346	51.199412	0.990279	0.998318	49.058473	0.026314	0.007994	True	0.678042	0.084762	M2_001_y256x0	96	8008	51.015826	0.991674	48.507709	0.998286	0.008072	0.026314	3	0	0.150000	246	28.418722	0.522748	0.937735	24.286054	0.802101	0.143706	-10.000697	0.952449	-14.739829	-0.030561	0.000000	46.630532	0.999858
M2_001_y256x256.png	0.005863	0.061728	0.116279	0.195707	0.082711	0.981742	28.822542	0.998640	32.951361	1.000000	0.156897	0.097595	32.226014	0.840131	2692	12	0	0	24	1.739130	0.000000	92	80	120.254834	5.011702	0.061491	0.000004	-10.499434	-0.015380	-0.000528	0.696054	1517.086029	0.305556	12	0	12	0	24	1.739130	0.000000	15	0	92	80	68	1.503185	5.011702	120.254834	0.061491	29905	11.108841	24.344725	256x256	65536	dense	Meijering	348	15	81	2540	42.760230	0.968568	0.999598	36.984626	0.044958	0.303819	True	0.692721	0.067606	M2_001_y256x256	35	2667	40.784667	0.954233	34.007655	0.999168	0.303946	0.108634	8	0	0.766667	3550	43.744109	0.972928	0.999766	41.550208	0.075036	0.303361	-1.056294	0.048264	-8.558653	-0.114101	0.005859	39.321977	0.997121
M2_001_y256x512.png	0.385784	0.000000	0.000000	0.000000	0.000000	0.969258	23.360458	0.999954	21.485463	1.000000	0.113080	0.740085	23.914040	0.725866	519	0	0	0	0	0	0.000000	0	0	0	0	0						445.002079	0.003871	0	0	0	0	0	0	0.000000	1	0	0	0	0	0	0	0	0	32431	62.487476	126.273603	256x256	65536	sparse	Frangi	54	1									True	0.864935	0.640126	M2_001_y256x512																									
M2_001_y512x0.png	0.015557	0.032153	0.062303	0.267213	0.035262	0.973452	29.893001	0.999591	31.638406	1.000000	0.145011	0.057902	31.677584	0.863711	1428	3	0	0	6	1.727273	0.000000	22	19	35.970563	5.531782	0.070024	-0.000791	-3.082531	-0.010358	0.000964	0.492549	832.313776	0.501639	3	0	3	0	6	1.727273	0.000000	6	0	22	19	16	1.893188	5.531782	35.970563	0.070024	28578	20.012605	45.893557	256x256	65536	sparse	Meijering	148	6	61	1412	41.616401	0.961238	0.999763	32.618604	0.056140	0.484682	True	0.896969	0.051936	M2_001_y512x0	9	1402	34.050386	0.795165	25.744914	0.998627	0.507451	0.066570	9	0	0.750000								5.893493	0.078441	-2.372802	0.068546	0.016348	32.975532	0.983810
M2_002_y0x0.png	0.144962	0.131876	0.233022	0.133504	0.915361	0.999208	33.179757	0.992631	37.973726	1.000000	0.806428	2.279810	35.561977	0.957087	7272	13	82	171	62	2.154882	6.307692	891	960	1824.925310	3.457476	0.062671	0.069115	-12.539768	-0.000676	-0.005926	0.615694	5292.793751	0.505532	13	82	-69	171	62	2.154882	6.307692	19	8	891	960	658	1.900964	3.457476	1824.925310	0.062671	23043	3.168729	9.012101	256x256	65536	sparse	Learned	1341	19	98	6626	49.589156	0.988317	0.998775	47.761365	0.519347	0.383020	True	0.375890	0.856958	M2_002_y0x0	94	6331	49.311639	0.988492	46.676166	0.998557	0.384306	0.680942	42	99	0.000000	275	35.907681	0.905860	0.984716	31.111161	0.999823	0.344290	-8.702440	0.125486	-13.749662	-0.031405	0.075848	45.719525	0.999884
M2_002_y0x256.png	0.275187	0.011929	0.023576	0.246725	0.012379	0.971258	20.028337	0.999866	28.163378	1.000000	0.142156	1.032442	22.216687	0.682456	1279	4	0	0	6	1.636364	0.000000	22	18	33.313708	3.295776	0.051120						712.777615	0.017200	4	0	4	0	6	1.636364	0.000000	6	0	22	18	16	1.850762	3.295776	33.313708	0.051120	35212	27.530884	51.240031	256x256	65536	sparse	Frangi	146	6	5	1238	32.543253	0.905199	0.999775	25.623462	0.763640	0.025494	True	0.928898	0.959033	M2_002_y0x256																									
M2_002_y0x512.png	0.179149	0.168411	0.288273	0.281860	0.294984	0.984577	24.914213	0.997823	31.594463	1.000000	0.333245	0.378425	27.620328	0.885649	12372	44	64	125	133	2.037594	1.454545	1064	1084	1834.107249	3.199525	0.063089	0.003696	-15.723531	-0.014584	-0.001776	0.351970	3600.383997	0.635569	44	64	-20	125	133	2.037594	1.454545	75	8	1064	1084	806	1.691981	3.199525	1834.107249	0.063089	37147	3.002506	5.297123	256x256	65536	dense	Learned	1490	75	93	12060	44.219771	0.986437	0.999774	42.486965	0.215067	0.647682	True	0.931044	0.352331	M2_002_y0x512	89	11908	42.556153	0.985415	39.237376	0.999600	0.648030	0.222289	100	9	0.770833	245	16.235766	0.364564	0.890555	10.829827	0.999988	0.318442	-7.642913	0.110957	-14.935826	-0.099766	0.175454	40.637744	0.999161
M2_002_y256x0.png	0.193562	0.000204	0.000407	0.003125	0.000218	0.990562	27.916321	0.999813	27.401115	1.000000	0.168896	1.149763	26.899999	0.776579	1182	3	0	0	6	1.666667	0.000000	18	15	126.490383	3.313717	0.073361						647.228956	0.019540	3	0	3	0	6	1.666667	0.000000	4	0	18	15	12	8.432692	3.313717	126.490383	0.073361	31379	26.547377	55.445008	256x256	65536	sparse	Frangi	138	4	21	1180	36.912287	0.935456	0.999787	28.271349	0.118973	0.086174	True	0.555636	0.638850	M2_002_y256x0																									
M2_002_y256x512.png	0.308861	0.033556	0.064933	0.427205	0.035137	0.947800	18.395120	0.999585	27.390568	1.000000	0.215990	1.100152	19.070234	0.580829	1724	4	0	0	8	1.822222	0.000000	45	41	63.213203	5.004257	0.065507	0.177877	-4.561729	-0.013578	0.002073	0.915020	971.664429	0.037515	4	0	4	0	8	1.822222	0.000000	6	0	45	41	37	1.541785	5.004257	63.213203	0.065507	39088	22.672854	38.013921	256x256	65536	sparse	Frangi	169	6	3	1674	31.060019	0.896846	0.999085	24.842568	0.122744	0.087823	True	0.854163	0.939709	M2_002_y256x512	3	1575	24.427916	0.717333	20.114310	0.997513	0.084980	0.210583	113	2	0.000000	5514	39.113851	0.963383	0.999935	36.526842	0.090307	0.091127	7.276258	0.005407	-5.357682	-0.136504	0.130984	22.956849	0.961378
M2_002_y512x0.png	0.446917	0.076031	0.141317	0.288354	0.093592	0.974617	25.706946	0.999039	32.050628	1.000000	0.201791	0.818864	28.330414	0.825016	3697	24	2	6	50	1.795349	0.083333	215	193	302.278124	4.196299	0.065031	0.039111	-12.456397	-0.022101	-0.000504	0.774979	1742.157936	0.173041	24	2	22	6	50	1.795349	0.083333	26	0	215	193	159	1.566208	4.196299	302.278124	0.065031	32736	8.854747	17.726806	256x256	65536	dense	Meijering	415	26	83	3620	41.924585	0.972402	0.999682	36.419175	0.342738	0.250700	True	0.958746	0.785082	M2_002_y512x0	44	3665	40.510334	0.964676	34.354673	0.999543	0.225021	0.437210	66	50	0.000000	531	27.057279	0.787470	0.985553	18.371034	0.705948	0.212297	-2.304045	-0.235419	-12.179920	-0.139660	0.407806	38.163343	0.996717
M2_003_y0x256.png	0.294842	0.203692	0.338445	0.315228	0.365353	0.994403	31.290139	0.997496	34.780111	1.000000	0.273219	1.016646	34.665917	0.876990	3886	22	8	15	42	1.900709	0.363636	282	268	379.806133	4.935468	0.051842	-0.046545	-9.213059	-0.004858	-0.001635	0.610277	2208.265305	0.400427	22	8	14	15	42	1.900709	0.363636	23	0	282	268	225	1.417187	4.935468	379.806133	0.051842	30461	7.838652	16.864642	256x256	65536	dense	Meijering	484	23	88	3758	43.633192	0.968409	0.999178	39.973869	0.450700	0.383436	True	0.734640	0.746868	M2_003_y0x256	69	3841	43.426370	0.967053	39.068457	0.999131	0.389723	0.456528	45	26	0.000000	534	33.977552	0.868518	0.990208	26.565808	0.718606	0.369716	-4.288346	-0.183309	-8.760453	-0.090062	0.341387	40.503198	0.999261
M2_003_y256x256.png	0.286504	0.000000	0.000000	0.000000	0.000000	0.976129	22.730750	0.999957	32.253802	1.000000	0.316139	1.294063	25.533157	0.800998	1159	1	0	0	2	1.882353	0.000000	17	16	20.071068	4.761604	0.020333						722.892046	0.008754	1	0	1	0	2	1.882353	0.000000	1	0	17	16	15	1.254442	4.761604	20.071068	0.020333	32844	28.338223	56.545298	256x256	65536	dense	Frangi	200	1	28	1142	37.703421	0.934951	0.999904	28.731629	0.644477	0.015638	True	0.769844	0.996227	M2_003_y256x256																									
M2_003_y512x0.png	0.212573	0.336053	0.503053	0.447755	0.573934	0.987024	31.753375	0.993242	35.101707	1.000000	0.404051	0.843343	31.712540	0.865484	6326	18	19	46	45	2.005076	1.055556	394	395	722.120197	5.301393	0.071034	-0.040907	-10.940004	-0.011962	-0.005044	0.629447	7733.430386	0.380805	18	19	-1	46	45	2.005076	1.055556	25	0	394	395	303	1.828152	5.301393	722.120197	0.071034	31709	5.012488	10.359785	256x256	65536	sparse	Otsu	940	25	92	6022	44.656062	0.974533	0.998440	42.716946	0.490116	0.389645	True	0.662898	0.559050	M2_003_y512x0	85	6080	44.640429	0.974716	42.022367	0.998287	0.370553	0.508285	69	66	0.000000	339	29.429818	0.802134	0.959721	23.719053	0.648205	0.247743	-6.920660	-0.104234	-12.927889	-0.109233	0.253480	42.693379	0.998986
M2_003_y512x512.png	0.277909	0.079635	0.147523	0.566707	0.084799	0.992496	26.886965	0.999781	31.282516	1.000000	0.295312	1.349630	33.455091	0.927010	1237	3	2	5	9	1.951220	0.666667	41	40	81.838520	4.712596	0.093668	-0.032559	-2.556167	0.001842	0.000650	0.937288	757.504940	0.043150	3	2	1	5	9	1.951220	0.666667	4	0	41	40	27	2.045963	4.712596	81.838520	0.093668	29214	23.616815	52.979790	256x256	65536	sparse	Meijering	161	4	77	1212	42.928005	0.964041	0.999903	34.174856	0.909022	0.042259	True	0.739761	0.998404	M2_003_y512x512	6	1221	32.469277	0.781945	24.700516	0.999131	0.062712	0.999571	3	31	0.000000								6.582000	-0.704259	0.985814	0.145065	0.310467	29.443132	0.990654
M2_004_y0x0.png	0.169202	0.163097	0.280453	0.163636	0.980198	0.999392	39.076718	0.994393	38.549105	1.000000	0.678348	1.224711	40.258542	0.962253	4291	7	11	26	19	2.029630	1.571429	270	274	452.132034	6.866820	0.052525	0.121341	-6.451482	-0.000479	-0.004363	0.713311	7136.543036	0.803116	7	11	-4	26	19	2.029630	1.571429	7	0	270	274	225	1.650117	6.866820	452.132034	0.052525	20305	4.731997	15.272897	256x256	65536	sparse	Otsu	810	7	97	3636	49.665382	0.984872	0.998955	46.897418	0.786955	0.286567	True	0.574007	0.702993	M2_004_y0x0	92	4046	49.846591	0.986439	46.044969	0.998756	0.286689	0.847845	35	141	0.000000	465	42.049726	0.916039	0.992249	36.803498	0.994636	0.293636	-7.495864	-0.169497	-9.588049	-0.024187	0.047860	45.528200	0.999871
M2_004_y0x512.png	0.026991	0.050646	0.096408	0.170240	0.067245	0.977638	26.706240	0.998918	32.458648	1.000000	0.167420	0.088250	27.764453	0.801429	4067	26	3	6	53	1.762887	0.115385	194	171	268.066017	4.125356	0.067786	-0.030954	-12.092687	-0.019093	-0.000505	0.598361	1498.293877	0.423711	26	3	23	6	53	1.762887	0.115385	31	0	194	171	135	1.567638	4.125356	268.066017	0.067786	33731	8.293828	16.114089	256x256	65536	dense	Meijering	402	31	81	3938	41.315739	0.967001	0.999574	36.209537	0.078379	0.397018	True	0.860742	0.075960	M2_004_y0x512	42	4047	39.834047	0.956432	34.250767	0.999424	0.401639	0.067252	79	2	0.000000	534	26.059820	0.730174	0.982238	18.831871	0.388419	0.251021	-1.792119	0.100168	-12.069593	-0.155003	0.057944	38.798927	0.996731
M2_004_y256x256.png	0.330253	0.031846	0.061726	0.547748	0.032706	0.952449	19.491975	0.999869	27.997237	1.000000	0.213372	0.701742	21.666085	0.749921	1618	2	1	3	5	1.941176	0.500000	34	33	45.142136	3.814292	0.019717	0.244974	-8.945316	-0.020493	0.000216	0.802615	882.483721	0.054755	2	1	1	3	5	1.941176	0.500000	4	0	34	33	26	1.367944	3.814292	45.142136	0.019717	32341	19.988257	40.504326	256x256	65536	dense	Frangi	238	4	30	1598	37.246539	0.948067	0.999889	28.189734	0.117013	0.207077	True	0.811582	0.569521	M2_004_y256x256	6	1565	30.948103	0.836689	22.776676	0.999654	0.197385	0.126076	42	0	0.000000	5561	44.156549	0.978581	0.999996	42.615864	0.099329	0.205062	5.220561	0.087296	-9.282019	-0.086768	0.085279	28.437291	0.972942
M2_004_y256x512.png	0.116722	0.171302	0.292499	0.396482	0.231725	0.979855	24.998119	0.998551	31.630757	1.000000	0.474328	0.368500	26.215665	0.841513	4200	6	14	32	24	2.061538	2.333333	260	268	478.493714	5.734953	0.070774	-0.019001	-12.960483	-0.017632	-0.000771	0.448123	2384.184599	0.601734	6	14	-8	32	24	2.061538	2.333333	13	1	260	268	204	1.785424	5.734953	478.493714	0.070774	33841	8.057381	15.603810	256x256	65536	sparse	Otsu	390	13	85	4150	42.225724	0.972667	0.999530	37.459801	0.132175	0.550172	True	0.752029	0.277123	M2_004_y256x512	52	4116	40.586404	0.965852	34.983085	0.999323	0.551877	0.132456	67	1	0.000000	474	24.796178	0.783871	0.979137	17.869002	0.421010	0.508910	-3.352328	0.341871	-14.370739	-0.124339	0.135724	37.958602	0.997487
