junction_def,L,descriptor,segCPU_vs_segGPU_bias_pct,segCPU_vs_segGPU_ccc,images_differ,seg_vs_ref_cpu_pct,seg_vs_ref_gpu_pct,pre_vs_seg_cpu_pct,pre_vs_seg_gpu_pct
t10,0,n_components,0.0,1.0,0,-1.3647642679900747,-1.3647642679900747,-0.8490566037735849,-0.8490566037735849
t10,0,total_length_px,-0.002247228797728841,0.9999966264023438,8,-6.016233478660069,-6.014121400930391,-4.029287324478542,-4.031444005971171
t10,0,mean_width_px,0.000259593026399419,0.999998312779074,29,5.028543474061253,5.0282708279944375,-1.199460201163643,-1.1992037218522802
t10,0,n_branches,0.0,1.0,0,-27.617043661230934,-27.617043661230934,-18.54651162790698,-18.54651162790698
t10,0,n_junctions,0.0,1.0,0,-39.49579831932773,-39.49579831932773,-24.537037037037035,-24.537037037037035
t10,0,cycle_rank,0.0,1.0,0,-36.57289002557545,-36.57289002557545,-12.903225806451614,-12.903225806451614
degree,5,n_components,0.0,1.0,0,-1.3647642679900747,-1.3647642679900747,-0.8490566037735849,-0.8490566037735849
degree,5,total_length_px,0.000860385681016035,0.9999880323929562,8,-3.8787451970976665,-3.8795722034949587,-2.8135634474605946,-2.812727269276606
degree,5,mean_width_px,0.0007844926953332455,0.9999976208039021,29,4.2939432603867305,4.293125088438678,-1.0677083397587424,-1.0669322231573417
degree,5,n_branches,0.03478260869565218,0.9996698938581791,1,-10.040663121676571,-10.071942446043165,-8.153685674547983,-8.121739130434783
degree,5,n_junctions,0.07178750897343862,0.999733423907066,1,-19.792865362485617,-19.85040276179517,-23.02725968436155,-22.972002871500358
degree,5,cycle_rank,0.0,1.0,0,-36.57289002557545,-36.57289002557545,-12.903225806451614,-12.903225806451614
