stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7270,Learned,1.0,0,6,273.03657992645924,5.566989497165003,8,1,0,6,265.7939392393399,5.559930993860604,6,0,0
7272,Learned,1.0,0,6,297.87720036002526,5.694790865227503,12,3,1,6,296.87720036002526,5.699704421583897,11,3,1
7273,Learned,0.9993714644877436,1,5,156.26702730475878,8.920846466358594,7,1,1,5,152.8528137423857,9.001900145480564,6,1,1
7274,Learned,1.0,0,4,156.33809511662426,5.412327429900069,6,1,0,4,154.92388155425118,5.387582251109127,4,0,0
7275,Learned,1.0,0,5,244.79393923933998,5.350216841385885,9,2,0,5,244.79393923933998,5.350216841385885,9,2,0
7276,Learned,1.0,0,5,228.37972567696687,6.4563961980424125,7,1,0,5,228.37972567696687,6.4563961980424125,7,1,0
7277,Learned,1.0,0,5,275.8944443027283,5.439539944203701,10,3,1,5,271.48023074035524,5.400147794049054,8,2,1
7278,Learned,1.0,0,4,249.52186130069782,5.968633336543949,8,2,0,4,249.52186130069782,5.968633336543949,8,2,0
7279,Learned,1.0,0,4,128.39696961967002,6.0743195708769875,4,0,0,4,128.39696961967002,6.0743195708769875,4,0,0
7280,Learned,1.0,0,4,282.4213562373095,7.284544050093818,11,4,1,4,282.4213562373095,7.284544050093818,11,4,1
7281,Learned,1.0,0,4,225.6812408671318,5.113615373469596,4,0,0,4,225.6812408671318,5.113615373469596,4,0,0
7283,Learned,1.0,0,5,301.24978336205567,6.362166131881177,11,3,0,5,295.83556979968256,6.395453956461061,9,2,0
7284,Learned,1.0,0,4,193.33809511662423,5.622315844855014,4,0,0,4,193.33809511662423,5.622315844855014,4,0,0
7285,Learned,1.0,0,4,156.36753236814712,6.844373214468552,6,1,0,4,147.95331880577405,6.9136614645442345,4,0,0
7286,Learned,1.0,0,4,216.6934341759516,5.396013044923787,4,0,0,4,216.6934341759516,5.396013044923787,4,0,0
7287,Learned,1.0,0,5,239.651803615609,5.047709156457119,5,0,0,5,239.651803615609,5.047709156457119,5,0,0
7288,Learned,1.0,0,4,240.1370849898476,5.479663614885736,8,2,0,4,240.1370849898476,5.479663614885736,8,2,0
7289,Learned,1.0,0,4,211.53910524340094,5.5333450371226895,10,3,0,4,207.71067811865476,5.537192850587516,8,2,0
7290,Learned,1.0,0,7,250.58073580374352,5.949800940206362,7,0,0,7,250.58073580374352,5.949800940206362,7,0,0
7291,Learned,1.0,0,5,236.5929291125633,5.170620897228847,7,1,0,5,232.1787155501902,5.12090503548428,5,0,0
7293,Learned,1.0,0,4,205.23759005323592,6.20177090040208,8,2,0,4,202.82337649086284,6.158259003926262,6,1,0
7294,Learned,1.0,0,5,222.48023074035515,6.602824281550563,7,1,0,5,216.65180361560897,6.6224332730398014,5,0,0
7295,Learned,1.0,0,4,302.0782104868019,5.544911590982024,12,5,2,4,300.0782104868019,5.541878458997667,10,4,2
7296,Learned,1.0,0,4,249.13708498984758,6.51482967669816,10,3,0,4,235.48023074035518,6.548399695917904,6,1,0
7297,Learned,1.0,0,4,256.48023074035524,5.711600913597008,10,3,0,4,253.48023074035524,5.695519581601372,8,2,0
7298,Learned,1.0,0,5,298.00714267493635,5.914010534632799,9,2,0,5,292.5929291125633,5.898404448977587,5,0,0
7299,Learned,0.9994562262098967,1,4,310.14927829866735,6.295569777103212,17,7,1,4,301.32085117392114,6.26308873993252,11,4,1
7300,Learned,1.0,0,5,245.73506473629428,5.816142726655324,7,1,0,5,245.73506473629428,5.816142726655324,7,1,0
7301,Learned,1.0,0,4,189.99494936611663,5.914976742688559,8,2,0,4,189.99494936611663,5.914976742688559,8,2,0
7302,Learned,1.0,0,4,266.6223663640862,6.637075890719517,16,6,1,4,251.96551211459382,6.569044294228373,11,4,1
7303,Learned,1.0,0,5,343.80613254815967,5.906121141451851,14,5,1,5,341.3919189857867,5.898385582907446,12,4,1
7305,Learned,1.0,0,4,248.35028842544403,5.863377218273775,12,4,0,4,248.35028842544403,5.863377218273775,12,4,0
