prune,L,descriptor,graph_bias_pct,jpeg_bias_pct,graph_ccc,jpeg_ccc,graph_mdape,jpeg_mdape,wilcoxon_p,wins_graph,wins_jpeg,ties
once,2,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
once,2,total_length_px,-11.21882130846974,23.208368056896013,0.7314421019363736,-0.027769807767675733,9.585402896434372,4.9227840403931,1.1442424184603124e-07,221,494,0
once,2,n_branches,-37.299988147445774,49.12883726443049,0.32552511557196484,-0.017662624571018526,33.33333333333333,25.0,0.028678041886755722,219,388,108
once,2,n_junctions,-60.38291605301915,37.00294550810015,0.33262195226329044,0.021891620703893645,60.0,40.0,1.0291738301110117e-06,174,384,157
once,2,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
once,5,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
once,5,total_length_px,-8.432791912085882,24.164307082017626,0.7925331337193893,-0.02511184537060017,7.013694320729412,4.788434911165656,0.9486233377805116,300,415,0
once,5,n_branches,-17.469502658742574,58.9302471066625,0.6556857400577534,-0.01296433336076173,15.384615384615385,22.22222222222222,4.613479821229644e-16,329,197,189
once,5,n_junctions,-38.434982738780214,45.45454545454545,0.6021937331889475,0.060952102204830966,42.857142857142854,33.33333333333333,0.000220114598898196,241,202,272
once,5,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
once,10,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
once,10,total_length_px,-7.899590557809395,21.24821144890703,0.7989231172971187,-0.023506160586377986,6.391667955223027,4.2056759270127415,0.17103186723439356,292,423,0
once,10,n_branches,-17.36516034985423,49.107142857142854,0.6249252608837862,-0.017698533716901364,12.5,18.181818181818183,4.5879637927956e-11,266,190,259
once,10,n_junctions,-42.779922779922785,20.308880308880305,0.5780145821648905,0.11713768669137944,50.0,33.33333333333333,0.3510769437134931,180,185,350
once,10,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
once_noguard,2,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
once_noguard,2,total_length_px,-11.21882130846974,23.208368056896013,0.7314421019363736,-0.027769807767675733,9.585402896434372,4.9227840403931,1.1442424184603124e-07,221,494,0
once_noguard,2,n_branches,-37.299988147445774,49.12883726443049,0.32552511557196484,-0.017662624571018526,33.33333333333333,25.0,0.028678041886755722,219,388,108
once_noguard,2,n_junctions,-60.38291605301915,37.00294550810015,0.33262195226329044,0.021891620703893645,60.0,40.0,1.0291738301110117e-06,174,384,157
once_noguard,2,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
once_noguard,5,n_components,-2.2022332506203477,67.8970223325062,0.7662579875867552,-0.009237963156377342,0.0,0.0,1.800117581444662e-40,250,25,440
once_noguard,5,total_length_px,-8.432791912085882,24.08359690545426,0.7925331337193893,-0.02479787236208216,7.013694320729412,4.788434911165656,0.957705838567424,300,415,0
once_noguard,5,n_branches,-17.469502658742574,58.3828589302471,0.6556857400577534,-0.012591867490704817,15.384615384615385,22.22222222222222,4.232166473166208e-16,330,197,188
once_noguard,5,n_junctions,-38.434982738780214,45.45454545454545,0.6021937331889475,0.060952102204830966,42.857142857142854,33.33333333333333,0.000220114598898196,241,202,272
once_noguard,5,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
once_noguard,10,n_components,-2.0522388059701493,66.69776119402985,0.7606271366261939,-0.009457123092809227,0.0,0.0,1.5617469489521714e-40,251,26,438
once_noguard,10,total_length_px,-7.879946254316781,20.97402083871526,0.7989611451373922,-0.02240525046915643,6.385806586971136,4.21747212008231,0.16632794088566805,293,422,0
once_noguard,10,n_branches,-17.2992700729927,47.737226277372265,0.6243463902394275,-0.016941694662522013,12.5,18.181818181818183,4.347566777597035e-11,265,190,260
once_noguard,10,n_junctions,-42.779922779922785,20.308880308880305,0.5780145821648905,0.11713768669137944,50.0,33.33333333333333,0.3510769437134931,180,185,350
once_noguard,10,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
iterative,2,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
iterative,2,total_length_px,-11.21882130846974,23.208368056896013,0.7314421019363736,-0.027769807767675733,9.585402896434372,4.9227840403931,1.1442424184603124e-07,221,494,0
iterative,2,n_branches,-37.299988147445774,49.12883726443049,0.32552511557196484,-0.017662624571018526,33.33333333333333,25.0,0.028678041886755722,219,388,108
iterative,2,n_junctions,-60.38291605301915,37.00294550810015,0.33262195226329044,0.021891620703893645,60.0,40.0,1.0291738301110117e-06,174,384,157
iterative,2,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
iterative,5,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
iterative,5,total_length_px,-8.391315560326314,24.19067530686554,0.7932581588080524,-0.025051743344981635,6.931545019069799,4.786469164941563,0.8590684947494717,302,413,0
iterative,5,n_branches,-16.81904161412358,59.67843631778057,0.6659224099139222,-0.012554365646479456,14.285714285714285,23.076923076923077,6.3471589563071735e-18,334,191,190
iterative,5,n_junctions,-37.57292882147024,46.55775962660443,0.6107994778016882,0.060758416524699536,40.0,35.416666666666664,5.126171091026203e-05,246,198,271
iterative,5,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
iterative,10,n_components,-2.2022332506203477,68.98263027295286,0.7662579875867552,-0.009225289928438303,0.0,0.0,7.349172650712147e-41,251,23,441
iterative,10,total_length_px,-7.617838800258054,21.307086992914815,0.8026448024918721,-0.023103397029497354,6.236794515512003,4.308647554866913,0.5695604372026144,304,411,0
iterative,10,n_branches,-14.366729678638942,51.37996219281664,0.6583475363520507,-0.01608933946447306,10.0,18.181818181818183,8.025660191816987e-19,288,159,268
iterative,10,n_junctions,-38.34586466165413,22.80701754385965,0.6019568207541424,0.1254608279913652,41.42857142857142,33.33333333333333,0.0017890040228372504,194,150,371
iterative,10,cycle_rank,-44.75703324808184,20.71611253196931,0.507463960895947,0.18334985055782038,50.0,50.0,2.1108219549193776e-12,141,46,528
