filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	gt_available	gt_topology_q	recon_topology_q	stem	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim
M2_013_y0x0.png	0.119813	0.208961	0.345687	0.218521	0.826883	0.996516	25.594251	0.991456	32.308426	1.000000	0.524791	1.775287	27.417983	0.730170	8769	22	39	84	63	2.050000	1.772727	680	697	1210.734631	5.802499	0.064115	0.004430	-10.078871	-0.002941	-0.003694	0.578746	5112.051010	0.446061	22	39	-17	84	63	2.050000	1.772727	30	2	680	697	533	1.737065	5.802499	1210.734631	0.064115	41315	4.711484	7.473600	256x256	65536	sparse	Otsu	964	30	True	0.479691	0.851590	M2_013_y0x0	76	8525	37.479075	0.934305	35.732216	0.995150	0.421254	0.700997	63	119	0.000000	83	8634	38.319881	0.947387	0.996241	36.794488	0.641066	0.402637	250	18.453187	0.458292	0.889717	14.382779	0.982226	0.300132	-3.423790	-0.176206	-10.061092	-0.204134	0.115382	35.673122	0.999457
M2_013_y0x256.png	0.082526	0.000000	0.000000	0.000000	0.000000	0.993894	20.400978	0.999966	25.964863	1.000000	0.113080	2.121394	23.407752	0.676300	805	0	0	0	0	0	0.000000	0	0	0	0	0						449.092388	0.003204	0	0	0	0	0	0	0.000000	2	0	0	0	0	0	0	0	0	39045	48.503106	81.411180	256x256	65536	sparse	Frangi	110	2	True	0.471300	0.999812	M2_013_y0x256												1	764	31.772749	0.823314	0.999900	20.945714	0.981867	0.003326														
M2_013_y0x512.png	0.130969	0.167181	0.286469	0.168218	0.964418	0.998924	31.702062	0.979565	33.396745	1.000000	0.977999	1.935548	30.028428	0.836111	9207	5	35	85	30	2.086705	7.000000	692	722	1331.626550	8.145930	0.055034	0.007230	-5.430408	-0.000785	-0.011055	0.334790	13121.798754	0.697550	5	35	-30	85	30	2.086705	7.000000	6	3	692	722	577	1.844358	8.145930	1331.626550	0.055034	34170	3.711307	7.118062	256x256	65536	sparse	Otsu	1294	6	True	0.513856	0.994593	M2_013_y0x512	87	8688	40.143670	0.952744	37.539475	0.990620	0.665210	0.655178	55	139	0.000000	90	8614	42.337902	0.970446	0.994932	40.108261	0.585217	0.660003	247	22.373482	0.442806	0.884228	19.220235	0.993780	0.593138	-4.142731	0.322821	-10.115241	-0.116632	0.123738	37.132470	0.999709
M2_013_y256x0.png	0.065445	0.000000	0.000000	0.000000	0.000000	0.994737	19.028074	0.999966	25.012719	1.000000	0.147856	2.680156	23.998792	0.732896	815	2	0	0	3	1.600000	0.000000	10	8	14.828427	2.634058	0.057509						560.483456	0.003790	2	0	2	0	3	1.600000	0.000000	2	0	10	8	7	1.853553	2.634058	14.828427	0.057509	35889	44.035583	80.412270	256x256	65536	sparse	Frangi	102	2	True	0.372493	0.998338	M2_013_y256x0												7	806	34.280023	0.876116	0.999971	24.463701	0.999909	0.003854														
M2_013_y256x256.png	0.142023	0.155838	0.269653	0.176811	0.567807	0.997409	26.465718	0.994171	32.104756	1.000000	0.542103	1.703601	28.447631	0.766016	6094	16	19	47	41	2.013699	1.187500	438	441	805.456456	7.068484	0.071155	-0.017927	-8.243362	-0.002037	-0.001860	0.467315	4746.612787	0.505321	16	19	-3	47	41	2.013699	1.187500	18	0	438	441	350	1.826432	7.068484	805.456456	0.071155	41502	6.810305	10.754184	256x256	65536	sparse	Otsu	648	18	True	0.489314	0.833595	M2_013_y256x256	67	6031	36.629821	0.908073	34.400869	0.996031	0.532685	0.712981	39	58	0.000000	79	6006	36.815765	0.917569	0.996339	34.600384	0.559988	0.543424	343	23.806111	0.670955	0.945259	18.661338	0.986377	0.410144	-2.296114	-0.170877	-8.182191	-0.142057	0.159949	34.709080	0.999446
M2_013_y256x512.png	0.154497	0.021995	0.043044	0.210000	0.023979	0.990885	18.890058	0.999897	29.305799	1.000000	0.192113	1.217200	23.761735	0.640446	1405	3	0	0	4	1.785714	0.000000	28	25	33.970563	4.333055	0.026026	-0.009179	-6.257757	-0.003930	0.000368	0.981231	815.341234	0.018064	3	0	3	0	4	1.785714	0.000000	3	0	28	25	24	1.358823	4.333055	33.970563	0.026026	41863	29.795730	46.644840	256x256	65536	dense	Frangi	228	3	True	0.674444	0.820934	M2_013_y256x512	4	1353	27.598119	0.651351	22.841797	0.999528	0.018769	0.810686	23	41	0.000000	15	1394	33.405204	0.826435	0.999794	27.523164	0.710616	0.020192								6.464002	-0.618573	-3.836384	-0.010905	0.163676	25.147815	0.994815
M2_013_y512x256.png	0.216038	0.039037	0.075142	0.546816	0.040343	0.985981	22.031114	0.999859	28.450426	1.000000	0.147856	1.667729	25.078334	0.607037	1281	3	0	0	6	1.777778	0.000000	27	24	48.032820	3.118760	0.039806	0.003598	-2.505395	-0.001872	0.000496	0.984033	728.560925	0.016396	3	0	3	0	6	1.777778	0.000000	6	0	27	24	21	2.001368	3.118760	48.032820	0.039806	40355	31.502732	51.160031	256x256	65536	sparse	Frangi	151	6	True	0.580583	0.968254	M2_013_y512x256	3	1281	25.821684	0.531227	21.537483	0.999363	0.015967	0.991729	8	23	0.000000	9	1268	32.941373	0.829989	0.999777	26.094944	0.824260	0.017023								6.912943	-0.843873	-0.743350	0.075810	0.212440	24.536509	0.987853
M2_013_y512x512.png	0.134569	0.187856	0.316294	0.188752	0.975347	0.998056	29.723056	0.980357	32.848406	1.000000	0.966531	1.767417	29.671873	0.835105	8962	6	37	96	32	2.085165	6.166667	728	759	1354.383910	7.859552	0.050172	0.011063	-6.457156	-0.001284	-0.009995	0.386671	9768.067360	0.654740	6	37	-31	96	32	2.085165	6.166667	7	1	728	759	600	1.784432	7.859552	1354.383910	0.050172	37140	4.144164	7.312653	256x256	65536	sparse	Otsu	1120	7	True	0.565625	0.999694	M2_013_y512x512	85	8505	39.395389	0.940289	36.843689	0.990352	0.613329	0.567162	46	71	0.000000	89	8882	41.300835	0.959688	0.994824	39.236684	0.482494	0.610265	245	22.716781	0.464791	0.892150	19.281932	0.999424	0.569694	-3.995283	0.399369	-9.723515	-0.105183	0.123506	36.180212	0.999341
M2_014_y0x0.png	0.187644	0.141460	0.247858	0.142439	0.953655	0.997919	30.283521	0.983752	34.607017	1.000000	0.922030	0.622834	30.501457	0.867780	16811	17	145	270	67	2.144063	8.529412	1777	1905	3136.356058	3.323629	0.065178	0.031009	-12.900747	-0.001937	-0.013434	0.581183	8679.345608	0.413788	17	145	-128	270	67	2.144063	8.529412	21	21	1777	1905	1440	1.646381	3.323629	3136.356058	0.065178	34935	2.078104	3.898400	256x256	65536	dense	Learned	3029	21	True	0.840728	0.523634	M2_014_y0x0	95	16616	44.406037	0.973832	43.699845	0.997186	0.418817	0.358566	163	266	0.000000	97	16246	47.632848	0.987881	0.998702	47.011099	0.344953	0.418658	243	25.928389	0.682753	0.907154	22.698736	0.824480	0.229469	-9.092828	0.563464	-13.904580	-0.106052	0.156635	43.184267	0.999856
M2_014_y0x256.png	0.079647	0.145986	0.254779	0.146608	0.971778	0.999444	34.079990	0.992441	34.093546	1.000000	0.665646	1.413516	32.598175	0.863698	4957	8	17	38	23	2.054054	2.125000	333	342	552.445743	7.087616	0.043911	0.010145	-4.257909	-0.000398	-0.004040	0.581999	5997.171640	0.462305	8	17	-9	38	23	2.054054	2.125000	9	1	333	342	272	1.615338	7.087616	552.445743	0.043911	33799	6.818439	13.220900	256x256	65536	sparse	Otsu	695	9	True	0.617107	0.872291	M2_014_y0x256	80	4939	41.617199	0.945192	38.587077	0.996481	0.418001	0.499537	54	47	0.000000	88	4750	41.918145	0.951582	0.996893	39.258075	0.473262	0.430045	404	32.990696	0.821707	0.976959	26.672796	0.798103	0.401762	-4.493531	0.166109	-9.019024	-0.081494	0.069503	38.337899	0.999842
M2_014_y256x0.png	0.255814	0.000000	0.000000	0.000000	0.000000	0.988109	22.650342	0.999972	24.297628	1.000000	0.113080	1.146704	26.973386	0.753547	558	1	0	0	2	1.500000	0.000000	4	3	5.414214	3.182164	0.108441						457.739592	0.004180	1	0	1	0	2	1.500000	0.000000	1	0	4	3	2	1.804738	3.182164	5.414214	0.108441	35692	63.964158	117.448029	256x256	65536	dense	Frangi	55	1	True	0.570938	0.654697	M2_014_y256x0																																	
M2_014_y256x256.png	0.126992	0.000728	0.001455	0.009756	0.000786	0.993523	19.717958	0.999971	27.318304	1.000000	0.295312	2.284126	22.465119	0.654746	1221	2	0	0	4	1.870968	0.000000	31	29	34.656854	2.894952	0.011218						745.082378	0.013937	2	0	2	0	4	1.870968	0.000000	2	0	31	29	27	1.195064	2.894952	34.656854	0.011218	40245	32.960688	53.674038	256x256	65536	dense	Frangi	196	2	True	0.393469	0.898734	M2_014_y256x256												8	1198	33.373614	0.845127	0.999965	25.961232	0.373375	0.014579														
M2_014_y256x512.png	0.155111	0.000000	0.000000	0.000000	0.000000	0.992938	19.758142	0.999973	27.516878	1.000000	0.113080	1.769136	22.175006	0.675862	564	1	0	0	2	1.500000	0.000000	4	3	5.414214	3.182164	0.108441						455.464602	0.005777	1	0	1	0	2	1.500000	0.000000	1	0	4	3	2	1.804738	3.182164	5.414214	0.108441	39525	70.079787	116.198582	256x256	65536	dense	Frangi	56	1	True	0.404913	0.716346	M2_014_y256x512																																	
M2_014_y512x256.png	0.197320	0.008311	0.016485	0.229282	0.008550	0.978958	23.772386	0.999921	28.096482	1.000000	0.197481	1.285902	24.369990	0.640450	1222	4	6	11	4	2.190476	1.500000	21	23	41.798990	2.698140	0.120916						643.828154	0.020628	4	6	-2	11	4	2.190476	1.500000	5	1	21	23	6	1.817347	2.698140	41.798990	0.120916	38908	31.839607	53.630115	256x256	65536	sparse	Frangi	143	5	True	0.557077	0.716346	M2_014_y512x256												6	1210	33.191166	0.857379	0.999900	26.777368	0.446256	0.025106														
M2_014_y512x512.png	0.127432	0.076035	0.141325	0.077566	0.793899	0.999085	32.802766	0.991988	36.728118	1.000000	0.599728	0.890011	36.368290	0.914683	9543	32	65	143	91	2.052885	2.031250	1248	1281	2106.599273	3.288251	0.066349	-0.001077	-9.023669	-0.000745	-0.005647	0.575003	2399.911404	0.402377	32	65	-33	143	91	2.052885	2.031250	41	4	1248	1281	1014	1.644496	3.288251	2106.599273	0.066349	30615	3.208111	6.867442	256x256	65536	dense	Learned	1458	41	True	0.353382	0.314514	M2_014_y512x512	92	9456	44.537094	0.975498	42.636335	0.997635	0.424997	0.302479	90	52	0.000000	94	9422	45.618907	0.981175	0.998418	44.258800	0.281014	0.415133	244	25.060861	0.674108	0.903339	19.852355	0.857013	0.211091	-5.908218	0.297249	-8.168804	-0.060815	0.128509	41.826434	0.999830
