stem,junction_def,L,w1_GRAPH,ks_GRAPH,w1_JPEG,ks_JPEG,w1_PRE,ks_PRE,w1_SEG,ks_SEG
7696,degree,2,9.749487859814975,0.3333333333333333,11.749071059308893,0.33333333333333337,10.341287869125413,0.3333333333333333,10.341287869125413,0.3333333333333333
7697,degree,2,9.35973315303433,0.46153846153846156,5.27363162723442,0.17004048582995945,9.619407669658456,0.46153846153846156,3.477750025484835,0.29487179487179493
7698,degree,2,7.895419721595438,0.4,2.698368358371712,0.26909090909090905,8.437202346871139,0.4,5.780939751330898,0.36
7699,degree,2,7.922828227327077,0.375,7.798832970144347,0.32499999999999996,8.39450155964731,0.375,9.26512806053457,0.32499999999999996
7700,degree,2,5.327639283494213,0.24444444444444446,12.968457238943769,0.4206349206349207,4.715082567782001,0.24444444444444446,12.350110506837172,0.35714285714285715
7702,degree,2,1.7583619757078823,0.4,1.8343145750507577,0.4,1.7999999999999985,0.4,1.7999999999999972,0.4
7703,degree,2,11.165761016893788,0.5,3.445257331699095,0.2222222222222222,11.993537751605329,0.5,4.792335854398791,0.25
7704,degree,2,21.92425220704177,0.4642857142857143,15.74973393729157,0.4305555555555556,22.928882560918794,0.5267857142857143,7.989341051870744,0.2897727272727273
7705,degree,2,2.579403415840072,0.25,6.395889244992064,0.275,2.2803300858899096,0.25,2.1553300858899087,0.25
7706,degree,2,11.526801994862724,0.3571428571428571,3.808122035641767,0.3571428571428571,12.189196806314573,0.4107142857142857,12.68919680631457,0.4821428571428571
7707,degree,2,4.3476287506891,0.4,23.65321278576439,0.8235294117647058,4.111269837220811,0.4,11.968268390538427,0.5714285714285714
7708,degree,2,2.846907148174777,0.39999999999999997,1.3597979746446638,0.20000000000000007,2.945584412271564,0.39999999999999997,13.453489992175477,0.5142857142857142
7709,degree,2,2.13758982612246,0.20000000000000007,1.365685424949239,0.20000000000000007,1.8970562748477116,0.20000000000000007,1.8970562748477129,0.20000000000000007
7710,degree,2,18.989371747464915,0.6875,4.706828098979214,0.2625,19.630036961152957,0.6875,6.9581736957082745,0.3625
7711,degree,2,9.22386142521007,0.5294117647058824,9.567665574228736,0.5294117647058824,9.610923516614656,0.5294117647058824,10.19765978722678,0.5294117647058824
7712,degree,2,3.4247347378982154,0.18181818181818182,1.4857405227734202,0.18181818181818182,3.5189871280501697,0.18181818181818182,3.588802160832306,0.18181818181818182
7713,degree,2,9.278280663521787,0.46153846153846156,3.9072881637148997,0.2097902097902098,9.81991549410447,0.46153846153846156,3.831685484120194,0.27972027972027974
7714,degree,2,13.816350617738369,0.4,7.996939721758096,0.4,14.019595949289334,0.4,6.064823227814081,0.4
7715,degree,2,13.299585428361643,0.3116883116883117,2.2856486930664497,0.18181818181818182,14.101115974189954,0.35064935064935066,1.8934933749769258,0.09090909090909094
7716,degree,2,2.3630397956531994,0.2222222222222222,6.791557821336064,0.2820512820512821,1.8809924653482777,0.11111111111111116,1.6015792847081207,0.11111111111111116
7717,degree,2,1.9596791123348647,0.42857142857142855,1.5815811159807802,0.1428571428571429,1.1284992766588096,0.2857142857142857,0.8427849909445218,0.1428571428571429
7718,degree,2,1.9024161840699456,0.11111111111111116,1.019063652805979,0.2222222222222222,1.5443883262901847,0.11111111111111116,1.3221661040679629,0.11111111111111116
7719,degree,2,27.267187652111435,0.5555555555555556,9.197851054816107,0.2745098039215686,28.07507413588725,0.5555555555555556,6.593716068168352,0.2857142857142857
7720,degree,2,14.380759754569928,0.41666666666666663,9.924908601503798,0.46666666666666673,15.024705379690134,0.41666666666666663,7.565863991822649,0.375
7721,degree,2,25.996179249710217,0.625,9.271744220862402,0.2916666666666667,26.90101910021412,0.625,9.185957783235498,0.2916666666666667
7722,degree,2,10.237152191872026,0.5178571428571429,3.963319415718667,0.261904761904762,10.773188510666692,0.5178571428571429,3.0422323708846983,0.32967032967032966
7723,degree,2,12.555918264587014,0.375,7.686718369463828,0.4916666666666667,12.821067811865472,0.375,4.349873734152916,0.375
7724,degree,2,6.738207772963617,0.4666666666666667,4.238333708924658,0.24035087719298254,7.060982438175759,0.4666666666666667,6.211596917793287,0.35555555555555557
7725,degree,2,2.049120865042533,0.2857142857142857,20.207843122964196,0.6218487394957983,1.7489486695884713,0.2857142857142857,1.3203772410170416,0.2857142857142857
7726,degree,2,3.1544411536983987,0.1692307692307693,3.6028072584570796,0.34615384615384615,3.625771449426494,0.1692307692307693,3.2672751476261057,0.15384615384615385
7727,degree,2,7.508177865460389,0.36363636363636365,5.340346409159711,0.24025974025974028,7.881900164345865,0.36363636363636365,3.7743519595471855,0.18181818181818177
7728,degree,2,6.724278006547416,0.3509316770186335,1.492871827025815,0.13043478260869565,7.398992357279412,0.36645962732919257,3.342417093824178,0.20772946859903385
7729,degree,2,11.386781142763237,0.5238095238095237,4.576625495490566,0.3284313725490196,11.954182980234767,0.5238095238095237,8.679019356511736,0.41666666666666663
7730,degree,2,3.7749224828659664,0.2121212121212121,4.159703928956194,0.2167832167832168,4.106599904982564,0.2121212121212121,2.338902005577986,0.18181818181818182
7731,degree,2,11.61154340925189,0.42105263157894735,2.9418521797816712,0.3095975232198142,12.076873995052983,0.42105263157894735,12.85465177283076,0.42105263157894735
7732,degree,2,10.143173754808473,0.47058823529411764,3.195823144858723,0.14411764705882346,10.757027409795455,0.47058823529411764,8.947225496279076,0.4385026737967914
7733,degree,2,3.94819478125945,0.23484848484848486,7.689197757426188,0.36046511627906974,3.8368025466952176,0.23484848484848486,4.308207067486249,0.30000000000000004
7734,degree,2,15.926236226147134,0.4117647058823529,11.412417442756778,0.30000000000000004,16.278712533147008,0.4117647058823529,2.9300095764652525,0.16806722689075626
7735,degree,2,5.78019546786067,0.3333333333333333,3.998037516565141,0.3333333333333333,6.133641607735345,0.3333333333333333,5.275788653013793,0.2564102564102564
7736,degree,2,3.9793376317646736,0.5,1.7248737341529132,0.25,3.51776695296636,0.5,3.517766952966367,0.5
7737,degree,2,17.367189223497256,0.5,11.678269292437335,0.4375,18.292388155425122,0.5,7.35318387753535,0.35714285714285715
7738,degree,2,6.647453295977353,0.2272727272727273,6.952489174728475,0.3701298701298702,6.980722809445663,0.2272727272727273,3.1588652736951977,0.17272727272727273
7739,degree,2,2.2658981682639125,0.175,3.2841673212127938,0.23636363636363633,2.320495128834868,0.175,1.8563848794370403,0.1388888888888889
