    junction_def   L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
93        degree   2       n_branches    SEG  715  0.574233  22.222222 -20.469361           NaN         NaN        NaN
96        degree   2      n_junctions  GRAPH  715  0.332622  60.000000 -60.382916  1.029174e-06       174.0      384.0
97        degree   2      n_junctions   JPEG  715  0.021892  40.000000  37.002946  1.029174e-06       174.0      384.0
98        degree   2      n_junctions    PRE  715  0.332622  60.000000 -60.382916           NaN         NaN        NaN
99        degree   2      n_junctions    SEG  715  0.598631  40.000000 -31.369661           NaN         NaN        NaN
102       degree   2       cycle_rank  GRAPH  715  0.507464  50.000000 -44.757033  2.110822e-12       141.0       46.0
103       degree   2       cycle_rank   JPEG  715  0.183350  50.000000  20.716113  2.110822e-12       141.0       46.0
104       degree   2       cycle_rank    PRE  715  0.507464  50.000000 -44.757033           NaN         NaN        NaN
105       degree   2       cycle_rank    SEG  715  0.514397  50.000000 -36.572890           NaN         NaN        NaN
108       degree   5     n_components  GRAPH  715  0.766258   0.000000  -2.202233  7.349173e-41       251.0       23.0
109       degree   5     n_components   JPEG  715 -0.009225   0.000000  68.982630  7.349173e-41       251.0       23.0
110       degree   5     n_components    PRE  715  0.766258   0.000000  -2.202233           NaN         NaN        NaN
111       degree   5     n_components    SEG  715  0.811315   0.000000  -1.364764           NaN         NaN        NaN
114       degree   5  total_length_px  GRAPH  715  0.792533   7.013694  -8.432792  9.486233e-01       300.0      415.0
115       degree   5  total_length_px   JPEG  715 -0.025112   4.788435  24.164307  9.486233e-01       300.0      415.0
116       degree   5  total_length_px    PRE  715  0.823529   5.175676  -6.583178           NaN         NaN        NaN
117       degree   5  total_length_px    SEG  715  0.868439   3.040063  -3.878745           NaN         NaN        NaN
120       degree   5    mean_width_px  GRAPH  715  0.881638   2.570981   2.638054  3.153129e-40       505.0      204.0
121       degree   5    mean_width_px   JPEG  709  0.809259   4.640156   4.337726  3.153129e-40       505.0      204.0
122       degree   5    mean_width_px    PRE  715  0.874201   2.828487   3.180388           NaN         NaN        NaN
123       degree   5    mean_width_px    SEG  715  0.851308   3.695655   4.293943           NaN         NaN        NaN
126       degree   5       n_branches  GRAPH  715  0.655686  15.384615 -17.469503  4.613480e-16       329.0      197.0
127       degree   5       n_branches   JPEG  715 -0.012964  22.222222  58.930247  4.613480e-16       329.0      197.0
128       degree   5       n_branches    PRE  715  0.657404  15.384615 -17.375665           NaN         NaN        NaN
129       degree   5       n_branches    SEG  715  0.757089  12.500000 -10.040663           NaN         NaN        NaN
132       degree   5      n_junctions  GRAPH  715  0.602194  42.857143 -38.434983  2.201146e-04       241.0      202.0
133       degree   5      n_junctions   JPEG  715  0.060952  33.333333  45.454545  2.201146e-04       241.0      202.0
134       degree   5      n_junctions    PRE  715  0.603821  41.428571 -38.262371           NaN         NaN        NaN
135       degree   5      n_junctions    SEG  715  0.738577  33.333333 -19.792865           NaN         NaN        NaN
138       degree   5       cycle_rank  GRAPH  715  0.507464  50.000000 -44.757033  2.110822e-12       141.0       46.0
