L,arm,branch_frac_mean,branch_frac_pooled,length_frac_mean
0,REF,0.0,0.0,0.0
0,GRAPH,0.0,0.0,0.0
0,JPEG,0.0,0.0,0.0
0,PRE,0.0,0.0,0.0
0,SEG,0.0,0.0,0.0
2,REF,0.05685428591848984,0.06407154129405576,0.004028188735433717
2,GRAPH,0.0,0.0,0.0
2,JPEG,0.017728827165164166,0.02038314176245211,0.0013163989281889349
2,PRE,0.0,0.0,0.0
2,SEG,0.011740349692188875,0.013517441860465116,0.00074305652805345
5,REF,0.24243869815846136,0.2581799053129932,0.03421303955527214
5,GRAPH,0.0009395460794062192,0.0012491077801570307,0.0001464961082759981
5,JPEG,0.1250488781593294,0.14628352490421456,0.021598682078046695
5,PRE,0.0005494156193456894,0.0007137758743754461,6.739691695959258e-05
5,SEG,0.09588182878298303,0.10755813953488372,0.01288386564732317
10,REF,0.3097653469688186,0.3291951604418727,0.06046353327590673
10,GRAPH,0.07301436360157051,0.08511777301927195,0.020974789086290177
10,JPEG,0.22944904001202004,0.26620689655172414,0.0636335209659725
10,PRE,0.06830109707012216,0.07976445396145611,0.019751436252655886
10,SEG,0.17392806428640295,0.19316860465116278,0.0381441333185123
