stem,segmenter,n_misaligned,payload_bytes,jpeg_bytes,jpeg_quality,raw_bytes,png_bytes,arm,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,time_s
7255,Learned,0,2076,2037.0,25.0,65536,45536,PRE,4,217.37972567696687,5.653814725900139,9,3,1,10,9,0,
7255,Learned,0,2076,2037.0,25.0,65536,45536,GRAPH_TAGGED,4,213.0987973129091,5.633559602402214,9,3,1,10,9,0,
7255,Learned,0,2076,2037.0,25.0,65536,45536,SEG,4,224.37972567696687,5.765346934848666,9,3,1,3,9,0,
7256,Learned,0,2093,2048.0,28.0,65536,44562,REF,4,270.79393923934003,5.385146903494294,18,7,0,7,15,0,0.0045749100390821695
7256,Learned,0,2093,2048.0,28.0,65536,44562,GRAPH,4,231.61976641846132,5.690770023250249,9,2,0,7,11,0,0.004910632967948914
7256,Learned,0,2093,2048.0,28.0,65536,44562,JPEG,4,273.7228714274745,6.349227570101924,16,6,0,6,14,0,0.2733089890098199
7256,Learned,0,2093,2048.0,28.0,65536,44562,PRE,4,237.23759005323595,5.701116010537305,9,2,0,7,11,0,
7256,Learned,0,2093,2048.0,28.0,65536,44562,GRAPH_TAGGED,4,231.61976641846132,5.690770023250249,9,2,0,7,11,0,
7256,Learned,0,2093,2048.0,28.0,65536,44562,SEG,4,242.23759005323592,5.804611462870575,10,3,0,3,11,0,
7257,Learned,0,2278,2124.0,25.0,65536,45763,REF,4,292.45079348883235,4.9510938062778616,13,5,2,6,10,0,0.004755971021950245
7257,Learned,0,2278,2124.0,25.0,65536,45763,GRAPH,4,258.0192397548171,4.87693709961347,7,3,1,10,7,0,0.005372853949666023
7257,Learned,0,2278,2124.0,25.0,65536,45763,JPEG,4,291.2081528017131,4.781304515815117,13,5,1,5,11,0,0.279386937036179
7257,Learned,0,2278,2124.0,25.0,65536,45763,PRE,4,264.03657992645924,4.900790791304171,7,3,1,10,7,0,
7257,Learned,0,2278,2124.0,25.0,65536,45763,GRAPH_TAGGED,4,258.0192397548171,4.87693709961347,7,3,1,10,7,0,
7257,Learned,0,2278,2124.0,25.0,65536,45763,SEG,4,277.2792206135785,4.941363232650226,11,4,2,5,9,0,
7258,Learned,0,2451,2405.0,26.0,65536,46114,REF,5,307.32085117392114,5.067156680699653,15,5,0,5,15,0,0.004610021016560495
7258,Learned,0,2451,2405.0,26.0,65536,46114,GRAPH,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0,0.005367763922549784
7258,Learned,0,2451,2405.0,26.0,65536,46114,JPEG,5,303.90663761154804,4.998621219160202,11,3,0,3,13,0,0.26691006892360747
