stem,segmenter,ref_s,graph_s,jpeg_s,ref_skeleton_skan_s,ref_descriptors_s,graph_decode_graph_s,graph_descriptors_s,jpeg_decode_s,jpeg_segment_s,jpeg_skeleton_skan_s,jpeg_descriptors_s
7249,Frangi,0.005111722974106669,0.0028494560392573476,0.16081950801890343,0.0036646859953179955,0.0014306799275800586,0.0023507140576839447,0.0004928070120513439,0.0001317029818892479,0.15769040503073484,0.0028828070499002934,9.811494965106249e-05
7250,Learned,0.004790877923369408,0.005316597991622984,0.28905223205219954,0.0035602180287241936,0.001218594959937036,0.0044288040371611714,0.0008855280466377735,0.0001764390617609024,0.2838239090051502,0.003770723007619381,0.0012595360167324543
7251,Learned,0.004602768924087286,0.005219883052632213,0.2915285500930622,0.0034226799616590142,0.0011651969980448484,0.0043381990399211645,0.0008793099550530314,0.00146020099055022,0.28518359106965363,0.003769148956052959,0.0010929179843515158
7252,Learned,0.003844651044346392,0.003787340014241636,0.27249023399781436,0.003110478981398046,0.0007216479862108827,0.003183303982950747,0.0005985290044918656,0.00014949706383049488,0.2636797489831224,0.004878879990428686,0.003761500003747642
7253,Learned,0.003999926964752376,0.004225627984851599,0.2628101079026237,0.003213113988749683,0.0007749759824946523,0.003542852937243879,0.0006810390623286366,0.00014903396368026733,0.25831355701666325,0.0034802189329639077,0.0008480360265821218
7254,Learned,0.004382477956824005,0.005654680076986551,0.28083861409686506,0.003353885025717318,0.0010153980692848563,0.004807863966561854,0.0008444800041615963,0.00017344101797789335,0.2753208930371329,0.004133037989959121,0.0011627860367298126
7255,Learned,0.004325169953517616,0.004415544914081693,0.2651614770293236,0.003386275959201157,0.0009263120591640472,0.003701069043017924,0.0007125489646568894,0.0001714379759505391,0.26056434703059494,0.0034766369499266148,0.0009297170909121633
7256,Learned,0.0045749100390821695,0.004910632967948914,0.2733089890098199,0.0034952309215441346,0.0010677470127120614,0.004135556984692812,0.0007732619997113943,0.00015873601660132408,0.26822487101890147,0.0037992800353094935,0.0011047680163756013
7257,Learned,0.004755971021950245,0.005372853949666023,0.279386937036179,0.0036316229961812496,0.001112253055907786,0.00448638410307467,0.0008846089476719499,0.0001724890898913145,0.27449557092040777,0.003583939978852868,0.0011135600507259369
7258,Learned,0.004610021016560495,0.005367763922549784,0.26691006892360747,0.0034240089589729905,0.001172190997749567,0.004483673954382539,0.0008822960080578923,0.0001837139716371894,0.2619897769764066,0.003569736029021442,0.001145969028584659
7259,Learned,0.003874853951856494,0.0039488140027970076,0.27822288405150175,0.003164425026625395,0.0006945210043340921,0.0033347420394420624,0.0006107030203565955,0.00015652598813176155,0.2651036870665848,0.006454361020587385,0.006487795966677368
7260,Learned,0.004440795048139989,0.004967772983945906,0.28036698000505567,0.0034275619545951486,0.0010002920171245933,0.00417329790070653,0.0007923500379547477,0.00017829204443842173,0.2755178490187973,0.00364506000187248,0.001005352009087801
7261,Learned,0.0043684260454028845,0.005252097966149449,0.2696893810061738,0.0033667279640212655,0.0009891990339383483,0.004384347004815936,0.0008657679427415133,0.0001719859428703785,0.26461062498856336,0.0037057469598948956,0.00118022202514112
7262,Learned,0.004491000901907682,0.004612109041772783,0.27013943705242127,0.0034967900719493628,0.0009805309819057584,0.0038447370752692223,0.0007654669461771846,0.00016779103316366673,0.2655012540053576,0.0035357280867174268,0.0009149929974228144
7263,Learned,0.0041755459969863296,0.004665114916861057,0.2848133340012282,0.0032524189446121454,0.0009109519887715578,0.003925659926608205,0.0007374800043180585,0.00017365394160151482,0.28030310897156596,0.0034412320237606764,0.0008746189996600151
7264,Learned,0.0040613970486447215,0.004169851075857878,0.2701361950021237,0.0032160039991140366,0.0008325019152835011,0.0035108349984511733,0.0006570530822500587,0.00014868192374706268,0.265579828992486,0.0036093139788135886,0.000778026063926518
7265,Learned,0.0042015110375359654,0.004932385985739529,0.2702723299153149,0.003340398077853024,0.0008489330066367984,0.004166436032392085,0.000764076947234571,0.0001622089184820652,0.2653742920374498,0.0035496599739417434,0.0011663250625133514
7266,Learned,0.004345515975728631,0.004753060056827962,0.27144746005069464,0.003379281028173864,0.0009548019152134657,0.004009169060736895,0.0007416970329359174,0.002416658098809421,0.26470397296361625,0.0034147860715165734,0.0008921049302443862
7267,Learned,0.004754712921567261,0.005106013035401702,0.2662282030796632,0.003534578951075673,0.0012052101083099842,0.004227191093377769,0.0008770279819145799,0.00016736506950110197,0.26102101895958185,0.0037278480594977736,0.001291909022256732
7268,Learned,0.005226572975516319,0.005461196065880358,0.27481141500175,0.0038442849181592464,0.0013697680551558733,0.004535780055448413,0.0009233170421794057,0.00018288695719093084,0.2689630870008841,0.00429809105116874,0.0013485519448295236
7269,Learned,0.004723797086626291,0.005306383012793958,0.2672075090231374,0.0035399679327383637,0.0011705229990184307,0.004455296089872718,0.0008492548950016499,0.0001679370179772377,0.2619536630809307,0.0038794439751654863,0.0011839939979836345
7270,Learned,0.004531719954684377,0.0051642959006130695,0.27170402801129967,0.0034738240065053105,0.0010445780353620648,0.004313955898396671,0.0008484480204060674,0.003697723033837974,0.26340213895309716,0.003549449029378593,0.0010355539852753282
7272,Learned,0.004724978003650904,0.0054680900648236275,0.27310028998181224,0.0035794840659946203,0.001131076947785914,0.004583382047712803,0.0008822969393804669,0.0001866120146587491,0.2678248769370839,0.0038660760037600994,0.0012016480322927237
7273,Learned,0.0043546679662540555,0.0033758729696273804,0.27269659098237753,0.003522841027006507,0.0008199000731110573,0.0028398819267749786,0.0005340900970622897,0.00014294101856648922,0.265048052999191,0.004779315087944269,0.002701885998249054
7274,Learned,0.003873219946399331,0.0037273979978635907,0.28732567105907947,0.0032200149726122618,0.000637951074168086,0.00316588394343853,0.00055884406901896,0.0001397840678691864,0.2808667609933764,0.004314598045311868,0.0019839860033243895
7275,Learned,0.004539862973615527,0.00509034504648298,0.27367566293105483,0.0035079149529337883,0.0010186389554291964,0.004270367091521621,0.0008179759606719017,0.0001732580130919814,0.26895344199147075,0.0035060939844697714,0.0010222169803455472
7276,Learned,0.004388630040921271,0.004669886082410812,0.28006176301278174,0.0034739020047709346,0.0009021289879456162,0.003927884972654283,0.0007400570902973413,0.00017531507182866335,0.27520820999052376,0.003685120027512312,0.0009725819109007716
7277,Learned,0.004657613928429782,0.005334798013791442,0.270531938993372,0.003487706067971885,0.0011555049568414688,0.0044384789653122425,0.0008934260113164783,0.00016976194456219673,0.2654806050704792,0.003618418937548995,0.0012414850061759353
7278,Learned,0.004502800991758704,0.0049064799677580595,0.2674208100652322,0.003529001958668232,0.0009615200106054544,0.004127854947000742,0.0007768750656396151,0.00016766809858381748,0.26255505497101694,0.003684025024995208,0.0009935109410434961
7279,Learned,0.0038036610931158066,0.003073852974921465,0.2636096370406449,0.0032230569049715996,0.0005689280806109309,0.002589534968137741,0.0004825120558962226,0.00012638000771403313,0.25712576298974454,0.004308081930503249,0.0020291940309107304
7280,Learned,0.00492380210198462,0.0051078940741717815,0.26971413497813046,0.0037046740762889385,0.0012041489826515317,0.004272348014637828,0.0008336009923368692,0.0001769909868016839,0.26443521305918694,0.003974202903918922,0.0011081320699304342
7281,Learned,0.004117202013731003,0.004947151057422161,0.26942720997612923,0.003206482040695846,0.0008974910015240312,0.004153896006755531,0.0007914480520412326,0.00017247290816158056,0.26475322304759175,0.0035210709320381284,0.0009590350091457367
7283,Learned,0.004677572986111045,0.005413328995928168,0.2759816990001127,0.003499459009617567,0.0011640989687293768,0.0045262849889695644,0.000884587992914021,0.0001761430175974965,0.270863652927801,0.003749383962713182,0.0011702959891408682
7284,Learned,0.003960547037422657,0.0041425611125305295,0.27601660299114883,0.00319047796074301,0.0007584210252389312,0.0034984189551323652,0.0006423749728128314,0.00014990195631980896,0.2715649160090834,0.0034845450427383184,0.0007895650342106819
7285,Learned,0.0037744060391560197,0.0035146690206602216,0.26482551300432533,0.0031035790452733636,0.0006582509959116578,0.0029630420031026006,0.0005496809026226401,0.00014166999608278275,0.2593549609882757,0.0038779469905421138,0.001429188996553421
7286,Learned,0.004118048003874719,0.004510577069595456,0.27184242103248835,0.0032896490301936865,0.0008156260009855032,0.0038093769690021873,0.0006994670256972313,0.00015507300850003958,0.2673777430318296,0.0034890729002654552,0.0008000601083040237
7287,Learned,0.004262409056536853,0.005000327015295625,0.2744465629803017,0.0033578439615666866,0.0008929240284487605,0.004198475042358041,0.0007998479995876551,0.00016871897969394922,0.2697627149755135,0.003570706001482904,0.0009247189154848456
7288,Learned,0.004308022907935083,0.004867351031862199,0.26423671504016966,0.0033492520451545715,0.0009459349093958735,0.004079687059856951,0.0007856319425627589,0.0001594859641045332,0.25891634705476463,0.003906000987626612,0.0012332770274952054
7289,Learned,0.0040537010645493865,0.004524062969721854,0.26522463909350336,0.003115008003078401,0.0009264040272682905,0.0037923749769106507,0.000729928957298398,0.00016077805776149035,0.2607399639673531,0.00343532906845212,0.0008674600394442677
7290,Learned,0.004531480022706091,0.005052751977927983,0.27736572292633355,0.0034671479370445013,0.0010513910092413425,0.004252873011864722,0.0007978810463100672,0.0001699170097708702,0.27236268494743854,0.0037350800121203065,0.0010773349786177278
