stem,ref_width,dt_none,profile_none,dt_dilate1,profile_dilate1,dt_dilate2,profile_dilate2,dt_erode1,profile_erode1
7250,5.584389645054271,5.943058738191544,9.047077223672389,7.468273560509268,7.961044307419656,9.834247185940994,8.700307845914812,4.248439968566559,8.540670562018306
7252,6.042279523837289,6.22840226227524,6.1868923551839154,8.077702413052375,6.565245817366359,10.075699529627515,6.174221349750001,4.5676902291962636,6.128277055835702
7254,5.271655834604259,5.2950448490673425,5.815227382310752,7.073545969714955,5.203355342543205,8.934395779623454,5.480231600685599,3.6175679497813604,5.765063607768781
7258,5.110189798590585,4.962927328238498,5.47223234701269,6.659758727295102,5.338598096236654,8.406017509631289,6.250378550603562,3.295395241119135,5.540541348327153
7262,6.860401984436519,6.624683264137187,6.3805659102528365,8.44051479415819,7.953443961393885,10.143809895174895,7.300995447906176,5.058257299881427,6.876807804119637
7266,6.424409346461063,6.442146804995742,7.023084631280768,8.161754872450455,7.086231493908064,9.870619104842039,7.19143089755042,4.803668411190503,7.259063377190048
7269,4.76051117065625,4.896061484181142,5.722313077943367,6.5210734820515395,5.71900822242569,8.702268798101262,6.943753080074012,3.293066498241966,5.311920728794406
7273,7.581310009280948,9.024128902629807,9.885229759947173,10.738363704451567,7.939491007885362,12.676418699163978,10.539849331873697,7.236299983703594,9.036985034626863
7283,6.294544021865964,6.390911355061098,8.0587075348973,8.014194255926569,7.320770435426475,9.914112104561323,6.850511192452022,4.691092914658776,7.06866228460542
7285,6.565354675963046,6.9162444720183345,6.947285597983111,8.652592806312766,7.075348747115043,10.422999404221182,7.15149749243254,5.241094604811252,7.070808085279662
7287,5.063250295294775,5.010637903458917,6.0671135581612115,6.8478293653615845,5.967260487430557,8.650817177641075,6.104208816023934,3.2855344306172176,5.804923551309977
7291,5.093539558505114,5.1017975919687855,6.0531977948501146,6.984064525817932,6.84435622333674,8.363294462745536,6.921711561467277,3.4929540553921394,6.191661551548525
7294,6.4190707947647825,6.603258060952331,6.861410658737308,8.285036831137678,6.983856268862272,10.041198134968127,6.8284943239493545,4.904985149598225,6.604685063764933
7298,5.508926617595068,5.916135344734739,6.158155218112387,7.785442313792525,5.215281178653804,9.522723764001588,6.87878524531644,4.303917546579026,6.131788239690123
7300,5.702033076705433,5.840691035940825,5.1571345565875895,7.55907991767527,5.162885725413511,9.033060128151694,5.48689990127226,4.222283642566126,5.237877175078198
7306,6.824584061240177,7.255440139321762,8.876792895609444,9.02108636830207,11.313230285072597,11.615752771008113,9.728773588040314,5.574385739544786,8.57317096500321
7308,6.684857342866573,6.8113885334083575,7.789477262431227,8.558647709579905,8.949969925020731,10.548002615639655,8.072446581197722,5.184284172342887,8.475779038363864
