
== all L=0
          arm  bytes_mean  n_branches_bias_pct  n_branches_ccc  n_junctions_bias_pct  n_junctions_ccc  total_length_px_bias_pct  mean_width_px_bias_pct  cycle_rank_bias_pct  junc_f1_3  end_f1_3
      GRAPH7p     185.362              -10.277           0.754               -18.315            0.745                    -3.518                  21.653              -29.032      0.693     0.787
         JPEG    2168.590               28.674           0.186                14.286            0.614                     9.355                   4.588                6.452      0.584     0.623
      JPEGq10    1261.667              533.196           0.008               758.974            0.010                   242.790                  18.899              603.226      0.206     0.242
      JPEGq20    1619.295              432.477          -0.005               395.971            0.010                   202.804                   6.029              258.065      0.383     0.353
      JPEGq30    2602.724                2.261           0.600                -0.733            0.670                     0.724                   4.610               -6.452      0.605     0.691
       JPEGq5    1180.343              609.353           0.000              1184.615            0.002                   278.882                  25.156             1788.710      0.201     0.232
      JPEGq50    4817.381               -7.297           0.810               -13.553            0.794                    -2.970                   3.111              -16.129      0.632     0.757
      JPEGq75    9272.819               -9.455           0.780               -18.681            0.748                    -3.101                   4.038              -29.032      0.672     0.789
         PRE7         NaN              -10.277           0.754               -18.315            0.745                    -3.566                   3.886              -29.032      0.693     0.787
          SEG     369.771              -10.277           0.754               -18.315            0.745                    -3.602                   3.947              -29.032      0.693     0.787
