subset,L,arm,n,bytes_mean,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_wins_vs_jpeg,n_components_p_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_wins_vs_jpeg,total_length_px_p_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_wins_vs_jpeg,mean_width_px_p_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_wins_vs_jpeg,n_branches_p_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_wins_vs_jpeg,n_junctions_p_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_wins_vs_jpeg,cycle_rank_p_vs_jpeg,junc_f1_3,junc_p3,junc_r3,end_f1_3,end_p3,end_r3,junc_f1_5,junc_p5,junc_r5,end_f1_5,end_p5,end_r5
all,0,GRAPH6,715,2216.0013986013987,-2.2022332506203477,0.7662579875867552,0.0,251/23,7.349172650712147e-41,-11.581629640341074,0.7238903807438488,10.01719858095854,216/499,4.994508903062753e-09,3.2214091431614205,0.868172156323048,2.90160282295009,517/192,8.178811576597669e-43,-44.34508153603367,0.24882754933962475,42.857142857142854,179/450,2.8706968023638835e-09,-66.51104886399004,0.2617652924513294,66.66666666666666,142/437,1.5124187146102064e-16,-44.75703324808184,0.507463960895947,50.0,141/46,2.1108219549193776e-12,0.41136776917060097,0.7126040626040626,0.31244772960939143,0.7401388826808339,0.8361030694247478,0.6715801169021092,0.4320830586657948,0.751008991008991,0.32745174520164233,0.8516158103117581,0.9639212264037439,0.7717585431580647
all,0,GRAPH7,715,172.34545454545454,-1.3647642679900747,0.8113150767378877,0.0,254/16,3.924559371727906e-42,-5.933105523401466,0.8425052980818143,4.911536750066859,357/358,1.3900624933967775e-05,4.909382091477877,0.8315310964687994,4.048042972742158,439/270,1.2771467513921084e-13,-27.617043661230934,0.47212897563076006,28.57142857142857,268/295,0.01848276726034068,-39.49579831932773,0.5131173985760817,50.0,237/258,0.11493639976147012,-36.57289002557545,0.514396643774902,50.0,144/54,1.0582243391887584e-10,0.5154960147539078,0.6908442567533476,0.4482292089737585,0.7584713961184795,0.8156466290510651,0.7155023116099347,0.5433066993297737,0.7319320578411488,0.47153313755123705,0.8676216328194489,0.93382666799043,0.8181032510456724
all,0,GRAPH7_eps0.5,715,195.30769230769232,-1.3647642679900747,0.8113150767378877,0.0,254/16,3.924559371727906e-42,-5.933105523401464,0.8425052980818143,4.911536750066859,357/358,1.3900624370492802e-05,4.845175457272514,0.8336814330249063,4.033467290778095,445/264,4.945944579274669e-15,-27.617043661230934,0.47212897563076006,28.57142857142857,268/295,0.01848276726034068,-39.49579831932773,0.5131173985760817,50.0,237/258,0.11493639976147012,-36.57289002557545,0.514396643774902,50.0,144/54,1.0582243391887584e-10,0.5154960147539078,0.6908442567533476,0.4482292089737585,0.7584713961184795,0.8156466290510651,0.7155023116099347,0.5433066993297737,0.7319320578411488,0.47153313755123705,0.8676216328194489,0.93382666799043,0.8181032510456724
all,0,GRAPH7_eps1.5,715,161.13986013986013,-1.3647642679900747,0.8113150767378877,0.0,254/16,3.924559371727906e-42,-5.933105523401466,0.8425052980818143,4.911536750066859,357/358,1.3900624933967775e-05,4.943062064097168,0.830862432262311,4.207020487894926,439/270,4.588757661933236e-13,-27.617043661230934,0.47212897563076006,28.57142857142857,268/295,0.01848276726034068,-39.49579831932773,0.5131173985760817,50.0,237/258,0.11493639976147012,-36.57289002557545,0.514396643774902,50.0,144/54,1.0582243391887584e-10,0.5154960147539078,0.6908442567533476,0.4482292089737585,0.7584713961184795,0.8156466290510651,0.7155023116099347,0.5433066993297737,0.7319320578411488,0.47153313755123705,0.8676216328194489,0.93382666799043,0.8181032510456724
all,0,GRAPH7_eps3.0,715,155.07552447552447,-1.3647642679900747,0.8113150767378877,0.0,254/16,3.924559371727906e-42,-5.933105523401466,0.8425052980818143,4.911536750066859,357/358,1.3900624933967775e-05,4.919433191823644,0.829992357596515,4.122820974034421,440/269,8.734966652708439e-14,-27.617043661230934,0.47212897563076006,28.57142857142857,268/295,0.01848276726034068,-39.49579831932773,0.5131173985760817,50.0,237/258,0.11493639976147012,-36.57289002557545,0.514396643774902,50.0,144/54,1.0582243391887584e-10,0.5154960147539078,0.6908442567533476,0.4482292089737585,0.7584713961184795,0.8156466290510651,0.7155023116099347,0.5433066993297737,0.7319320578411488,0.47153313755123705,0.8676216328194489,0.93382666799043,0.8181032510456724
all,0,GRAPH7p,715,180.1076923076923,-1.3647642679900747,0.8113150767378877,0.0,254/16,3.924559371727906e-42,-5.933105523401466,0.8425052980818143,4.911536750066859,357/358,1.3900624933967775e-05,19.939878701261346,0.3175729193053615,16.113610203026333,111/598,4.912517588457619e-90,-27.617043661230934,0.47212897563076006,28.57142857142857,268/295,0.01848276726034068,-39.49579831932773,0.5131173985760817,50.0,237/258,0.11493639976147012,-36.57289002557545,0.514396643774902,50.0,144/54,1.0582243391887584e-10,0.5154960147539078,0.6908442567533476,0.4482292089737585,0.7584713961184795,0.8156466290510651,0.7155023116099347,0.5433066993297737,0.7319320578411488,0.47153313755123705,0.8676216328194489,0.93382666799043,0.8181032510456724
all,0,JPEG,715,2147.7748251748253,68.98263027295286,-0.009225289928438303,0.0,,,22.8939576535244,-0.027772098975843,5.016065281152861,,,4.960027550681259,0.7915734177415154,5.054639942276186,,,37.296159915833776,-0.01727626264971775,27.27272727272727,,,22.533457827575475,0.021217475802183017,40.0,,,20.71611253196931,0.18334985055782038,50.0,,,0.4575198808218037,0.5293896769386164,0.47508623557985963,0.6070424125510637,0.6078512449788407,0.6454063770742526,0.49087335141025495,0.5642866914996915,0.5151011712817554,0.7312807452475322,0.730807075276753,0.782022235332006
all,0,JPEGq10,715,1263.3496503496503,283.6538461538462,0.0027617110732120324,50.0,124/443,1.328087921801772e-37,280.6030161468498,0.0022135654276907984,56.0900117572311,79/633,4.672750424519988e-84,20.32473589196367,0.16168371102817022,19.26780086763773,46/660,1.053520472175919e-107,503.18779589689643,0.0006579146132157111,178.57142857142858,111/575,3.4221668027008217e-75,630.5010893246188,0.0019539210755244838,277.77777777777777,94/575,5.543632452189521e-83,854.2199488491049,0.0006313477262737408,100.0,77/454,4.2731512032280485e-67,0.20739487034048457,0.16216563695509706,0.4826813469450244,0.2536634757929225,0.21637509155171872,0.3769064406465627,0.2521980672326214,0.19636954275669205,0.593765103674606,0.362505332632752,0.30690424888418727,0.5475287859991469
all,0,JPEGq20,715,1607.5510489510489,430.893300248139,0.0006292807257092822,100.0,84/479,6.402394546696714e-59,189.96761099535783,-0.008980921039760217,36.54453495695702,122/579,3.6500375569939e-77,5.8877148025616854,0.5876163345709235,6.706851959106758,224/472,2.2661649312779327e-23,346.3861125723303,-0.004902706674571204,100.0,141/503,6.236726625181872e-60,306.3803299097417,-0.0027475398884771224,100.0,144/449,2.0691138086064037e-50,301.02301790281325,0.006880397422709565,66.66666666666666,90/285,8.581994232113297e-32,0.3141278478157135,0.2999761227604361,0.4772384642643795,0.35317621339456284,0.31006807278448717,0.5305278796356218,0.344285867303373,0.3265801303862251,0.542307471768599,0.44123804829354957,0.38534789252592805,0.6778511739666994
all,0,JPEGq30,715,2578.851748251748,7.133995037220844,0.1629563668744435,0.0,220/57,1.379137598785377e-25,-0.6819222729685911,0.6596421347228207,4.025571635287047,379/299,8.832531642049075e-11,4.766452794436909,0.8217574924230986,4.328026502255044,402/272,1.1142856083039675e-06,-10.836401893740137,0.3567170053929139,26.31578947368421,269/235,0.00010130141870982797,-18.549642079053847,0.46466067209883094,42.857142857142854,231/222,0.009839978329665976,-19.437340153452684,0.45304403003489985,50.0,123/70,7.433838456698553e-05,0.4765471051849279,0.5742629978458855,0.4626346467646344,0.6821202405866053,0.7043054333181983,0.6759132808935252,0.5071043380301937,0.608889108514777,0.4938820097129435,0.8094364837619865,0.8345293611109765,0.8040410109795137
