stem,junction_def,L,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7626,degree,5,5,221.26702730475876,5.536197810036267,5,0,0,3,13,0
7626,degree,10,5,221.26702730475876,5.536197810036267,5,0,0,3,13,0
7629,t10,0,5,203.16652224137044,4.740926486102514,9,2,0,2,12,0
7629,degree,0,5,203.16652224137044,4.740926486102514,9,2,0,2,12,0
7629,degree,2,5,201.75230867899734,4.740313137376845,7,1,0,2,12,0
7629,degree,5,5,198.33809511662423,4.76609423423099,7,1,0,2,12,0
7629,degree,10,5,198.33809511662423,4.76609423423099,7,1,0,2,12,0
7632,t10,0,4,251.17871555019025,6.530717288695217,12,4,0,4,12,0
7632,degree,0,4,251.17871555019025,6.530717288695217,12,4,0,4,12,0
7632,degree,2,4,249.7645019878171,6.527363075135335,10,3,0,4,12,0
7632,degree,5,4,239.52186130069782,6.598782869130926,8,2,0,4,12,0
7632,degree,10,4,239.52186130069782,6.598782869130926,8,2,0,4,12,0
7636,t10,0,4,257.7350647362943,5.189312339895646,18,7,1,8,14,0
7636,degree,0,4,257.7350647362943,5.189312339895646,18,7,1,8,14,0
7636,degree,2,4,256.3208511739212,5.200089085559719,17,7,1,8,14,0
7636,degree,5,4,256.3208511739212,5.200089085559719,17,7,1,8,14,0
7636,degree,10,4,242.0782104868019,5.124924823037529,13,5,1,8,14,0
7638,t10,0,5,269.1076477383248,5.821537859794076,8,2,1,2,10,0
7638,degree,0,5,269.1076477383248,5.821537859794076,8,2,1,2,10,0
7638,degree,2,5,269.1076477383248,5.821537859794076,8,2,1,2,10,0
