setting,param,value,junction_def,L,n,payload_bytes,fg_psnr,n_points,n_components_bias_pct,n_components_ccc,n_components_mdape,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape
default,,,t10,0,150,2203.266666666667,28.077548520152607,278.74666666666667,-2.0740740740740744,0.744,0.0,-12.370706510855934,0.603715254894043,9.818899518914865,3.211207895759483,0.7476288093522521,2.8397424630674877,-41.93054136874362,0.27372664136281366,40.0,-55.40334855403349,0.3355009505534531,57.14285714285714,-48.10126582278482,0.45788575444232515,50.0
default,,,degree,0,150,2203.266666666667,28.077548520152607,278.74666666666667,-2.0740740740740744,0.744,0.0,-12.370706510855934,0.603715254894043,9.818899518914865,3.2112078957594834,0.7476288093522521,2.8397424630674957,-45.301327885597544,0.2405501583146197,44.94949494949495,-68.34094368340944,0.2561725100269928,71.42857142857143,-48.10126582278482,0.45788575444232515,50.0
default,,,degree,2,150,2203.266666666667,28.077548520152607,278.74666666666667,-2.0740740740740744,0.744,0.0,-11.988025649069117,0.6095106645898102,9.146090511193226,3.099277660645841,0.7489646182540255,2.834729310397404,-38.09248554913295,0.3010719848517241,36.36363636363637,-62.11293260473588,0.3204087500829444,66.66666666666666,-48.10126582278482,0.45788575444232515,50.0
default,,,degree,5,150,2203.266666666667,28.077548520152607,278.74666666666667,-2.0740740740740744,0.744,0.0,-9.211025091362483,0.663454469080329,6.708271597875287,2.555042326666203,0.764963127294092,2.60072361672875,-18.084291187739463,0.6202807885356806,14.285714285714285,-40.0,0.5856156227673256,46.42857142857143,-48.10126582278482,0.45788575444232515,50.0
default,,,degree,10,150,2203.266666666667,28.077548520152607,278.74666666666667,-2.0740740740740744,0.744,0.0,-8.63500047964635,0.6736769276956199,5.475162723367803,2.389180864551741,0.7727241743489317,2.439782436153243,-17.517605633802816,0.6167595835022228,11.11111111111111,-43.346007604562736,0.5875343721356555,50.0,-48.10126582278482,0.45788575444232515,50.0
spur_min_length=0,graph.spur_min_length,0,t10,0,150,2215.6866666666665,28.083203632092257,280.62,-2.0740740740740744,0.744,0.0,-11.191544036698037,0.6208582514632636,8.266814696058686,3.2583254295283415,0.7422352809150697,2.927457118046616,-31.920326864147093,0.3671235952380548,33.33333333333333,-49.010654490106546,0.3774505116190112,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=0,graph.spur_min_length,0,degree,0,150,2215.6866666666665,28.083203632092257,280.62,-2.0740740740740744,0.744,0.0,-11.191544036698037,0.6208582514632636,8.266814696058686,3.2583254295283406,0.7422352809150697,2.927457118046616,-32.379979570990805,0.3588877935476901,33.33333333333333,-50.38051750380517,0.36096049573973665,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=0,graph.spur_min_length,0,degree,2,150,2215.6866666666665,28.083203632092257,280.62,-2.0740740740740744,0.744,0.0,-10.944824140153063,0.6250435857308893,8.027596272934812,3.1339057539378454,0.7439972222724675,2.929956623263358,-28.265895953757227,0.4212099459866555,27.27272727272727,-47.90528233151184,0.4202371700052647,50.0,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=0,graph.spur_min_length,0,degree,5,150,2215.6866666666665,28.083203632092257,280.62,-2.0740740740740744,0.744,0.0,-9.102776573841322,0.6646428538398774,6.561697319643953,2.5406364752651416,0.7650317597772598,2.6222150469592718,-17.31800766283525,0.6331807946538826,13.392857142857142,-38.84057971014493,0.5935345852151177,42.857142857142854,-49.367088607594944,0.45057701956848967,50.0
spur_min_length=0,graph.spur_min_length,0,degree,10,150,2215.6866666666665,28.083203632092257,280.62,-2.0740740740740744,0.744,0.0,-8.984337513651433,0.6693775195578262,5.997567407061025,2.333733726367306,0.7729633074961184,2.439782436153243,-17.6056338028169,0.6126886773666814,10.555555555555555,-44.10646387832699,0.575432548043159,50.0,-49.367088607594944,0.45057701956848967,50.0
