dataset,id,format,bytes,decode_descr_s,lossless_mask,external,fg_px,exact_n_components,relerr_n_components,exact_total_length_px,relerr_total_length_px,exact_mean_width_px,relerr_mean_width_px,exact_n_branches,relerr_n_branches,exact_n_junctions,relerr_n_junctions,exact_cycle_rank,relerr_cycle_rank,codec,swc_dup_nodes
ORGANELLE,7256,v7_struct_e0.75,214,0.0014519139658659697,False,False,1318,True,0.0,False,0.0026073728335401086,False,0.0021475993027996027,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7256,v7_struct_e3,192,0.0013022619532421231,False,False,1318,True,0.0,False,0.0026073728335401086,False,0.003956071487727864,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7256,swc,1374,0.0010082899825647473,False,False,1318,True,0.0,False,0.043342139946790655,False,0.0017784767214111216,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7256,swc_gz,609,0.0010076180333271623,False,False,1318,True,0.0,False,0.043342139946790655,False,0.0017784767214111216,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7274,mask_zlib,298,0.004313603974878788,True,False,901,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,mask_png,434,0.004468571045435965,True,False,901,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,mask_webp_lossless,270,0.004925405024550855,True,False,901,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,mask_jbig2,222,0.007516240002587438,True,True,901,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7274,skel_chain,188,0.003248003078624606,False,False,901,True,0.0,True,0.0,False,0.0013868771396480933,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,v7_struct_e0.75,133,0.0009418110130354762,False,False,901,True,0.0,False,0.0009912254900497517,False,0.00439559218810678,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,v7_struct_e3,119,0.0008414209587499499,False,False,901,True,0.0,False,0.0009912254900497517,False,0.007416213013454316,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7274,swc,844,0.0006445880280807614,False,False,901,True,0.0,False,0.04091906012785171,False,0.0006735360826202485,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7274,swc_gz,420,0.0006397219840437174,False,False,901,True,0.0,False,0.04091906012785171,False,0.0006735360826202485,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7275,mask_zlib,384,0.004933914984576404,True,False,1341,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,mask_png,515,0.005052210064604878,True,False,1341,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,mask_webp_lossless,328,0.005981098976917565,True,False,1341,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,mask_jbig2,277,0.00695209507830441,True,True,1341,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7275,skel_chain,280,0.003736273036338389,False,False,1341,True,0.0,True,0.0,False,0.006764106427464022,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,v7_struct_e0.75,199,0.00132956902962178,False,False,1341,True,0.0,False,0.0018075583505691784,False,0.004487118336038522,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,v7_struct_e3,180,0.0011536189122125506,False,False,1341,True,0.0,False,0.0018075583505691784,False,0.006047921541546259,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7275,swc,1361,0.0008977920515462756,False,False,1341,True,0.0,False,0.03972380666728569,False,0.0008388868326186501,True,0.0,True,0.0,True,0.0,,0.0
