dataset,id,q,bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_components_ref,total_length_px_ref,mean_width_px_ref,n_branches_ref,n_junctions_ref,cycle_rank_ref
CBMI,CBMI_004t01_h128_w128,5,1371,25,1241.6904755831213,8.356684410947432,48,14,6,10,513.7005768508881,10.17174449834823,12,1,2
CBMI,CBMI_004t01_h128_w128,10,1636,15,924.4528855298854,9.261972744380719,24,5,5,10,513.7005768508881,10.17174449834823,12,1,2
CBMI,CBMI_004t01_h128_w128,20,2338,14,887.3818177180199,9.479016072689099,19,3,4,10,513.7005768508881,10.17174449834823,12,1,2
CBMI,CBMI_Captured_CSU488_3_h896_w640,1,1326,12,470.23253941935263,6.398884123066193,23,6,1,25,591.1269837220809,5.675110680914521,32,4,1
CBMI,CBMI_Captured_CSU488_3_h896_w640,5,1554,14,366.2619766708754,5.837834033257221,18,2,0,25,591.1269837220809,5.675110680914521,32,4,1
CBMI,CBMI_Captured_CSU488_3_h896_w640,10,1862,17,420.68838354206827,5.331403877720131,22,3,2,25,591.1269837220809,5.675110680914521,32,4,1
CBMI,CBMI_Captured_CSU488_3_h896_w640,20,2320,13,344.84776310850236,5.274967864302709,17,2,1,25,591.1269837220809,5.675110680914521,32,4,1
CBMI,CBMI_Captured_CSU488_5_h640_w896,1,1191,6,274.651803615609,6.254823258174619,11,3,1,10,363.9482681718907,4.664793295981574,21,7,3
CBMI,CBMI_Captured_CSU488_5_h640_w896,5,1292,7,328.35028842544403,6.604379388553344,14,4,3,10,363.9482681718907,4.664793295981574,21,7,3
CBMI,CBMI_Captured_CSU488_5_h640_w896,10,1501,8,380.3208511739211,5.9582995653053885,12,3,2,10,363.9482681718907,4.664793295981574,21,7,3
CBMI,CBMI_Captured_CSU488_5_h640_w896,20,2544,6,340.2497833620556,5.838525462555888,9,2,1,10,363.9482681718907,4.664793295981574,21,7,3
CBMI,CBMI_cell7_1_h139_w249,1,1295,18,857.1391770309008,7.173623625955521,37,11,4,17,742.0092347159896,6.0083464415486505,23,4,4
CBMI,CBMI_cell7_1_h139_w249,5,1511,26,1015.4062043356594,7.178988078090002,40,9,6,17,742.0092347159896,6.0083464415486505,23,4,4
CBMI,CBMI_cell7_1_h139_w249,10,1816,17,724.0386719675122,7.232914321878031,20,2,3,17,742.0092347159896,6.0083464415486505,23,4,4
CBMI,CBMI_cell7_1_h139_w249,20,2586,19,755.5655839020936,6.797335768568796,26,5,6,17,742.0092347159896,6.0083464415486505,23,4,4
CBMI,CBMI_mito1_h714_w709,1,1274,15,458.8183258569795,7.4348275301511215,23,4,1,29,515.8010819142764,4.988559906426455,35,3,0
CBMI,CBMI_mito1_h714_w709,5,1477,12,479.1736649163069,7.276163456943637,22,5,0,29,515.8010819142764,4.988559906426455,35,3,0
CBMI,CBMI_mito1_h714_w709,10,1801,12,856.0214280248093,7.323469641120732,39,15,5,29,515.8010819142764,4.988559906426455,35,3,0
CBMI,CBMI_mito1_h714_w709,20,2289,12,892.4650788387053,7.371323436830469,34,12,2,29,515.8010819142764,4.988559906426455,35,3,0
CBMI,CBMI_mito7_h249_w420,1,1348,16,545.58787847868,7.33127700393711,29,7,2,29,960.5483399593904,4.683681402036175,47,11,4
CBMI,CBMI_mito7_h249_w420,5,1606,21,965.1635636485402,7.388590553104936,40,11,3,29,960.5483399593904,4.683681402036175,47,11,4
CBMI,CBMI_mito7_h249_w420,10,2004,18,1084.8031739553294,7.1539103411899045,41,12,1,29,960.5483399593904,4.683681402036175,47,11,4
CBMI,CBMI_mito7_h249_w420,20,2594,17,1136.6021638285526,7.066249403267551,49,17,2,29,960.5483399593904,4.683681402036175,47,11,4
MITO,MITO_M2_002_y256x256,1,1204,11,225.9116882454314,6.4595129615957445,13,1,0,18,729.6000717874997,5.231871554999901,35,11,5
MITO,MITO_M2_002_y256x256,5,1338,14,229.40916292848976,6.758513813057224,16,1,1,18,729.6000717874997,5.231871554999901,35,11,5
MITO,MITO_M2_002_y256x256,10,1613,14,531.7178207935913,7.426479131084411,25,6,1,18,729.6000717874997,5.231871554999901,35,11,5
MITO,MITO_M2_002_y256x256,20,2106,12,529.1736649163068,7.441535654653188,20,4,0,18,729.6000717874997,5.231871554999901,35,11,5
MITO,MITO_M2_004_y0x512,1,1262,6,99.76955262170047,6.955918823068561,6,0,0,19,1072.619407771256,5.829445389965157,61,23,5
MITO,MITO_M2_004_y0x512,5,1430,13,348.06601717798213,7.093925304508823,14,1,1,19,1072.619407771256,5.829445389965157,61,23,5
MITO,MITO_M2_004_y0x512,10,1766,16,547.7178207935913,8.141684505566571,25,5,1,19,1072.619407771256,5.829445389965157,61,23,5
MITO,MITO_M2_004_y0x512,20,2441,21,858.2518754031088,7.834950332099672,35,7,0,19,1072.619407771256,5.829445389965157,61,23,5
MITO,MITO_M2_006_y0x512,1,1321,17,833.1147904132613,7.686157967260352,45,17,6,28,1068.0630585851518,4.850011215829831,52,12,3
MITO,MITO_M2_006_y0x512,5,1704,27,1181.5361466505708,7.96990585304989,61,19,4,28,1068.0630585851518,4.850011215829831,52,12,3
MITO,MITO_M2_006_y0x512,10,2425,29,1063.5777772109134,8.163673478313916,52,13,3,28,1068.0630585851518,4.850011215829831,52,12,3
MITO,MITO_M2_006_y0x512,20,3499,26,961.9503602129438,7.7595516703984915,45,12,5,28,1068.0630585851518,4.850011215829831,52,12,3
MITO,MITO_M2_007_y512x512,1,1233,6,110.42640687119285,7.426203967983761,6,0,0,11,586.8893936688451,7.583720311083306,30,10,1
MITO,MITO_M2_007_y512x512,5,1363,5,130.39696961967,8.030993788851221,5,0,0,11,586.8893936688451,7.583720311083306,30,10,1
MITO,MITO_M2_007_y512x512,10,1636,13,341.14927829866735,7.109015248140196,22,5,1,11,586.8893936688451,7.583720311083306,30,10,1
MITO,MITO_M2_007_y512x512,20,2150,10,353.5218613006979,7.049185985666062,13,1,0,11,586.8893936688451,7.583720311083306,30,10,1
MITO,MITO_M2_009_y256x512,1,1247,7,510.1198410471444,7.901274573207341,17,5,0,11,737.0142853498728,6.634481072436788,25,7,0
MITO,MITO_M2_009_y256x512,5,1470,11,707.6589462905454,7.937922728479448,26,9,5,11,737.0142853498728,6.634481072436788,25,7,0
MITO,MITO_M2_009_y256x512,10,1888,7,578.7888886054566,8.121527889670103,22,8,1,11,737.0142853498728,6.634481072436788,25,7,0
MITO,MITO_M2_009_y256x512,20,2546,12,505.43354954612926,8.118817576590535,20,4,0,11,737.0142853498728,6.634481072436788,25,7,0
MITO,MITO_M2_011_y256x0,1,1246,19,382.17871555019025,6.933000218721287,26,5,3,9,528.1025971044412,5.883898248965316,15,3,0
MITO,MITO_M2_011_y256x0,5,1422,14,463.67619023324846,8.002230313677414,19,3,1,9,528.1025971044412,5.883898248965316,15,3,0
MITO,MITO_M2_011_y256x0,10,1789,14,521.9310242291876,7.347503144531637,22,4,1,9,528.1025971044412,5.883898248965316,15,3,0
MITO,MITO_M2_011_y256x0,20,2322,10,449.98989873223326,7.359782008755377,14,3,2,9,528.1025971044412,5.883898248965316,15,3,0
MITO,MITO_M2_012_y512x256,1,1273,6,126.49747468305833,6.7973501703248695,6,0,0,22,1435.680374315355,6.562959602193446,76,30,7
MITO,MITO_M2_012_y512x256,5,1518,15,369.5218613006978,7.3318164579551794,20,3,1,22,1435.680374315355,6.562959602193446,76,30,7
MITO,MITO_M2_012_y512x256,10,1979,17,532.1320343559643,8.076332985200839,33,9,2,22,1435.680374315355,6.562959602193446,76,30,7
MITO,MITO_M2_012_y512x256,20,2716,20,507.70562748477147,7.453833677982433,28,4,1,22,1435.680374315355,6.562959602193446,76,30,7
MITO,MITO_M2_014_y0x512,1,1151,4,115.2842712474619,7.245476669602055,6,1,0,4,78.38477631085024,6.1483436656035355,4,0,0
MITO,MITO_M2_014_y0x512,5,1205,10,237.1248916810279,6.748774623264513,14,2,0,4,78.38477631085024,6.1483436656035355,4,0,0
MITO,MITO_M2_014_y0x512,10,1322,9,353.27922061357856,6.784227023242234,18,5,1,4,78.38477631085024,6.1483436656035355,4,0,0
MITO,MITO_M2_014_y0x512,20,1577,6,100.76955262170048,5.5534016082750375,6,0,0,4,78.38477631085024,6.1483436656035355,4,0,0
MITO,MITO_M2_016_y0x256,1,1152,4,239.61017305526642,6.737493300773169,8,2,0,8,349.208152801713,5.305076247065166,16,4,0
MITO,MITO_M2_016_y0x256,5,1212,13,382.90663761154804,6.328710491734344,18,3,1,8,349.208152801713,5.305076247065166,16,4,0
MITO,MITO_M2_016_y0x256,10,1344,14,514.1198410471445,8.072152839168833,20,3,0,8,349.208152801713,5.305076247065166,16,4,0
MITO,MITO_M2_016_y0x256,20,1607,11,545.4041122946063,7.643186263246831,25,7,0,8,349.208152801713,5.305076247065166,16,4,0
MITO,MITO_M2_018_y0x0,1,1183,6,402.69343417595167,6.601555332585848,23,9,1,6,292.3208511739212,5.587526793683505,12,3,0
MITO,MITO_M2_018_y0x0,5,1262,11,420.7056274847714,7.098571523594031,23,7,2,6,292.3208511739212,5.587526793683505,12,3,0
MITO,MITO_M2_018_y0x0,10,1449,7,355.889393668845,8.581735658286188,13,3,0,6,292.3208511739212,5.587526793683505,12,3,0
MITO,MITO_M2_018_y0x0,20,1789,9,287.1492782986674,7.7231383763135835,13,2,0,6,292.3208511739212,5.587526793683505,12,3,0
MITO,MITO_M2_020_y256x512,1,1260,12,782.0559159102156,7.5649568619948635,34,12,2,5,940.6660889654818,5.103574105257705,56,27,3
MITO,MITO_M2_020_y256x512,5,1538,10,546.144227664784,7.8791011824235495,20,5,0,5,940.6660889654818,5.103574105257705,56,27,3
